rank,title,artist,summary,rating,comments
125,사는 게 이게 모양?!,studio_maeil,모양이와 일상생존기,9.75,357
138,빨간 고백,dlapfajgkwl,널 기다려,9.75,539
16,위닝샷!,wwko1012,청춘 야구 드라마,9.74,821
28,집순이에 대하여,donghwa270,집순이들의 일상,9.74,632
78,자작 보드게임 동아리,hwang-han,자작 보드게임 만화,9.74,953
102,500원 토끼,tomak89,500원토끼의 일상,9.72,966
131,솔의 일기,sone2233,흔하면서도흔하지않은,9.72,455
136,이래봬도2학년,dreamfully,초등학교 이야기!,9.72,344
34,대공녀는 거기에 없었다,mihyo430,가상중세시대물,9.71,908
79,범고래아가씨,leehhwh2006,달달한 연애일상,9.71,562
114,"77년생, 열아홉",ho---du,멈춘 시간,9.71,428
137,두남자일기,h_sooni,평범한 동거,9.71,179
5,여기서 한잔할래?,softred2008,수달의 혼술툰,9.7,493
60,좋아하는거 참으면 병나요!,atsu7045,좋아하는건 못참아,9.7,504
100,딴 짓이 제일 재밌어,wldud92221,딴 짓 찾아 놀기,9.7,224
92,스토커의 하루,xxxvangogh,여자 스토커의 사랑,9.69,289
126,띵동! 도토리에요,rkdroswl99,너튜브하는 마법사,9.69,386
121,마이데이,nia_j,"순정,학업로맨스",9.68,554
29,판타지 TV,whddnjsdl99,판타지 인터넷방송,9.67,1194
49,만월에 핀 연꽃,issue1467,고려시대 사랑이야기,9.67,766
82,전지적덕후시점,gurwp124,나의 덕질 라이프,9.66,432
101,너와 나의 하늘색,zzoostudios,웹툰창작 청춘로맨스,9.66,678
71,너와 가까워지는 거리,flfldh123,소프트BL,9.65,1393
88,어둠의 일상툰,psh911121,어둠의 일상,9.65,498
31,하이스쿨 콤플렉스(마이동풍),ralalala111,청춘로맨스,9.63,657
103,함께 할 때까지,bakahodu,곰신바카,9.63,243
51,이세계 국밥 마스터,jung_dok,그 돈이면 국밥먹지,9.58,541
129,우당탕 입큰이,plantera-52,입이 커 슬픈 짐승,9.58,304
106,좀비랜드,dlsgh961004,좀비랜드 탈출기,9.57,750
117,내 매력에 퐁당,sstyeon0324,내 매력에 퐁당!,9.57,550
33,나타나주세요!,7lgus,내 눈앞에!,9.53,1929
26,하루의 하늘,iioioo,삼각관계 대학생활,9.52,723
87,한 뼘 공포집,kokosy1123,조금 찝찝한 이야기,9.52,242
144,해피하우스,skrn486,내 직업은 귀신,9.51,328
15,살인교사,twoluda,사람을 죽였습니다.,9.5,481
94,템플러,lsy9384,퇴마물 엑소시스트,9.48,345
32,직업 : 며느리,happypme,결혼하면 겪는 일,9.47,466
64,"뼈와 재, 불의 이야기",dlf313,격주 월요일 연재,9.47,471
47,남편 먹는 여자,na2silver,남자 잡는 사주,9.46,339
95,너와 나의 몰디브,yonbuck,30대 연애와 결혼,9.44,609
128,체리 블러드,enica1,액션X판타지X로맨스,9.44,477
111,모두의 미아씨,punkwitch,미아씨의 매일매일,9.37,226
132,158동 진상부부,hee81hoo,부부의 진짜 일상,9.36,193
119,공원여행,mingmong1010,과거로 돌아온 옹주,9.34,218
42,살인범과 산다,twoluda,동네에일어난연쇄살인,9.12,156
143,애포칼립스,mh820619,좀베창궐 문명파괴,9.12,207
58,미신반신,raju_54,착하게미친남주예요,9.1,273
9,의대생 하루,leeclown,의대생의 리얼 일상,9.05,848
41,하나리즈,hanalizofficial,레즈비언 커플이야기,8.88,501
120,식봉툰,rrrr33333,일상적인 이야기,8.81,332
135,국밥소녀,isw339,국밥에 미친 소녀,8.55,543
