사는 게 이게 모양?!,빨간 고백,위닝샷!,집순이에 대하여,자작 보드게임 동아리,500원 토끼,솔의 일기,이래봬도2학년,대공녀는 거기에 없었다,범고래아가씨,"77년생, 열아홉",두남자일기,여기서 한잔할래?,좋아하는거 참으면 병나요!,딴 짓이 제일 재밌어,스토커의 하루,띵동! 도토리에요,마이데이,판타지 TV,만월에 핀 연꽃,전지적덕후시점,너와 나의 하늘색,너와 가까워지는 거리,어둠의 일상툰,하이스쿨 콤플렉스(마이동풍),함께 할 때까지,이세계 국밥 마스터,우당탕 입큰이,좀비랜드,내 매력에 퐁당,나타나주세요!,하루의 하늘,한 뼘 공포집,해피하우스,살인교사,템플러,직업 : 며느리,"뼈와 재, 불의 이야기",남편 먹는 여자,너와 나의 몰디브,체리 블러드,모두의 미아씨,158동 진상부부,공원여행,살인범과 산다,애포칼립스,미신반신,의대생 하루,하나리즈,식봉툰,국밥소녀
"('좋아요', 11)","('미친', 14)","('좋은', 18)","('좋은', 15)","('검은', 23)","('귀여워', 36)","('귀여워서', 43)","('귀여워요', 24)","('재밌어요', 15)","('좋은', 41)","('재밌어요', 22)","('귀여워요', 9)","('맛있어', 13)","('좋은', 11)","('귀여워요', 6)","('재밌어요', 12)","('귀여워요', 8)","('좋은', 9)","('싫어요', 17)","('좋아', 45)","('좋아하는', 23)","('재밌게', 11)","('좋아하고', 59)","('귀여워', 8)","('좋아요', 12)","('마라', 15)","('뜨겁다', 6)","('그러고', 6)","('재밌어', 10)","('좋은', 8)","('미친', 34)","('귀여워', 19)","('재밌어요', 14)","('재밌어요', 28)","('좋은', 8)","('멋있게', 7)","('없고', 14)","('재밌게', 22)","('재밌어요', 16)","('재밌어요', 26)","('빨간', 15)","('있겠다', 5)","('좋아요', 11)","('재밌어요', 19)","('재밌어요', 10)","('많은', 6)","('아닌가', 4)","('아님', 9)","('귀엽다', 49)","('잡다한', 56)","('새로운', 5)"
"('예쁜', 5)","('없었으면', 14)","('좋겠다', 14)","('귀여워', 7)","('안녕하게', 23)","('귀엽다', 23)","('좋겠어요', 15)","('귀엽다', 12)","('좋은', 14)","('재밌게', 6)","('기뻐요', 4)","('궁금해요', 5)","('맛있겠다', 11)","('재밌어요', 9)","('좋은', 6)","('재밌게', 7)","('재밌어요', 7)","('솔직히', 9)","('좋아요', 16)","('좋은', 8)","('솔직히', 15)","('재밌어요', 8)","('귀여워', 26)","('좋아요', 5)","('귀여워', 11)","('귀엽다', 6)","('재미있는', 5)","('있었으면', 4)","('미친', 10)","('무리하지', 6)","('재밌어요', 27)","('아니야', 9)","('노란', 6)","('재밌게', 10)","('미친', 6)","('재밌네요', 7)","('좋아요', 14)","('재밌어요', 12)","('궁금해요', 13)","('아프지', 14)","('좋은', 14)","('좋을수도', 4)","('좋은', 10)","('재밌게', 11)","('아님', 6)","('좋은', 4)","('재밌어요', 4)","('아니야', 7)","('귀여워요', 30)","('좋은', 4)","('재밌어요', 4)"
"('많은', 5)","('좋겠어', 14)","('재밌다', 14)","('재밌어요', 7)","('아닐까', 17)","('귀여워요', 19)","('행복하자', 12)","('귀여운', 7)","('좋아요', 12)","('귀여워', 5)","('재밌게', 4)","('귀엽', 5)","('좋은', 9)","('재밌게', 6)","('예뻐요', 4)","('좋습니다', 4)","('좋은', 6)","('재밌게', 7)","('싫어', 9)","('재밌게', 7)","('좋은', 10)","('귀엽고', 7)","('미친', 20)","('맛있어요', 5)","('좋다', 9)","('없어서', 5)","('든든한', 5)","('없어', 3)","('싫어요', 8)","('있을게요', 6)","('좋아요', 24)","('아니냐', 8)","('재밌게', 6)","('미쳤다', 9)","('좋겠어요', 5)","('재밌어요', 6)","('어떤', 9)","('좋은', 11)","('궁금하네요', 9)","('재밌게', 9)","('아님', 8)","('맛있는', 4)","('재밌어요', 5)","('재미있게', 8)","('유력해졌는데', 4)","('예쁜', 4)","('아님', 4)","('귀여워', 6)","('매운거', 15)","('정확하게', 4)","('좋군요', 4)"
"('있었는데', 5)","('귀여워', 6)","('안되면', 12)","('무서워서', 7)","('아님', 16)","('귀여운', 9)","('귀여워', 10)","('귀여워', 7)","('어떡해', 10)","('좋다', 5)","('좋은', 4)","('귀여워', 3)","('아닌가요', 8)","('있을게요', 6)","('없어요', 4)","('미쳤다', 4)","('귀엽다', 6)","('있지', 6)","('없는데', 8)","('좋아요', 6)","('아닌데', 9)","('좋아요', 7)","('좋아해', 20)","('궁금해', 4)","('어떤', 7)","('귀여워요', 5)","('뜨끈한', 4)","('무서운', 3)","('같음', 7)","('재밌게', 6)","('미쳤다', 22)","('나빴네요', 8)","('재밌네요', 5)","('재밌다', 9)","('편하게', 5)","('재밌다', 5)","('없음', 7)","('재미있어요', 9)","('아님', 5)","('설레요', 6)","('슬퍼', 6)","('고마워요', 4)","('행복하세요', 4)","('재미있어요', 6)","('순수한', 4)","('없어서', 4)","('없어요', 3)","('아닐까', 5)","('귀여워', 12)","('좋습니다', 3)","('재밌게', 4)"
"('좋고', 4)","('귀여운', 5)","('재밌어요', 12)","('슬프다', 6)","('미친', 16)","('싫어요', 9)","('좋아요', 9)","('귀엽네요', 6)","('행복했으면', 9)","('새로운', 5)","('이쁘고', 4)","('설레잖아', 2)","('맛있게', 7)","('이상한', 5)","('궁금해요', 4)","('아니냐', 4)","('재밌게', 5)","('같아서', 5)","('미안해', 8)","('예뻐요', 5)","('부러워요', 9)","('좋은', 6)","('좋아', 14)","('귀엽다', 4)","('좋은', 5)","('아니야', 4)","('재밌어요', 4)","('싸했던게', 2)","('아닌데', 5)","('아님', 6)","('재밌다', 18)","('저래', 8)","('좋은', 3)","('재밌네', 8)","('재밌는데', 4)","('재밌게', 5)","('서운해', 7)","('아닌데', 6)","('있네요', 5)","('궁금해요', 6)","('있었으면', 4)","('있는걸', 3)","('좋네요', 3)","('나쁜', 6)","('사악하게', 4)","('어떤', 4)","('궁금하긴', 2)","('필요없는', 5)","('귀여우셔요', 11)","('미친', 3)","('재밌어', 3)"
"('좋아서', 4)","('좋아요', 5)","('솔직히', 9)","('귀여워요', 5)","('같음', 14)","('좋아요', 7)","('좋겠다', 7)","('좋겠네요', 6)","('아닐까', 8)","('이상한', 4)","('있음', 4)","('싫어요', 2)","('좋아요', 7)","('없어요', 4)","('귀엽', 3)","('재밌어', 4)","('귀여워', 4)","('아닌가', 5)","('아님', 8)","('아니지', 5)","('없는데', 8)","('좋네요', 4)","('좋은', 12)","('굉장히', 4)","('예뻐요', 4)","('아닐까', 4)","('아니냐', 4)","('귀엽고', 2)","('아님', 4)","('좋아요', 6)","('재밌게', 15)","('귀엽군', 8)","('재밌는', 3)","('재밌네요', 8)","('재미있구', 4)","('좋고', 5)","('적당히', 7)","('재밌다', 6)","('이상한', 5)","('반가워요', 6)","('좋겠다', 4)","('아닐까', 3)","('부러워요', 3)","('재밌는', 4)","('재밌게', 4)","('강한', 4)","('재밌게', 2)","('더러워', 5)","('좋은', 10)","('이상한', 3)","('안되는거', 3)"
"('귀여워서', 4)","('빨간', 5)","('좋은데', 8)","('귀여운', 5)","('있음', 10)","('귀엽', 7)","('귀엽다', 7)","('좋겠어요', 6)","('안녕하세요', 7)","('솔직히', 3)","('무섭네', 4)","('포근포근한', 2)","('재밌게', 6)","('아님', 4)","('같아서', 3)","('아니네요', 3)","('재밌어', 4)","('없는데', 5)","('재밌다', 8)","('있다고', 5)","('좋아서', 8)","('아님', 4)","('귀엽다', 11)","('아닌가요', 4)","('미쳤다', 4)","('좋아요', 4)","('재밌', 4)","('깜찍하고', 2)","('없네', 4)","('이뻐요', 6)","('좋은', 13)","('아닌가', 8)","('없던', 3)","('좋겠어요', 5)","('재밌어', 4)","('멋지다', 4)","('좋겠어요', 7)","('같습니다', 6)","('무서운거', 4)","('좋은', 5)","('재미있어요', 4)","('좋은데', 3)","('행복한', 2)","('재밌어용', 4)","('아닌거', 4)","('그럴', 3)","('있었는데', 2)","('없게', 4)","('귀여운', 9)","('아니겠죠', 2)","('아니야', 3)"
"('가볍게', 4)","('행복하자', 4)","('미친', 8)","('귀여우세요', 4)","('같습니다', 9)","('귀엽고', 6)","('이뻐요', 7)","('좋고', 6)","('솔직히', 7)","('예쁘다', 3)","('무서워요', 4)","('재밌겠다', 2)","('귀여워요', 6)","('아닌가요', 4)","('죄송해요', 3)","('재밌다', 3)","('자세히', 4)","('싫음', 5)","('솔직히', 6)","('당연히', 5)","('아니다', 7)","('좋아하나', 4)","('귀여운', 11)","('재밌다', 4)","('자세하게', 4)","('귀여워', 4)","('재밌다', 3)","('얄밉고', 2)","('있네', 4)","('예쁘고', 6)","('신난다', 11)","('어떤', 8)","('무서워', 3)","('좋겠습니다', 5)","('좋은데', 3)","('재미있는데', 4)","('같아서', 6)","('재밌습니다', 5)","('재밌게', 4)","('설렘', 5)","('재미있네요', 4)","('좋겠다', 3)","('좋고', 2)","('좋다', 3)","('있을거', 4)","('좋아요', 3)","('솔직히', 2)","('좋아요', 4)","('좋겠어요', 9)","('재밌네', 2)","('있었던거야', 2)"
"('재미있게', 3)","('재밌어요', 4)","('좋네요', 7)","('무서워요', 4)","('있다는', 8)","('행복한', 5)","('좋네요', 7)","('재밌게', 5)","('좋아하는', 6)","('재미있게', 3)","('부럽다', 4)","('재밌는거', 2)","('귀여운', 4)","('행복한', 4)","('있었는데', 3)","('불쌍해', 3)","('예뻐', 4)","('그렇지', 5)","('아닌가', 6)","('좋겠어요', 5)","('좋아하고', 6)","('좋아하는거', 4)","('좋다', 9)","('좋아하는', 4)","('싫어', 4)","('귀엽고', 4)","('좋은', 3)","('있다는거지', 2)","('재밌게', 4)","('재밌어요', 5)","('좋아', 9)","('해로워', 8)","('슬프잖아', 3)","('좋고', 4)","('있을게요', 3)","('멍청한', 4)","('있다면', 6)","('재밌네요', 5)","('무섭다', 4)","('좋다', 4)","('싫다', 4)","('좋은', 3)","('이렇게만', 2)","('행복하세요', 2)","('좋은', 3)","('좋겠습니다', 3)","('괜찮은', 2)","('예쁘다', 4)","('귀여우세요', 8)","('아님', 2)","('실패했다', 2)"
"('작은', 3)","('아니죠', 4)","('미쳤다', 6)","('많다', 4)","('있었고', 8)","('작은', 5)","('좋다', 6)","('따뜻한', 5)","('좋겠는데', 6)","('재밌는', 3)","('예쁘고', 3)","('오래됬네요', 2)","('귀여워', 4)","('다양한', 4)","('귀여우세요', 3)","('미쳤네요', 3)","('귀여워용', 4)","('궁금해', 5)","('좋아', 6)","('이뻐', 5)","('부럽다', 6)","('좋아하는', 4)","('귀엽고', 9)","('좋아', 4)","('좋은데', 4)","('재밌게', 4)","('아녀', 3)","('미쳤을텐데', 2)","('안녕하세요', 4)","('기대할게요', 5)","('아닐까', 9)","('재밌어요', 6)","('무서워요', 3)","('아님', 4)","('없어서', 3)","('좋아', 4)","('있다가', 6)","('아니야', 5)","('먼가', 3)","('재밌어용', 4)","('싫어', 4)","('아프지', 2)","('힘들지만', 2)","('궁금해지네요', 2)","('재밌어', 3)","('생소한', 3)","('나쁘지', 2)","('불안해', 3)","('좋아하는데', 8)","('아프고', 2)","('슬프지만', 2)"
