rank,title,artist,summary,rating,comments
1,여우자매,rkddusl999,구미호 이야기,9.9,5012
2,대학원 탈출일지,ari9402,대학원에서 살아남기,9.9,918
3,과학고 생존일지,zupam,과학고에 간 문과생,9.8,556
4,오사와 오폐수들,oreo_hunter,그냥 오사의 일상,9.9,742
5,여기서 한잔할래?,softred2008,수달의 혼술툰,9.7,493
6,저승파견고용직,skuldness,기묘한 러브액션로망,9.9,1027
7,우리 카페 사장님이 이상하다,ae_gukja,이상한 카페 알바기,9.9,235
8,좀비 패밀리,momo7028,(구)신혼좀비,9.88,473
9,의대생 하루,leeclown,의대생의 리얼 일상,9.05,848
10,싱글맘맘이야,gimarie,싱글맘의 생생 실화,9.92,506
11,서폿저택에 어서오세요,sincj93,서폿만 사는 저택,9.86,506
12,"괜찮아, 고3이야",greeny227,너와나의 리얼고3툰,9.9,1590
13,양송부부의 맛있는 한잔,synam87,술이 있는 일상,9.81,646
14,행복을 만드는 방법,ps5246,집착감금물,9.81,237
15,살인교사,twoluda,사람을 죽였습니다.,9.5,481
16,위닝샷!,wwko1012,청춘 야구 드라마,9.74,821
17,밤을 거둔 신기루는,kimsoondol51,부적 남주 쟁취기,9.86,400
18,느린한끼,bblumm,요리 만화,9.8,265
19,아스테리스크,salmonscholar,용과 소년소녀,9.89,810
20,우리집 강아지는 복슬강아지,lunarapple,댕댕이와의 일상:3,9.9,414
21,지극히 평범한 생활,sssuuntidld,!! 일상툰 !!,9.9,202
22,아오링도쿄,aoring12,도쿄 시트콤,9.89,479
23,아빠는 N살,fa3030,아빠 4컷 그림일기,9.9,255
24,이과지옥,wjsdudwo2002,이과 발암만화,9.76,696
25,생각보다 잘 자랐습니다,p_puffer,가정폭력 그후10년,9.87,359
26,하루의 하늘,iioioo,삼각관계 대학생활,9.52,723
27,몬스터 커맨더F,banacle,몬스터 판타지,9.87,1039
28,집순이에 대하여,donghwa270,집순이들의 일상,9.74,632
29,판타지 TV,whddnjsdl99,판타지 인터넷방송,9.67,1194
30,런어웨이,hama2294,초능력자들의 이야기,9.77,991
31,하이스쿨 콤플렉스(마이동풍),ralalala111,청춘로맨스,9.63,657
32,직업 : 며느리,happypme,결혼하면 겪는 일,9.47,466
