rank,title,artist,summary,rating,comments
10,싱글맘맘이야,gimarie,싱글맘의 생생 실화,9.92,506
1,여우자매,rkddusl999,구미호 이야기,9.9,5012
2,대학원 탈출일지,ari9402,대학원에서 살아남기,9.9,918
4,오사와 오폐수들,oreo_hunter,그냥 오사의 일상,9.9,742
6,저승파견고용직,skuldness,기묘한 러브액션로망,9.9,1027
7,우리 카페 사장님이 이상하다,ae_gukja,이상한 카페 알바기,9.9,235
12,"괜찮아, 고3이야",greeny227,너와나의 리얼고3툰,9.9,1590
20,우리집 강아지는 복슬강아지,lunarapple,댕댕이와의 일상:3,9.9,414
21,지극히 평범한 생활,sssuuntidld,!! 일상툰 !!,9.9,202
23,아빠는 N살,fa3030,아빠 4컷 그림일기,9.9,255
61,낮잠 자는 사람들,dwrumi,지하창작인밀착일상툰,9.9,667
89,깜빡깜빡,qnfdksgksaltnrgp,반짝이의 일상,9.9,906
104,루텔,xkawlrus,력家네,9.9,1905
124,구나의 그랬구나,7sevsn7,어린이집 교사냥이,9.9,746
19,아스테리스크,salmonscholar,용과 소년소녀,9.89,810
22,아오링도쿄,aoring12,도쿄 시트콤,9.89,479
43,잔액이 부족합니다,yngjkg_aaa,대중교통 일상툰,9.89,435
45,운명...인가요?,remu0117,나와 이어진 운명은,9.89,889
48,발버둥치다,dongdungdong,우울증 이야기,9.89,1499
57,국제결혼개그만화,optko,한-러커플 개그만화,9.89,681
69,실험학교,mmaa23,변형자들의 학교,9.89,1362
98,오늘을 담다.,isssam,도시락 일상이야기,9.89,652
127,방구석수필,dksdkaeh,실화 단편 에피소드,9.89,615
8,좀비 패밀리,momo7028,(구)신혼좀비,9.88,473
46,(Old)악마법소녀,hamiamin925,마법과 내뱉은 말,9.88,2466
68,서툴고 어리숙해도 좋아하는,argue234,내가 걜 죽였다고?,9.88,402
84,정령왕즈,icart34,정령왕들이 조잘조잘,9.88,1126
130,쿤도덥브라더스,boramynaong,개와 고양이의 동거,9.88,347
25,생각보다 잘 자랐습니다,p_puffer,가정폭력 그후10년,9.87,359
27,몬스터 커맨더F,banacle,몬스터 판타지,9.87,1039
35,생존일지,ddj05157,사람들의 이야기,9.87,603
54,시크릿가족,cream3891,성교육웹툰,9.87,719
62,무엇이든 그려드립니닷!,jsclubkkc00,무엇이든그려드립니닷,9.87,957
65,카나와 초나의 독일,canachona,독일 생존기,9.87,453
70,그래도 하루는,mangchi_16,희노애락 투병일기,9.87,476
75,죽음과 동화,todmarchen,두려움.증오.사랑,9.87,716
80,감각의 어빌러티,toyan8210,특이한친구들의능력은,9.87,355
81,천상대전,myjune210,천상대전,9.87,1267
83,AI폰 아리랑,qodtjr802,AI폰 아리랑,9.87,436
90,채채쓰의 웃픈일기,cheche513,왜 삶은 웃플까요?,9.87,381
116,방에 콕! 진댕,dhleh,방에 콕! 일상툰,9.87,243
142,무존재감,lunchxiii,[????????],9.87,236
