rank,title,artist,summary,rating,comments
11,서폿저택에 어서오세요,sincj93,서폿만 사는 저택,9.86,506
17,밤을 거둔 신기루는,kimsoondol51,부적 남주 쟁취기,9.86,400
38,수영만화일기,haeomoon,"저질체력,수영-하다",9.86,736
55,아틀레냐 비바체,kez512,치유계 개그물,9.86,711
96,홈 스윗 홈,4nab2,네식구 사는 이야기,9.86,418
109,뿅가이,ga_iee,간다 간다 뿅간다,9.86,836
115,나랑노랑~이제는 괜찮은 이야기,daily2ellow,이젠 괜찮은 이야기,9.86,209
122,젤라 유니버스,guraeng2raenggu,안젤라 일대기,9.86,681
123,클리셰,lee62113,악당들의 입장에서!,9.86,1351
74,결혼하고 싶지 않았는데 못하게 되었다.,jungpd73,안하느냐 못했느냐,9.85,471
76,86'd,junbugart,주방 만화,9.85,548
77,리드래프트,nyomin2010,야구에 만약이있다면,9.85,1018
105,틈,vampirism,틈을파고드는 이야기,9.85,859
112,산군대잔치,d_young0120,강아지 산군의 일상,9.85,404
134,행복을 찾다.,dkfqka543,아마 순정만화,9.85,83
140,김작가의 오춘기 그림일기,da2a35,오춘기를 앓고있어요,9.85,286
36,포로롱 포롱,made_by_jey,수인들의 학교생활,9.84,146
53,우리 가 꿈,vldksh827,섭식장애이야기,9.84,299
59,올어바웃 You,bonka_you,귀염뽀짝 국제연애툰,9.84,319
63,엑스프렌즈,qweasdl11,이별 사연 에피소드,9.84,600
66,언니가 돌아왔다,bobaa4100,죽은언니가 돌아왔다,9.84,1616
67,나는 마요 집사로소이다,jengrl,쉽지 않은 집사생활,9.84,533
73,맹랑맘마 MEMORY,jjunesama,다시 쓰는 일기,9.84,607
37,오늘도 그래고래,graegorae21,힐링 미스터리 웹툰,9.83,1037
50,중간계 사우나,jh_20764,힐링 러브코미디,9.83,2163
118,러브 유어 시스터,echoiss,사랑스럽고수상한남자,9.83,780
13,양송부부의 맛있는 한잔,synam87,술이 있는 일상,9.81,646
14,행복을 만드는 방법,ps5246,집착감금물,9.81,237
40,내 룸메이트는 마네킹,seo_toon721,마네킹과 산다고 ?,9.81,2480
72,죽 쑨 만화,mulleongpatjuk,아싸 대학생의 일상,9.81,345
86,두꺼비집,blackrabbit94,가출청소년공포스릴러,9.81,513
93,제제와 함께,lsanoa,장애아이와 형제,9.81,530
3,과학고 생존일지,zupam,과학고에 간 문과생,9.8,556
18,느린한끼,bblumm,요리 만화,9.8,265
39,나부활,hl4600,나는사람을살릴수있다,9.8,708
44,여긴 불빛이 안 드는 곳이야,sksms5100,학교 로맨스 코미디,9.8,1278
110,타챠노트,tah_cha,프리랜서일기,9.8,259
141,사랑하는 제자들,hy_mn,나갈 수 없는 학교,9.8,68
139,프라이머리 컬러,horo199,게임회사 입사꿀팁!,9.79,295
52,생산직 툰,whdnjsgml1,생산직 4컷 만화,9.78,326
56,눈치없는 내 친구!,ybj0136,청춘 캠퍼스 개그물,9.78,600
85,분노의 난임일기,kierstein,난임 정복 웹툰!,9.78,411
107,러브 햄츄얼리,ekgpouo32,햄지 연애 성공기,9.78,429
30,런어웨이,hama2294,초능력자들의 이야기,9.77,991
91,만화 임진왜란,kimkhns,쉽고 웃긴 임진왜란,9.77,635
108,오무라이스 프로젝트,cjstkqhrja0503,다함께 오무라이스!,9.77,138
133,너구리네 육아일기,msguri,육아일기,9.77,306
24,이과지옥,wjsdudwo2002,이과 발암만화,9.76,696
97,LADS'PARTY,dpqls504,판타지 액션,9.76,609
99,미친 꽃은 답도 없다,ppp7116,로판 / 자유연재,9.76,656
113,소라비의 잡화점,jeong_rabbit,#남장여자,9.76,64
