목요일-연애혁명,목요일-롤랑롤랑,금요일-고래별,금요일-외모지상주의,수요일-고수,수요일-귀곡의문,월요일-뷰티풀군바리,월요일-유일무이로맨스,일요일-싸움독학,일요일-이번생도잘부탁해,토요일-어글리후드,토요일-호랑이형님,화요일-숲속의담,화요일-여신강림
"('솔직히', 18)","('귀여운', 4)","('좋겠다', 11)","('같음', 16)","('아닐까', 10)","('나쁜', 4)","('좋은', 10)","('같음', 6)","('좋겠다', 5)","('어떤', 3)","('같음', 6)","(nan, 29)","('아닐까', 5)","('좋아요', 8)"
"('자림이가', 16)","('같음', 3)","('좋다', 7)","('솔직히', 14)","('아님', 9)","('아닌가', 4)","('좋겠다', 10)","('좋아하는', 6)","('노란', 4)","('같음', 3)","('아님', 4)","('빠르가', 27)","('같음', 3)","('좋겠다', 6)"
"('좋은', 10)","('귀여워', 3)","('어떤', 5)","('좋겠다', 9)","('같습니다', 7)","('아님', 4)","('같음', 8)","('아니라고', 4)","('아니냐', 3)","('사랑스럽', 3)","('어떤', 3)","('빠르는', 17)","('슬프다', 3)","('솔직히', 6)"
"('좋아하는', 10)","('아닐까', 3)","('좋은', 4)","('같습니다', 9)","('많은', 7)","('같음', 4)","('아님', 8)","('아닐까', 4)","('같음', 3)","('유일하게', 2)","('없다', 3)","('같습니다', 16)","('행복하게', 3)","('나쁜', 4)"
"('아님', 9)","('소중하게', 2)","('편히', 3)","('아니냐', 7)","('좋은', 6)","('있네', 3)","('솔직히', 8)","('당연히', 3)","('좋아하는', 3)","('없다는', 2)","('있다면', 3)","('아린', 11)","('없네', 3)","('시끄럽게', 4)"
"('없어', 7)","('잘생긴', 2)","('아닌데', 3)","('작은', 6)","('아니냐', 4)","('귀엽고', 3)","('미친', 7)","('같아서', 3)","('정확히', 3)","('귀여운', 2)","('새로운', 3)","('아린의', 10)","('있지', 2)","('없고', 3)"
"('좋겠다', 7)","('솔직히', 2)","('좋겠고', 3)","('나쁜', 5)","('같음', 4)","('좋아', 3)","('없다', 6)","('좋은', 3)","('멋있네', 2)","('착해지려는', 1)","('재밌다', 3)","('같음', 9)","('선한', 2)","('좋은', 3)"
"('아닌가', 7)","('반갑다', 2)","('없다', 3)","('없음', 5)","('어떤', 4)","('없어', 3)","('없지', 5)","('어떤', 3)","('아닌데', 2)","('아니냐', 1)","('좋은데', 2)","('아린은', 8)","('유일하게', 2)","('행복하게', 3)"
"('좋아요', 7)","('귀엽다', 2)","('없는데', 3)","('없고', 5)","('없다', 4)","('강한', 3)","('아닌가', 5)","('아님', 3)","('있음', 2)","('없냐', 1)","('행복하자', 2)","('아린이', 8)","('있는것', 2)","('좋아', 3)"
"('자림이는', 6)","('망했다', 2)","('행복하게', 3)","('안되는', 5)","('솔직히', 4)","('충분히', 3)","('아닙니다', 5)","('있음', 3)","('아님', 2)","('아닌듯', 1)","('있다는', 2)","('많은', 7)","('싫어하는', 2)","('없어', 3)"
"('확실히', 5)","('아픈', 2)","('좋아요', 3)","('아니라고', 5)","('있었지만', 3)","('솔직히', 2)","('없고', 4)","('없고', 3)","('없다', 2)","('있겠니', 1)","('확실한', 2)","('붉은', 6)","('새로', 2)","('없다', 3)"
"('좋아하고', 5)","('같습니다', 2)","('아닐', 2)","('중요한', 5)","('확실히', 3)","('있음', 2)","('없음', 4)","('좋겠다', 3)","('없지만', 2)","('슬프냐', 1)","('태평하게', 2)","('아니냐', 6)","('어떡해', 2)","('좋았는데', 2)"
"('있는거', 5)","('이럴', 2)","('어렵다는건', 2)","('좋아요', 5)","('다르게', 3)","('친한', 2)","('미쳤다', 4)","('안됨', 2)","('다른건', 2)","('무서웠는데', 1)","('좋겠다', 2)","('빠르도', 6)","('좋아', 2)","('좋아하는', 2)"
"('힘들게', 5)","('다를', 2)","('있는게', 2)","('아닐까', 5)","('있지만', 3)","('있지만', 2)","('좋아하는', 4)","('없어요', 2)","('안되니까', 1)","('좋아하는', 1)","('미쳤나', 2)","('강한', 6)","('좋겠습니다', 2)","('좋아할', 2)"
"('없는데', 5)","('없다는', 2)","('아닐까', 2)","('좋은', 4)","('있었던', 3)","('아니야', 2)","('아닌데', 4)","('아닌거', 2)","('좋아한다', 1)","('가난해', 1)","('좋은', 2)","('아린과', 5)","('안녕하세요', 2)","('조용히', 2)"
"('아니냐', 4)","('좋지', 2)","('어떤지', 2)","('있음', 4)","('없는데', 3)","('이상하게', 2)","('부탁드립니다', 4)","('미안한데', 2)","('빠르네', 1)","('행복하게', 1)","('솔직히', 2)","('좋은', 5)","('꾸준히', 2)","('같냐', 2)"
"('그럴', 4)","('많은', 2)","('같아서', 2)","('빠른', 4)","('힘들게', 3)","('있는거', 2)","('많은', 4)","('있지', 2)","('예쁜', 1)","('안쓰럽네요', 1)","('궁금하다', 2)","('아닐까', 5)","('좋겠다', 2)","('많아서', 2)"
"('아닌듯', 4)","('아니야', 2)","('미어진다', 2)","('안됨', 4)","('있음', 3)","('중요한', 2)","('있기', 4)","('같아도', 2)","('당하면', 1)","('막연히', 1)","('미친', 2)","('없네', 5)","('행복해지면', 2)","('없어서', 2)"
"('이쁘다', 4)","('아니냐고', 2)","('굳건', 2)","('아님', 4)","('괴로워', 3)","('빡친거', 2)","('좋아요', 4)","('많고', 2)","('없지', 1)","('막막한데', 1)","('없다고', 2)","('시를', 4)","('멍청한게', 1)","('있다고', 2)"
"('좋아한다고', 4)","('같기도', 2)","('좋겠어요', 2)","('아닌가', 3)","('대단한', 3)","('귀엽다', 2)","('많아서', 3)","('아니길', 2)","('소심했을까', 1)","('있어도', 1)","('좋다', 2)","('없으니', 4)","('괴로울듯', 1)","('싫어', 2)"
"('싫다', 4)","('귀여워서', 2)","('아니다', 2)","('없죠', 3)","('부족한', 2)","('같아서', 2)","('좋음', 3)","('솔직히', 2)","('있었나', 1)","('그럴려면', 1)","('강한', 2)","('중요한', 4)","('특이한', 1)","('같아서', 2)"
"('좋다', 4)","('아닌가요', 2)","('있겠네요', 2)","('많아서', 3)","('높은', 2)","('싫다고', 2)","('없는데', 3)","('조켓다', 2)","('이상하게', 1)","('아팠을텐데', 1)","('그러더니', 2)","('있음', 4)","('이상한', 1)","('아닌데', 2)"
"('아닐까', 4)","('같았어', 2)","('슬프다', 2)","('많고', 3)","('없는거', 2)","('아니겠지', 2)","('아니다', 3)","('가깝게', 2)","('익숙한', 1)","('작작해', 1)","('어려운', 2)","('확실히', 4)","('진지한', 1)","('불쌍하잖아요', 2)"
"('바빠', 4)","('귀엽고', 2)","('많은', 2)","('원하는', 3)","('안된다', 2)","('있었던', 2)","('좋네', 3)","('편하게', 2)","('있었던가', 1)","('옳지', 1)","('이쁜', 2)","('솔직히', 4)","('귀엽고', 1)","('당연히', 2)"
"('없고', 3)","('귀여운데', 2)","('미안하다는', 2)","('있네', 3)","('그렇다면', 2)","('당연히', 2)","('확실히', 3)","('한심하다', 2)","('아팠었고', 1)","('전화하는거', 1)","('많아서', 2)","('빠르야', 4)","('유사한', 1)","('아깝다', 2)"
"('좋아해서', 3)","('행복해요', 2)","('같음', 2)","('미친', 3)","('그렇지', 2)","('멋있다', 2)","('그렇지', 3)","('많은데', 2)","('아니라고', 1)","('아프네', 1)","('있네요', 2)","('엄청난', 3)","('근접하게', 1)","('이런거', 2)"
"('설레', 3)","('그런거', 2)","('나쁜', 2)","('좋게', 3)","('원하는', 2)","('저래', 2)","('아니냐', 3)","('없다', 1)","('아닌것', 1)","('아프셔서', 1)","('멀쩡하네', 2)","('아님', 3)","('있으니', 1)","('아닌가요', 2)"
"('있나', 3)","('아프지', 2)","('있으니', 2)","('확실히', 2)","('진정한', 2)","('좋은', 2)","('좋고', 3)","('꾸준히', 1)","('뻔했는데', 1)","('아프시니', 1)","('같아서', 2)","('딱히', 3)","('멀쩡했지만', 1)","('빨개지고', 2)"
"('미안해', 3)","('아니구나', 1)","('좋아하는', 2)","('안좋은', 2)","('선한', 2)","('아니지만', 2)","('많음', 3)","('수상하다', 1)","('없는거로', 1)","('재밌게', 1)","('의해', 2)","('있는건', 3)","('없던', 1)","('영원한', 2)"
"('충분히', 3)","('있던건', 1)","('없으니', 2)","('착한', 2)","('상당히', 2)","('무섭', 2)","('있네', 3)","('수상하다가', 1)","('짧은', 1)","('있었다는', 1)","('있음', 2)","('흰마', 3)","('있는거', 1)","('많은', 2)"
"('죄송합니다', 3)","('아니였을까요', 1)","('아파', 2)","('좋은데', 2)","('없는게', 2)","('좋겠다', 2)","('착한', 3)","('그랬고', 1)","('대단한데', 1)","('건강하세요', 1)","('멋져요', 2)","('아린을', 3)","('아녀', 1)","('그래지고', 2)"
"('있었고', 3)","('확실히', 1)","('좋겠음', 2)","('재밌게', 2)","('아니라는', 2)","('안전하게', 2)","('빡치면', 2)","('궁금하다', 1)","('어마어마한', 1)","('힘들고', 1)","('멀쩡해', 2)","('비슷한', 3)","('있으라는', 1)","('없었다', 2)"
"('나쁜', 3)","('방심했는데', 1)","('어떡해', 2)","('큼직한', 2)","('있는가', 2)","('착한', 2)","('좋나', 2)","('꿋꿋하게', 1)","('아닐까', 1)","('같았음', 1)","('좋아', 2)","('없는데', 3)","('없으니까', 1)","('힘들었을텐데', 2)"
"('같은거', 3)","('역안에', 1)","('안좋은', 2)","('약해서', 2)","('있냐', 2)","('없을', 2)","('있어도', 2)","('좋아서', 1)","('신기하게도', 1)","('아쉽게', 1)","('있었던', 2)","('있죠', 3)","('안될', 1)","('힘들', 2)"
"('좋아', 3)","('짜릿한가', 1)","('없었으면', 2)","('다르네', 2)","('이상하게', 2)","('좋다', 2)","('없습니다', 2)","('있었는데', 1)","('아니야', 1)","('귀엽', 1)","('노란', 2)","('있었는데', 3)","('귀여우시고', 1)","('싫어하는', 2)"
"('반갑다', 3)","('귀엽네요', 1)","('안되는', 1)","('없는거', 2)","('있게', 2)","('위험한', 2)","('좋다고', 2)","('죄송하고요', 1)","('없어서', 1)","('미친', 1)","('가능한', 2)","('불쌍한', 3)","('안타까워', 1)","('어떡하냐', 1)"
"('있음', 3)","('먼데서', 1)","('가능할', 1)","('강한', 2)","('없어', 2)","('상냥해', 2)","('있었는데', 2)","('같으면', 1)","('그런거', 1)","('있냐고', 1)","('없겠다', 2)","('귀엽네', 3)","('괜찮지', 1)","('어때요', 1)"
"('귀여워', 3)","('섹시하다', 1)","('빡친다', 1)","('있다고', 2)","('아닙니다', 2)","('없나', 2)","('친하게', 2)","('맛있다며', 1)","('편안하게', 1)","('비슷하다고', 1)","('진지하다면서요', 1)","('이상하게', 3)","('중요한거', 1)","('아니냐', 1)"
"('미친', 3)","('필요해', 1)","('그러고도', 1)","('있었는데', 2)","('있지', 2)","('많은', 2)","('당하고', 2)","('나쁜', 1)","('예뻐하던', 1)","('짠하다', 1)","('그리웠', 1)","('있는거', 3)","('확실히', 1)","('무섭네', 1)"
"('좋겠습니다', 3)","('미친', 1)","('실패한', 1)","('있을듯', 2)","('다를', 2)","('재미있게', 2)","('빡친', 2)","('변한것', 1)","('같지도', 1)","('있다고', 1)","('어색한', 1)","('불쌍해', 3)","('없을', 1)","('재밌다', 1)"
"('싫어하는', 3)","('있기는', 1)","('어리석은', 1)","('있었네', 2)","('없고', 2)","('나쁘신', 2)","('쉬운', 2)","('같던데', 1)","('없다고', 1)","('기대할게요', 1)","('유쾌하면서', 1)","('굉장히', 3)","('있었다면', 1)","('차갑던', 1)"
"('안될', 3)","('있다고도', 1)","('약한', 1)","('많은', 2)","('이쁩니다', 2)","('나쁘다', 2)","('이쁜', 2)","('그럴수가', 1)","('가능하다', 1)","('아프잖아', 1)","('위험해', 1)","('있다는', 3)","('어른스러워지는', 1)","('붉어졌고', 1)"
"('없다고', 3)","('슬프다', 1)","('많았다', 1)","('그러다', 2)","('많아서', 2)","('당연하다', 2)","('있었습니다', 2)","('없는디', 1)","('중대한', 1)","('궁금하다', 1)","('아니라니까', 1)","('당하고', 2)","('같아서', 1)","('행복해', 1)"
"('차갑게', 3)","('더럽게', 1)","('많고', 1)","('새로', 2)","('있었구나', 1)","('나쁜가', 2)","('힘든게', 2)","('없죠', 1)","('없데요', 1)","('길게', 1)","('진지한', 1)","('아니었던', 2)","('안쓰러워요', 1)","('없지', 1)"
"('재밌는', 3)","('불안정해', 1)","('무섭다고', 1)","('없지', 2)","('잔잔한', 1)","('있겠지', 2)","('같긴', 2)","('많은거', 1)","('안녕하세요', 1)","('비슷한', 1)","('미치겠다', 1)","('아니다', 2)","('좋은데', 1)","('너무한것', 1)"
"('유명한', 3)","('강해져서', 1)","('그런데도', 1)","('비슷한', 2)","('같아서', 1)","('아니냐고', 1)","('딱히', 2)","('그랬잖아', 1)","('뿐입니다', 1)","('같으면서', 1)","('어떻', 1)","('안되는데', 2)","('싫어하는걸', 1)","('같긴', 1)"
"('없나', 2)","('붉더라', 1)","('원했는데', 1)","('귀엽잖아', 2)","('조마조마하게', 1)","('왠만한', 1)","('있지만', 2)","('귀여워', 1)","('높으나', 1)","('있는걸', 1)","('없으면서', 1)","('빠른', 2)","('아파', 1)","('많아도', 1)"
"('진지하게', 2)","('행복하게', 1)","('슬플듯', 1)","('이쁘네', 2)","('강하구나', 1)","('안쓰러워', 1)","('짜증날듯', 2)","('쎄하게', 1)","('많은', 1)","('있네', 1)","('같으면서도', 1)","('아닌거', 2)","('짠해요', 1)","('쓸데없는', 1)"
"('활기찬', 2)","('급하게', 1)","('있을지', 1)","('재미있는데', 2)","('배불러있으면', 1)","('무서워하는거냐고', 1)","('있었으면', 2)","('독하다', 1)","('필요합니다', 1)","('귀여워', 1)","('다르게', 1)","('아니구나', 2)","('힘들다는', 1)","('쓸데없고', 1)"
"('자림이와', 2)","('이럼', 1)","('무사해라', 1)","('아닌데', 2)","('당연히', 1)","('직하고', 1)","('희는', 2)","('좋아하는거', 1)","('아닙니다', 1)","('무사히', 1)","('고맙다고', 1)","('강해질', 2)","('차가운', 1)","('꾸준한', 1)"
"('궁금함', 2)","('무서워', 1)","('그러는', 1)","('재미있다', 2)","('먼가', 1)","('괜찮은데', 1)","('죄송하다고', 2)","('귀엽다', 1)","('그러니', 1)","('미치도록', 1)","('힘들어', 1)","('아닌듯', 2)","('아프다', 1)","('여전히', 1)"
"('같지만', 2)","('이쁘다', 1)","('없었던', 1)","('힘들게', 2)","('건강하세요', 1)","('안되는', 1)","('이쁘다', 2)","('있으니까', 1)","('이래나', 1)","('엄청난', 1)","('속상함', 1)","('그러네', 2)","('대단하', 1)","('뻔히', 1)"
"('어떨까', 2)","('있게', 1)","('성장했다는', 1)","('멋있다', 2)","('완벽하게', 1)","('있긴', 1)","('없었는데', 2)","('아닌가', 1)","('저래나', 1)","('뿌듯해', 1)","('완전함을', 1)","('시들한테', 2)","('행복하세요', 1)","('똑같다', 1)"
"('좋아하는거', 2)","('그러는', 1)","('슬프고', 1)","('같냐', 2)","('있었습니다', 1)","('없긴하지', 1)","('좋게', 2)","('아니겠지', 1)","('힘든', 1)","('많다니까', 1)","('아니었냐', 1)","('아린에게', 2)","('서늘해요', 1)","('미안한데', 1)"
"('아닌거', 2)","('분명한데', 1)","('긴박한', 1)","('재밌는데', 2)","('뛰어나', 1)","('친절한거', 1)","('있음', 2)","('같구용', 1)","('있어서는', 1)","('많으면', 1)","('마라', 1)","('정확히', 2)","('평화롭게', 1)","('괜찮아는', 1)"
"('미안하고', 2)","('빡친것', 1)","('무사하길', 1)","('아니에요', 2)","('괜찮지', 1)","('하찮음', 1)","('같지만', 2)","('당하던', 1)","('상당한', 1)","('비싼', 1)","('없으면', 1)","('특이한', 2)","('귀엽다', 1)","('예쁜', 1)"
"('없지', 2)","('멋있어', 1)","('있다는것', 1)","('그렇', 2)","('없다고', 1)","('성장하길', 1)","('없다는', 2)","('설렌다', 1)","('옳습니다', 1)","('많다면', 1)","('안되는건데', 1)","('상당한', 2)","('같지는', 1)","('이뻐요', 1)"
"('심하게', 2)","('아련하게', 1)","('싫다', 1)","('뻔하다', 2)","('거대해', 1)","('기대할게', 1)","('어떤', 2)","('아닐', 1)","('당할', 1)","('이럴', 1)","('슬프네', 1)","('없던', 2)","('아니까', 1)","('당당하게', 1)"
