목요일-연애혁명,목요일-롤랑롤랑,금요일-고래별,금요일-외모지상주의,수요일-고수,수요일-귀곡의문,월요일-뷰티풀군바리,월요일-유일무이로맨스,일요일-싸움독학,일요일-이번생도잘부탁해,토요일-어글리후드,토요일-호랑이형님,화요일-숲속의담,화요일-여신강림
"('솔직히', 18)","('귀여운', 4)","('좋겠다', 11)","('같음', 16)","('아닐까', 10)","('나쁜', 4)","('좋은', 10)","('같음', 6)","('좋겠다', 5)","('어떤', 3)","('같음', 6)","(nan, 29)","('아닐까', 5)","('좋아요', 8)"
"('자림이가', 16)","('같음', 3)","('좋다', 7)","('솔직히', 14)","('아님', 9)","('아닌가', 4)","('좋겠다', 10)","('좋아하는', 6)","('노란', 4)","('같음', 3)","('아님', 4)","('빠르가', 27)","('같음', 3)","('좋겠다', 6)"
"('좋은', 10)","('귀여워', 3)","('어떤', 5)","('좋겠다', 9)","('같습니다', 7)","('아님', 4)","('같음', 8)","('아니라고', 4)","('아니냐', 3)","('사랑스럽', 3)","('어떤', 3)","('빠르는', 17)","('슬프다', 3)","('솔직히', 6)"
"('좋아하는', 10)","('아닐까', 3)","('좋은', 4)","('같습니다', 9)","('많은', 7)","('같음', 4)","('아님', 8)","('아닐까', 4)","('같음', 3)","('유일하게', 2)","('없다', 3)","('같습니다', 16)","('행복하게', 3)","('나쁜', 4)"
"('아님', 9)","('소중하게', 2)","('편히', 3)","('아니냐', 7)","('좋은', 6)","('있네', 3)","('솔직히', 8)","('당연히', 3)","('좋아하는', 3)","('없다는', 2)","('있다면', 3)","('아린', 11)","('없네', 3)","('시끄럽게', 4)"
"('없어', 7)","('잘생긴', 2)","('아닌데', 3)","('작은', 6)","('아니냐', 4)","('귀엽고', 3)","('미친', 7)","('같아서', 3)","('정확히', 3)","('귀여운', 2)","('새로운', 3)","('아린의', 10)","('있지', 2)","('없고', 3)"
"('좋겠다', 7)","('솔직히', 2)","('좋겠고', 3)","('나쁜', 5)","('같음', 4)","('좋아', 3)","('없다', 6)","('좋은', 3)","('멋있네', 2)","('착해지려는', 1)","('재밌다', 3)","('같음', 9)","('선한', 2)","('좋은', 3)"
"('아닌가', 7)","('반갑다', 2)","('없다', 3)","('없음', 5)","('어떤', 4)","('없어', 3)","('없지', 5)","('어떤', 3)","('아닌데', 2)","('아니냐', 1)","('좋은데', 2)","('아린은', 8)","('유일하게', 2)","('행복하게', 3)"
"('좋아요', 7)","('귀엽다', 2)","('없는데', 3)","('없고', 5)","('없다', 4)","('강한', 3)","('아닌가', 5)","('아님', 3)","('있음', 2)","('없냐', 1)","('행복하자', 2)","('아린이', 8)","('있는것', 2)","('좋아', 3)"
"('자림이는', 6)","('망했다', 2)","('행복하게', 3)","('안되는', 5)","('솔직히', 4)","('충분히', 3)","('아닙니다', 5)","('있음', 3)","('아님', 2)","('아닌듯', 1)","('있다는', 2)","('많은', 7)","('싫어하는', 2)","('없어', 3)"
