참여자수,댓글수,댓글
18260,4766,"'이태성은 학폭논란으로 하차한건가요?', 'ㄹㅇ 권지태가 드러누웠다는건 예전 김기명이 이길정도로 약하다는걸 알기때문에 드러누운거ㅋㅋㅋ', '권지태 일부러 진거같은데 ? 샤오룽도 눈치챈거같고', '서성은 씹호감 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ', '기억해라 권지태는 종건앞에서도 쓰러지지않았다', '김기명이랑 권지태 둘다 서로 지가 더 강하다 생각하는 중인듯ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ', '갓기명님이 권지테보다 센듯', '성요한 싸우는거 보고싶다고 아ㅋㅋㅋ', '지태 일부러 쓰러진듯', '지태가 본 힘을 다 쓰지않았다는걸 샤오룽이 눈치 챘네요 아니 기명이만 모르는거 아냐?', '비비 과거 씬 저거비비맞냐?예전엔 s라인 이었으면서지금은 초딩몸매 다 됐네 ㅋㅋ중국의시간은 거꾸로 흐른다 이말인가 ㅋㅋㅋㅋㅋ', '아ㅋㅋㅋㅋ 마약해서 몸매 변한거라고ㅋㅋㅋㅋㅋㅋ', '그 무거운 언월도를 휘두르는 샤오룽이 언월도 없이도 초인이고,이 커다란 지태를 칼로 둔 김기명도 칼 없어도 싸울 수 있다는거 아니냐', '현도가 안나오는 이유는 세계관최강자라 밑에 애들 다 염산통으로 정리하고있음 다음화에 나올듯', '중간에 언월도로 찔러서 죽인거 뭔가 복선같음 샤오룽이 김기명한테 밀리니깐 언월도 쓰고 싸우다가 언월도가 튕겨져 나가다가 그타이밍에 비비 나오면서 언월도가 비비한테 향하다가 샤오룽이 대신맞아 죽을거 같음'"
20677,6364,"'소국이라 부르기엔 땅덩어리가 크고 대국이라 부르기엔 마음이 좁다 그렇기에 中국으로 부르게 되었다.', '소국이 대국위에 서지말라?ㅋㅋㅋㅋ 웃기고 자빠졌네', '근데 종건이상급이 가르친 최고재능이잔아 지금 박형석', '근본도 없는 중국 캐릭터들씹근본 왕오춘이 5000배 났다', '한신우마약 한신우마약한신우 마약한신우마약한신우마약한신우마약한신우 마약한신우 마약한신우 마약한신우마약한신우마약한신우 마약한신우 마약 한신우 마약 한신우마약이 양이 이번 화에서 나온 끝말잇기 개수', 'ㄹㅇ 요즘 태준이형 전성기 돌아왔다니까?', '성요한 통수 칠각이네자기 엄마 그렇게 만든곳인거 알게되면', '샤오롱 창 안드니깐 전투력이 확 내려가네', '바이러스 대국은 맞지ㅋㅋㅋ', '성요한 김기명 박형석 손잡고 나란히 3계열사 박살내겠네 ㅋㅋㅋㅋㅋ요한 - 어머니 지금 상황까지 이르게 된 원인기명 - 한신우형석 - 마약(음지 찾아서 4대크루 없애기)', '근데 이번화 주제가 마약이잖아?확실히 중국은 안좋은쪽에선 대국임폭발,인신매매,마약,전쟁,바이러스 모든분야에서 나쁜쪽으론 선두주자로 뛰고있으니 그야말로 악의대국에 걸맞는대국이다ㅇㅇ 그니까 대국답게 분열했으면좋겠다', '미국한테 뭐하나 이기는거없는주제에 먼놈의 대국ㅋㅋㅋ우물안의 개구리가 날뛰어봤자 독수리먹이지대국이면서 코로나는왜 못잡냐 니들', '예전에 치킨집에서 중국인 학생이 한국인 학생들 + 교수하고 밥 먹는걸 보면서 들은적 있는데 겸손하더라근데 술 들어가고 취했다 싶더니 중국어하고 영어 섞으면서 뭐라뭐라 하는데 그 중국인 옆자리 있던 한국 학생이 말하길 한국은 중국 속국에 불과하다 중국은 대단하다 씨부렸다더라 겉으로 세상 착한척하더니 속으로는 그런 사상가지고 있는 애들임 그거듣고 교수는 빡쳐서 욕질함', '진짜 마약은 쿠키지 ㅋㅋㅋ'"
40515,20368,"'근데 여기 헤드들 다 군면제네김기명 교도소복무한신우 애꾸성요한 실명장현 고아서성은 정신병자왕오춘 뒤짐', '버스를 버텻는데 전깃줄을 못버틴다? 전깃줄이 세계관 최강자네', '⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠈⢻⢷⣷⣣⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⣀⣀⣀⡀⠀⠀⠀⠀⠀⠀⠀⢏⣿⣿⡵⡀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⣠⣮⣷⣿⣿⣿⣿⣷⣄⣄⠀⠀⠀⠀⠈⢞⣿⣿⡵⡀⠀⠀⠀⠀⠀⠀ ⠀⠀⡠⣿⣿⣿⣿⣿⣿⣿⣿⣿⣧⣏⢦⣤⡀⠀⠀⠀⠫⣻⣿⣾⢄⠀⠀⠀⠀⠀ ⠀⣔⣿⣿⣿⣿⣿⣿⠿⣿⠻⢟⣿⣿⣿⣿⣿⡆⠀⠀⠀⠑⡿⣿⣯⢆⠀⠀⠀⠀ ⢰⣸⢿⣻⢟⠃⠉⠉⠀⡠⠤⠸⣸⣿⣿⣿⡳⠁⠀⠀⠀⠀⡨⠺⠿⠇⢓⡄⠀⠀ ⠧⠊⠁⠘⣖⣳⠠⣶⣋⡹⠁⠀⠛⣩⢻⠋⠀⠀⠀⠀⠀⢀⠇⠀⠀⠀⠀⢾⠀⠀ ⠀⠀⢠⠂⠁⠓⠒⠊⠀⡠⠤⡀⢠⠀⠚⠀⠀⠀⠀⠀⡠⠊⢀⠤⡤⣔⠩⠼⡀⠀ ⠀⠀⢇⠀⠀⢀⡠⢔⣪⠠⠖⠇⡘⠀⠀⠀⢀⠄⠒⠉⢀⠔⠁⠀⣧⢞⠮⠭⠵⡀ ⠀⠀⠘⠒⠉⣾⣀⣀⠀⣀⣀⠦⠗⠹⠙⠃⠁⠀⡠⠔⡡⠔⠒⠉⡨⢴⢹⣿⣏⡆ ⠀⠀⠀⠀⡸⠉⠀⠀⠁⠀⠀⠀⠀⣇⡠⡄⡶⠯⠔⠈⠀⠀⡠⠊⠀⠀⡿⣿⣿⡇ ⠀⠀⠀⢀⠇⠀⠀⠀⠀⢀⣀⠤⡤⠵⠊⢸⠀⡠⠤⠤⠐⠉⠀⠀⠀⠀⣷⣿⢿⡇ ⠀⠀⢀⠃⠀⢀⣀⣀⣀⣠⣀⣀⣿⠉⠉⠉⠉⠀아 ㅋㅋ 이건아니지⠀⠀⠀⠀⠀⠀⠀⠀⠀', '이게 낭만이라는건가요?', '펙트 저거 3년전임 ㅋㅋㅋ지금 싸워봐봐왕오춘: 장진혁피셜로 제대로 움직이면 곽&팽듀오랑 같이 4대크루 통핮가능성요한: 강북,강서,강남,강동에서 종건찾을려고 별에별놈들이랑 다 싸워봐서 소프트웨어,하드웨어,재능 만렙찍음김기명: 2년후 종건에개 상처는 못냈지만 입쪽에 피터지게하고 소년원에서 1짱먹고 ㅈㄴ단련함글고애초에 김기명vs성요한vs왕오춘이렇게 하고 있어서 힘 다 빠진 상태에서 막타침ㅋㅋ 추하다 성은아', '5주뒤에보는 님들아 305화가 재업로드되서 배댓들 화난거임 급발진으로 보진 말아줘ㅋㅋ', '도박장면 보여주면서 준구가 나는 패가 좋은데 왜 계속 지는거 같지? 부분 복선 같은데...준구가 비밀친구를 만들어 좋은 패 만들어서이기는 것처럼 보이지만 종건은 ㄹㅇ 최회장 측근이라 준구 후에 종건한테 완전 털릴거 같은데', '서성은이 다처바른다고?? 너무 벨붕아닌가', '그냥 왕오춘이 서성은 존나세다고 했잖아 ㅋㅋㅋㅋㅋ뭘 막타충이야애초에 종건이 광기 컨트롤하면 세질거라고 복선도 넣음', '저 때 기준으론 개인적으론 장현>서성은>왕오춘>김기명=성요한 으로 생각할수 있음장현이 왜 1위냐면 저때 종건에게 줜나 큰 흉터준게 장현임 성요한은 물론 김기명, 왕오춘도 종건에게 닿지도 못한 시절임 서성은이 다른애들 싸우는데 기습한 점도 있고, 일단 저때 기준으론 장현이 4대크루 싸움 1위임', '5주후에 볼 친구들이 댓글보고 뭔 상황일까 해서 간단 요약해준다10/29일 11시 09분 외모지상주의 김기명15편 업로드를 하였는데 김기명 4편이 업로드가 되어서 낮은 별점과 30분도 되지않아 12000여개의 댓글이 달림ㅈ이버는 30분쯤 뒤에서야 글을 수정 , 사과 없음 결론 박태준도 피해보고 독자도 피해봄', '내가 외모지상주의에 제일 궁금한거 1.이지훈 박형석 관계2.권지태가 김기명한테 충성하는 이유3.진호빈눈3.회장 팔 자른사람4.김갑룡 죽은이유5.일해회 헤드 정체6.10명의 천재중 나머지 2명은 누구인가?7.미진이 수영복8.준구가 비밀친구 모으는이유9.최회장이 교도소에서 만난사람10.이도규손과 배상처11.일해회 1,2,3계열사12.한신우는 살아있나?13.쁘래딱 전투력', '우리가 얕보였나..그럼 안되는데', '⠉⣹⣿⡿⠟⠋⠁⢸⠀⠀⠀⠈⡇⠀⠀⠀⠘⢕⣒⣒⣒⣺⡿⠛⢷⣽⣕⢄⠹⣷⢴⣿⡻⠁⠀⠀⠀⢈⡀⠀⠀⡠⠇⠀⠀⠀⠀⠀⠀⠀⠀⣾⣃⠀⠀⢹⣿⣷⣮⣭⠀⠀⣀⠀⠀⠀⢐⣁⣤⠶⠻⠟⠂⠀⠀⠀⠀⠀⠀⠒⡿⠛⠓⠊⢕⠜⣿⣿⣿⡿⠀⡰⣿⣿⣿⣿⡿⠟⠁⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠘⣿⣿⣿⠇⠀⡇⢿⣿⣿⠏⠁⣤⠒⠐⠒⢄⠀⠀⠀⠀⠀⠀⠀⢀⠔⠒⠐⠢⡤⠀⠙⣿⡿⠀⢰⠇⠸⣿⡇⢠⣶⡇⠀⣤⡄⠀⣧⠀⠀⠀⠀⠀⢀⡏⠀⣤⡄⠀⣿⠆⠀⢿⠁⠀⢸⠀⠀⣿⡇⠀⠺⡓⢀⠈⢁⢠⡂⠀⠀⠀⠀⠀⠸⢦⢀⠉⠀⠀⠉⠅⠀⢨⠀⠀⢰⠀⠀⠹⡇⠀⠀⠀⠁⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠐⠀⠀⠀⠀⢨⠀⠀⣸⠀⠀⠐⢃⢱⣄⠀⠀⣀⣠⣶⠀⠀⠀⠀⠀⠀⠀⠀⣦⣄⠀⠀⢀⣠⠀⡄⠀⠀⠁⠀⠀⠀⠈⣢⣫⣽⠟⠉⠀⠉⠠⣤⣄⣀⢀⣠⣤⠄⠁⠈⠉⠙⣿⠇⠠⠀⠀⠀⠀⠀⠀⠀⠀⠐⣻⣿⣥⣶⡞⠻⣶⣦⣽⣿⣿⣻⣥⣶⡾⢛⣷⣼⠏⠢⠃⠀⠀⠀⠀⠀⠀⠀⠀⠀⢳⠽⣿⣿⣿⡦⠀⠀⠀⠉⠉⠀⠀⢀⣠⣾⣯⡟⣌⡅⠀⠀⠀⠀⣀⣀⣀⣀⣠⣤⣽⣯⠽⣿⣿⣷⣼⣿⡇⣿⣿⣿⣟⣿⣿⣿⡟⢄⣾⣅⠀⠀⠀⠀⡠⠽⠻⣿⣿⡿⠿⣻⣿⡭⢫⠃⠸⣿⣷⣿⣟⣿⣿⡟⢠⡾⠀⣺⣿⢹⠑⢤⣀⠀⠀⠀⠀⠹⣿⣿⠇⢿⣿⣿⡀⢊⢄⡘⠾⠿⠿⠿⠛⢠⣾⠃⣼⣿⡃⠘⡇⠀⠙⢅⠀⡀⠠⠀⠹⡽⠀⢻⣿⣿⡿⠈⢠⠑⠶⠤⠦⡶⠚⠁⠍⢸⣿⣿⣇⠀⠿⠀⠀⠀⠀⠀⠀⠀'"
22839,6433,"'성요한도 빅딜이었으면 이미 4대크루 연합 아니냐ㅋㅋㅋㅋ', '작가님 빠른 쾌유를 빕니다 꼭 나으셔서 돌아오세요!!', '한신우가 빅딜을 팔아넘긴 이유는빅딜을 안 팔아넘기면밑에 애들 건드린다고협박 받은 거 같음... 절대 돈 때문에팔아넘기려고 했던 거는 아닌 거 같음그리고 한신우가 김기명 보고는돈이 필요했다고 거짓말 쳤고이 부분에서 김기명 한신우는 싸우게 됐고한신우가 김기명에게 희망을 걸고일부로 져줬을 거 같고 한신우는 은퇴한 거 같고한신우에 기대와 반대로 김기명은 점점흑화하고 있는데 그것을 바로잡아줄 거 같은게한신우 일꺼같음', '작가님 코로나 걸리셨다 듣었습니다. 빠른 쾌유를 빌겠습니다.', '성요한 빅딜이었으면 박지호는 죽었겠지', '김기명 서성은 이복형제 거의 확정이네 ㅋㅋ 건달이라고 싸움실력 하나는 기가 맥히는 정자만 뽑아서 여자들 쑤시고 다녔나보네 그나저나 권지태 이샠히 지가 존경하는 김기명한테 패드립 오지구얔', '성요한은 모든 에피소드에 다 출첵하네... 역시 만신의 아들', ""아무도 못본거야?지태 핸드폰으로 풍산개 보는 장면에서 풍산개 밑에 '풍산개교의 자금 추적하니 HNH그룹?' 이런 말이 쓰여져 있는데 사이비 사건도 사실 최회장과 관련됬을 수 있다는 말이잖아. 이 웹툰에서 최회장이 진짜 악인인데?"", '누가 한신우9살때부터 몇십명이랑 싸운게아니라 성인이라고 했었는데.9살때부터 싸운거였네 ㄷ ㄷ', '걸려야할 새끼는 안걸리고 왜 작가님이 걸리십니까.. 작가님 빠른 쾌유를 빕니다..ㅠㅜ', '성요한이 준구랑 뜰때 김기명MMA카피한게옛날에 만났었다는 복선이였네떡밥회수지린다', '종건만 해치우면 솔직히 4대크루 다 해체됨최회장은 4대크루 정리하려고하고있고준구는 아예 관심이없음4대크루는 종건눈치보느라 억지로뭉쳐있을뿐솔직히 만악의근원 종건 이새끼만 밟으면 4대크루 해체됨어렵게 헤드들 다 만나볼필요없이 걍', '외모지상주의 진 주인공은 성요한이다. 에피소드마다 빠지지 않고 등장하네', '작가님 아프시면 안돼요 ㅜㅜㅜㅜㅜ 빠른 쾌유 바랍니다 늘 웹툰 재밌게 보고 있습니다 워싱칭따오🥺🥺', '이도규ㅡ김기명아빠의 관계둘은 전국구 주먹 vs 전국구 주먹 공동1위로체급 동급, 실력 동급,하지만 세력이있는 기명아빠와 달리 이도규는 단신임.작가 비공개컷씬중 도규랑 기명아빠랑 유명한 일화가 있음. 도규ㅡ 부러쓰부러쓰! 결전의 날이 와부러쓰!ㄲ추좀 살짝 지려부러쓰!기명파파ㅡ 오늘로 대단원이구려. 옷 안입는건 여전하구먼. 대충 이런 내용.격전끝에 결국 김기명 아빠는 엄청난 치명상을 입고 여기서의 부상으로 사망하게됨이도규또한 멀쩡하지못했는데앞니가 몇 날아가고, 손 하나가 불구가 되었으며배에 흉측한 상처를 남기게됨.나중에 일해회 에피에서 보여준 이도규의 앞니빠진모습,의수를 달고 다니는모습, 요한테스트때 상의벗었을때 배에있던 큼직한상처 모두 기명아버지가 남긴것.이후 도규는 전국구 실세가되지만자신도 몸이 무사하지못해 잠정 은퇴후 최동수를만나 돈버는 파트너가됨.그리고 도규가 쓰는 스카프도 잘보면 기명아빠거랑 똑같음전리품이고, 널잊지않겠단 뜻'"
24166,8189,"'박형석은 무슨 이제 기술 배끼는거모자라서대사도 배끼네ㅋㅋㅋㄱ 저번에도 4대크루 탈락 ㅇㅈㄹ하더니ㅋㅋㅋㄱㅋ', '너클은 바스코가 껴야되는거 아니냐?ㅋㅋㅋㅋㅋ 크루이름이 번너클인데', '종건이 인정안한 이유를 오춘이는 알고있네', '성요한이 쪼그려 앉아있는 장면 보니깐서성은 개처맞고 땅바닥에 다운됐었나보네역시 갓요한 탈크루헤드의 맞짱실력해드중 싸움재능 1위', '서성은 원래 빅딜인가봄 김기명이 돌아오라는거 보니', '와중에 싸운장면에서 성요한만 가장 적게다쳤네', '저 너클끼면 조커되냐 왜 다 쳐 웃고있냐', '박형석 이 새끼는 재열이 말은 잘 알아들으면서 원석이 말은 1도 못 알아듣네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ', '성요한과도 싸워봤다김기명과도 싸워봤다왕오춘과도 싸워봤다그런데 다 졌다', '서성은: 사고 칠거 같은 놈 장현:사고 한번 크게 친 놈', '애들 첫인상과 중간인상과 현인상김기명: 쌈잘하는 형→킹기명→퇴물되는중...성요한: 찐따호구→빚요한 추요한 개요한→빛요한왕오춘: 똘추→모범생, 인간말종→외지주 최애 캐릭터장현: 착함,딸바보→들짐승→목줄달린 짐승서성은: 피지컬천재→두뇌천재→싸이코패스종건: 인성썩은형→쌈 개잘하는 간지캐→예능캐준구: 쌈 개잘하는 간지캐→예능캐→두뇌천재박형석: 왕따→찐따→킹형석', '성요한 김기명 왕오춘과 싸워봤다고만 했지 이겼다곤 안 했음 ㅋㅋ 약해서 안 된 거임', '그리고 야 ㅋㅋㅋㅋ 싸움으로 사고칠놈??ㅋㅋㅋㅋㅋㅋ종건 맨날 애들 뚜들겨패서 김기명 이빨 뽑았지결국 왕오춘도 죽는상황까지 만들엇지 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ니가 제일 사고칠놈 아니냐', '따로 진적은 없다 추가됐네 ㅋㅋㅋㅋ 다들 졌다고 유추하니', '왕오춘이 서성은한테 맞고 피범벅돼서 서성은이 왕오춘급이라는 사람 있는데 왕오춘은 그냥 맞아주지 않나? 안아픈데 원석이 공격도 다맞고'"
23464,12511,"'그 천재 설마 함선농 무의식임?', '일해회는 크루가 아니라 기업이라더니 디른 4대크루랑 수준이 다르네 ㅋㅋㅋㅋ', '종선 이 새111끼 가만보면 은근 예능캐임 ㅋㅋㅋㅋㅋㅋㅋ', '앉아있으니까 내려보겠지..', '박형석은 왜 옷이 벗겨진 채로 깨어났을까요', '무의식같은 치트키없이 종건이랑 비빈 준구는 대체 얼마나 괴물이야 ㄷ', '일개 간부 따위가 호스텔 진짜 헤드를 내려다보냌ㅋㅋㅋ', '종건 특1. 맞는 거 좋아함2. 크루 성애자 3. 무의식으로 인생을 살아감 맙소사', '종건은 자기가 옷 벗어서 벗겨져있다치자 박형석은 왜 벗고 종건 위에 올라타있음?', '외모지상주의는 깔수없는게 휴재한번없이 여기까지옴 다른작품 몇개 더 생겨서 신경 못쓴시기가 있긴했어도 지각한적없고 휴재 없는거 이거 진짜 대단한일이다', '종건 발린거 맞습니다. 풀마운트 상태에서 주팔인 오른팔까지 부러졌는데 처맞는거 말고 할수있는거 없죠. 그리고 종건이 아랫것들에게 쓰는 재능이 아닌 천재라는 말을 쓴걸 보아 그 천재에게도 발린것 같네요.', '???:대기업과 싸워서 이기는법(?)', '무의식은 극도의 긴장 흥분상태가 극에 달아야 써진다고 했고 긴장과 흥분이 원래대로 돌아오면 무의식이 풀린다고 했는데 박형석도 마찬가지로 권지태랑 싸울땐 지태가 무형석보다 너무 약해서 조금 압도하다가 긴장이 풀려서 의식이 돌아온 거고 종건이랑 싸울땐 종건이 무형석 못지않게 ㅈㄴ쎄서 긴장이 오랫동안 안풀렸던거고 결국 팔을 부러뜨리고 나서야 긴장이 풀리고 무의식이 풀린것같음 박형석의 무의식은 강한 애들 상대로 써야 발동되는듯', ""4개의 계열이 있다고 했는디이뜻은 4개의 사업.첫번째로는 이번에 나온 ONE MCN 사업.왠지 턱X,덕X 사건 처럼 BJ상대로 사기치고 그런 짓 할듯.두번째 사업은 '약'과 관련된 사업일것 같음.왕오춘이 먹던 약에 일해회 표시가 있었는데겉으로는 약을 만드는것 처럼 보이나뒤에서는 마약 거래 할것 같음.세번째 사업은 창X촌 인것 같음.'장현'편에서 나왔듯이 예전 빅딜의 사업 수단은 창X촌 이였음. 근데 빅딜 전 No.1이 일해회에 팔아넘겼다고 했으니그 사업은 아직 일해회가 하고 있을듯.그리고 빅딜 전 no.1은 현재 일해회에 no.2 자리에 있을것같음.마지막으로 네번째 사업은 추정불가.조심스레 예상해 보자면 네번째 사업은 돈 받고 대신 싸워주는 일 같음.이 방식은 준구가 하던 방식. 돈 받고 애들 패러 다님.쨋든 가출팸에서 곽팽듀오가 박형석보고 일해회에서 왔냐고 했었는데 추측해보면 일해회는 돈으로 싸움 잘하는 사람 고용해서 싸우는 방식인듯"", 'M 마C 초One 일'"
27375,8121,"'베댓되면 롤 계정 삭제함', '성요한 날강두급 벤치', '한자 해석푸른 하늘이 빛나는 날그가 다시 내앞에 왔네핏 비린내 풍기는 곳그곳 앞에 내가 서있네', '지네 혼자 시빌워 찍은 재원고vs아빠왔당', '성요한 옥상에서 뛰다가 골절됐냐...', '호스텔 설날이라고 가족들 총집합이네 ㅋㅋㅋㅋㅋ', '진호빈 어디로 토꼈냐', '슬슬 응탱듀오 나올때 됬는데', '왕오춘도 훈련 받았는데 가오 상하게 바로 털리진 않겠지', '그래서 알약인가 농약인가 두봉지 먹는 얘는 진호빈한테 한대 얻어맞고 기절했냐? 어디감', '장진혁 똑똑한거 맞냐 ㅋㅋㅋ 맨날 처맞으면서 또 깝치다가 맞네 ㅋㅋ 학습능력없냨ㅋㅋ', '이진성 쓰러졌네 개인적인 바램이지만 갓독 때 빚졌다고 하면서 요한이가 진성이 구해줬으면', '장진혁 그냥 나불나불대기만 하다 처맞는 걸로 끝나네 ㅋㅋㅋ', '開封有個包青天 카이 펑 요우 거 빠오 칭 티엔 개봉부의 포청천铁面无私辨忠奸티엔 미엔 우 쓰 삐엔 쫑 지엔철면판관 이로세 江湖豪杰来相肋지앙 후 하오 지에 라미 씨앙 쭈강호의 협객들과', '왕오춘 스팩정리종건한테 하도 쳐맞아서 강한 맷집장현보다 오랜 가라데 훈련과정호스텔 장현이 이끌때부터 터득된 개싸움권지태한테 킥을 날릴 줄 아는 패기장현이 되겠다는 집념으로 다져진 똘끼성요한을 낚아 적으로 만들어도 신경 안쓰는 배짱장진혁조차 분석안되는 혼종결론 : 적어도 장현한테 개찢길정도는 아니라고 생각함'"
27338,3279,"'난또장현옛날얘긴줄알았어ㅋㅋㅋ', '18렙 풀템장현 vs 1렙 도란검 장현', '순간 왕오춘 얼굴 나왔을 때 장현 꿈인줄 알았네 ㅋㅋㅋㅋ', '작은형석 큰형석으로 모자라작은장현 큰장현까지 나와보리네', '미러전이냐?', '난 또 목수 아저씨가 왕오춘이랑 똑같이 생긴줄 알았네 ㅋㅋㅋㅋ', '성요한은 개키우고장현은 딸키우고권지태는 고양이키우고왕오춘은 장현키우고 있었네', '왕오춘 장현한테 집착해서 애한테 장현이라고 부르고, 예전에 장현한테 많은 걸 알려줬던 목수 아저씨라고 부르게 하고... ㄷㄷ', '김기명은 박지호키우냐 그럼', '다음화 : 장현 나야...니가 사랑하는 목수 아저씨..이러다가 나까지죽어...', '장현,최수정,박형석 삼각관계 떡밥 풀렸네ㅋㅋ큰형석 ㅡ 작은형석큰수정 ㅡ 작은수정큰장현 ㅡ 작은장현ㅋㅋㅋㅋㅋ', '자 이걸로 이제 호스텔[11]까지 가겠네 내년쯤에 끝나려나', '장현이 옛날 자기 생각나서 저 아이 도와줄것 같음그러다 왕오춘 만나려나?근데 저렇게 쉽게 마주칠수 있는 장현을 왕오춘은 왜 못찾는거야ㅋㅋㅋ', '그러네 오춘이가 제일 강한거 키우고 있었네', '장현: 그거 내 대사야 시X놈아'"
29131,3890,"'도대체 외모지상주의 래파토리는새로 나온 양아치들이 미진이 괴롭힘이진성 개빡침단숨에 때려눕힘그랬는데 알고보니 새로 나온 엑스트라랑 가장 중요한 캐릭터들이랑 복선이 숨겨있음작가님 이제 이 래파토리 지겨워요', '여기서 가장 무서운 대사재혜;아빠한테 말할거야', '기차 뒤에 검은색 옷 성요한일듯해', '근데 재혜가 진짜로 아빠한테 말하면 다 끝나잖아 ㅋㅋ', '아근데 안싸운다는 코스프레 좀 집어쳐라 제발ㅈㄴ재미없음 싸울땐 싸워야지미진이라는 애는 왤캐 융통성 없음??', '솔직히 이만화에서 미진이가 제일 불쌍하지 않냐?', '호스텔A VS 호스텔B호스텔A팀:왕오춘, 공영훈, 곽청호, 팽진양 + 호스텔A크루들김기명, 권지태, 윤경현, 이건우 + 빅딜크루들장진혁, 갓독OB 4인, 사마의 + 갓독크루들홍두표 + 빽도어크루들ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ호스텔B팀:장현, 채원석, 응구&탱구 + 호스텔B크루들박형석, 이진성, 홍재열, 이태성, 진호빈이은태, 박범재, + 번너클 연장7인 + 재원고건축과여기서 중요한점.1. 성요한이 어디로 붙을지 예상안됨.2. 김기명이 경현이와 건우를보곤 체념하고싸움을 망설임 경현이와 건우의 전투력이아무리 못해도 팽&곽 이상은 될거임.3. 사마의 누군지모르시는분들 201화 보고오셈.4. 준구가 태성이보고 오~쫌하는데? 식으로말하며박하늘생각하며 호스텔 수십명도 혼자 쓸어버리고한손으로 갓독멤버들도 때려눕히고 주짓수로 갓독OB도 가지고놈. 아무리 원석이라한들, 만약 둘이붙어도 쉽게 결판안날거임 왜이리들이태성이 걍 털릴꺼라 생각하시는지...', '설마 호스텔의 헤드 주먹을 맞고 버틴 홍두표를 한발로 누른 김기명을 떡실신시킨 종건을 90도로 인사시킨 쁘렉딱을 부려먹는 함선농을 이긴 바스코를 팔꿈치로 제압한 박형석을 혼수상태로 만든 박지호를 빵셔틀로 부려먹은 이진성을 말 한마디에 개로 만들어 버린 미진이가 가만히 있을리가..', '이번거는 진호빈이 캐리할듯싶은데', '허영미 지는 남자손 잡아본것처럼 얘기하네;;', '까만후드티 중국집에서 탈출한 성요한아니냐', '쟤들은 옆에서 허영미가 가래침뱉고있는데 짜장면이 넘어가나', '근데 호스텔 A가 예나로 협박하면 답은 정해져있음 ㅅㄱ', '다음 에피소드는 진호빈이다솔까 눈때문에 기대된다ㅋㅋ', '저도 2번째 베댓보고 생각난건데 왜 이태성이 채원석한테 쉽게 처발릴거라고 생각하는지 모르겠음... 이태성은 학교에서 옛날에 바스코랑 덤벼봤을 때(완전 치고박는 그런 큰 싸움이 아니고 서로 힘으로 제압하는 그런 식이었음) 비슷했었음 서로 자기들 힘으로 한번씩 제압한 적 있었음 바스코는 어깨잡는거 이태성은 눕혀가지고 발목잡는걸로 기억함그렇게 서로 힘대결도 박빙이었는데 그런 바스코가 채원석이랑 힘대결 비겼는데 왜 그런 바스코랑 박빙이었던 이태성이 채원석한테 쉽게 털릴거라고 생각하는지 모르겠음 채원석이 권지태랑 비슷하다는 생각만 해서 그렇게 생각을 한건가?'"
29729,4860,"'???: 사,살려줘... 나,나야... 네 스승 종건...', '5만원 안 쓸거면 내놔 왜 그걸 불태우냐고', '이때 종건의 몸에 상처가난거네', ""'장현'편에서 종건 몸에는 상처 없는데현재 종건 몸에는 상처 많음.그 상처가 장현이랑 싸워서 생긴듯.그래서 종건의 생각에는장현은 리더쉽,돈버는 수단게다가 자신의 몸에까지 상처입히는전투력.이러니까 미련을 가질수밖에없지"", '배가 안불렀는데 애를 낳는다고?;', ""산부인과에서 '현재 환자상태가..' 라는 것을 보니 혜은이는 죽을 것 같네요. 장현은 죄책감에 예나 데리고 모습을 감춘거고.."", '솔직히 난 지호보다 왕오춘이 더 발암같은데 왕오춘은 남사벽이다 내가보기엔', '종건 몸에 흉터 엄청 많던데 장현이랑 싸우다 그런듯', '장현이 라이언으로 종권 긁는다', '두표 옷 벗고 장난한다는건 뭔데ㅋㅋㅋㄱㅋㅋㅋㄱㄲㅋ', '장현이 이마까면서 H 보여줄때 혜은이영어이름에서 H를 연상하게도하네요', '그래도 왕오춘은 계속 단련 시켜줬나보네 종건이 지금 개쌘거보면', '뜬금포이지만 준구 이태성 어케될라나', '이번만큼은 장현의 싸움실력이 ""아 저래서 종건이 아직도 미련을 못 버리는구나""라고 할 정도로 그려줬음 좋겠다', '가출팸 그후 편보면 왕오춘맞는장면에 머리카락보일라 라고하는데.. 대사가다르네 ㅠㅠ'"
