참여자수,댓글수,댓글
28306,4822,"'여기 애들 진짜 미래에 대한 걱정이 없나?ㅌㅋㅋㅋㅋㅋ 그나마 병훈이 빼고는 진짜 암담하다 어휴...', '주영이가 제발 진지하게 진로 생각 좀 했으면', '와 근데 ㅋㅋㅋㅋㅋ 진짜 연애혁명 연출 대박이다. 1,2학년때는 발랄한 분위기나 반애들 분위기가 확실히 텐션도 높고, 또 고등학교 특유의 그 활기찬 분위기랑 잘 어울려서 만화 자체가 되게 밝았는데, 고3이라는 시간설정 하나만으로 그 분위기가 다 죽어버리네.. 아무리 애들이 활기차도 중간중간에 취업, 진학얘기 나오는데도 애들 아무생각 없어보이고, 발랄하고 활기찬 느낌으로 이렇게까미 불편한 느낌 연출하는거 대박인거 같음.', '19세를찍었으니 19세답게 가자', '자림이 다 컸네.. 이제 공주영도 꼬실 줄 알고', '이경우는 진심 뭐하고 삶? 유일한 얼굴로 연예계로 가기엔 학폭 땜시 안되고, 공부란것도 해본 적없고, 지푸라기라도 잡을 취업반도 저리 뻐팅기는데.....친구여자 좋아해서 ㅈ된거 이상으로 노답이네', '왕자림본다고 진학반 가는거면 진짜 삼대가 치질이다 경우야', '민지 ㄹㅇ 발암... 님들 근데 최근들어서 안경민 욕하시는데 안경민은 연재 초반부터 원래 이런 캐릭이였음 갓경민이라고 불릴때도 그랬고...', '공주영은 본인 인생에.너무 깊이가 없는 거 아니냐? 지금이라도 한별이가 준 책 피면 제수하면 4년제 가능하겄네', '공주영 눈치챈거같음..아 얘네 3학년 되니까 이제 완결 나겠다제발 왕공 헤어지면 진짜 하 찾아갑니다', '확실히 민지는 자기 잘못을 알고있음 100% 자림이와 친구들 잘못이라고 생각하진 않는데 계속 합리화하는거.. 작가님이 민지가 어떻게 깨달을지 풀어내시는게 중요할 듯', '와씨 왕자림 존나 설레;', '과연...자기만 할까요?(므흣)', '첫번째 베댓 완전 인정임 쟤네 너무 놀았음.. 저기서 1 2등 한애들은 대학가서 잘 살겠지만 이경우 같은애들은 기안대 나와야지 뭐.......', '내 생각에 아람이는 아무리 양민지여도 뒤에서 말하는거 싫어하는것같음 전화에도 자림이 친구들이(이름기억안남) 양민지 욕할때 화재를 다른곳으로 돌리려는 것도 보이고.. 아 어쨋든 그건 그거고 민지 불안불안 하다... 고딩때 애매하게 놀아서 공부도 잘 안될거고.. 친구 문제때문에 집중도 안돼고 꿈도 못찾았고... 민지는 진짜 어떻게될지 궁금함.. 이때 친구 따라서 진로결정하면 평생 후회할텐데..아 맞다 민지 친구가없구나... 또 계속 작가님이 진로얘기 하시는데 ㄹㅇ 중요한거일듯 제발 주영아 너가 원하는걸 하렴... 주영이는 패션? 그쪽도 좋을것 같지만 요리 잘하니까 요리쪽도 괜찮을것 같기도 하고.......아모르겠고 자림님 사랑... ❤️❤️'"
39313,10492,"'경민아 난 네가 뻘소리할거 믿고있었다', '이게 석호랑 이경우를 반대로 추리했으면 연애혁명 브레인 등극하는거였는데ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ', '화장실에 누구있나 확인하는거 ㄹㅇ 소름 ㅋㅋㅋㅋㅋ', '진희말했으면 어떨까 진희석호도 괜춘한디', '역시 안경민은 안경민 이였음', '민지야....너가 그러니까...', '민지는 한번 멘탈이 날라갈정도로 쎄게 깨져봐야정신을 차릴것같다이경우도 조승민한테 맞고나서 정신차렸지민지너도 ㅈㄴ맞자일단', 'ㅋㅋㅋㅋㅋㅋ조승민은 안 미안해', '저기 이미희가 따라가서 자기 좋아하는거 들었으면 ㄹㅈㄷ', '홍진희가 따라가서 사이다 한번 야무지게 해줬음한다양민지 나가는거보고 눈치깐거같은데', '이제 이미희 자주 나오겠네 예슬이처럼 사겼다 안 나오면 곤란해 예슬이 캐릭터 진짜 좋았는데', '아 근데 석호 미리보기 지난화보면 뭔가 미희랑 이어질거 같아 지난 화 지혜 화상씬이 괜히 나온게 아닌거 같음', '아 석호 이갱 안경민 아직도 웃기네ㅋㅋㅋㅋㅋㅋㅋ 미희 왜좋아하고 미안하고 왕자한테 들키고 또 미안하고 조승민 안미안하곸ㅋㅋㅋㅋㅋㅋㅋ 안경민 미안해하곸ㅋㅋㅋㅋㅋㅋㅋ', '저거 배댓분... 사이트이름 굳이 얘기 안 하고 이런 피해가 있다 하고 충분히 이야기할수있는건데 구체적인 사이트이름을 이야기한다는건 돌려서 홍보하는걸로 느껴지는데...', '안녕하세요.저는 아까 베뎃이였던 사람입니다.여러분들이 제가 불법사이트를 홍보하신다고 생각하시는데요 저는 그럴마음이 없었습니다.그리고 저는 여러분들이 쓴 댓글들을 보면서 제가 나무 성급하고 실수한거 같네요.죄송합니다.저는 불법사이트가 어떻게 돈을 버는지 옛날에 화재가됬었던 사이트가 다시 살아났다고 말하고 싶었는데 제가 잘못적어 피해가 갔네요.죄송합니다. 앞으로는 이런식으로 글을 남길때 한번더 생각하고 생각하겠습니다.그리고 정말죄송합니다.'"
38884,9465,"'그래도 친구는 친구다 진짜', '머... 솔직히말해서 공주영 자림이한테 받은고통생각하면지금 흑화한거 절대 억지가 아님난 자림이랑 재결합해도 바로는하지말고 몇년 애태우며후회하는시간 줬으면좋겠다그리고 이경우신경쓰는거 더이상 안하는게좋을듯주영이만 계속 스트레스받고ㅎ이제부터 자신만 챙기면서 살아라', '경우 츤데레같우...편의점 델고 가면서 사과하자잉~^^', '솔직히ㅋㅋㅋㅋ 공주영이 이렇게하는거 이해못하는거라면이경우는 친구자격없고 왕자림은 여친자격 없는거지걍 욕을먹던 맞던 그거 달게 받아야됨주영이 솔직히 짜증한번 제대로낸적없지않나', '주영이가 말심하게했는데 경우가 저런말하면서 챙기는거보면 친구라 생각안한적는 없다는거 .. 잘 풀었으면 좋겠다 ㅜㅜ', '경우가 그래도 싸웠는데 먼저 다가갈려고 노력은 하네...둘이 잘 해결되길...', '그래도 경우랑 암민지는 다르네', '아니 저번부터 경우 타이밍 왜저런데 ㅋㅋㅋㅋ', '이경우 뭐 편의점에서 핫초코라도 사주냐???ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ', '주영아 너 만화 주인공은 맞는데.....', '주영이 우는거 보니깐 맘찢이다 주영아 행복하자', '민지 족치는건 언제나오남ㅠㅠㅠ', '지금까지 전개된 과거회상 에피소드는 6가지주연: 왕자림 Episode의 왕자림, 이경우 Episode의 이경우, 고슴도치의 꿈의 오아람조연: Sunflower의 최한별, 너를 좋아하고 좋아하다 지쳐갈 때의 김우리빌런: Boy Recipe의 곽보경공주영 에피소드가지금 현재 최근 에피소드인Hollow wood 라네요.다들 아시다시피 공주영 에피소드가스토리의 80%가 진행이 된 겁니다.그러니까 20%정도 남았네요..', '평소에 잘 받아주던 애가 갑자기 화내면 다 이유가 있는거임'"
37743,16918,"'와 그럼 처음에 공주영 도와준것도 다 자기 마음 편하려고 한 짓이었네;; 진짜 주변에 있을법한 친구라서 더 소름돋는다..', '진짜 연혁은 3부에서 꿀잼 포텐 ㅈㄴ터지네..발단,전개가 1,2부였다면 3부는 위기,절정만으로 미치게 만든다 진짜ㅋㅋㅋㅋㅋㅋㅋ성인되고나서도 학교물 급식툰을 이렇개 재밌게 보게될줄 몰랐다 나름 웹툰 가리지않고 많이봤는데 연혁3부만큼 매화 쫄리게 재밌었던적 없었던거 같음 일주일 또 어떻게 기다리냐', '자기합리화 오지네 암민지', '여기서 제일 피해자는 왕자림,양민지,이경우도 아닌 공주영이다 초반에 왕자림한테 무시당하고 지금도 자기 힘든부분 얘기하자는데 알겠다하고 무시하고 양민지도 이경우랑 사귈려고 공주영을 그냥 발판으로 삼고 이경우는 자기 절친 여친이랑 어떻게 해보려고 수작부리고 이정도면 공주영 안 미친게 대단하다', '야 공주영이 니 스타일 아닌게 뭔 상관이야;', '양민지가 발암인 이유 1 처음 접근부터 개같음2 열등감으로 똘똘뭉침 3 피해의식이 우주를 뚫음4 번보다 개인주의에 이기적임5 이소박이', '이거 좀 제발 ㅠㅠ봐주세요ㅠㅠ 예슬이랑 경우랑 헤어지기 전에 예슬이가 배 아팠었음 근데 주영이도 지금 배아픔 이거 복선 아닌가? 그리고 246화에서 책상에 써진 왕자 공주 하트가 떼져있는게 컷중에 있는데 나중에 몇환지 기억 안나는데 책상 붙어져 있고 그걸 테이프로 붙여져 있는게 헤어졌다가 다시 만난다는 떡밥 던진거 아닌가', '진짜 연애혁명은 모든 사람이 완벽할 수 없다는 걸 너무 현실적으로 잘 보여주는 듯. 자림이는 겉으로 보기에 예뻐서 힘들게 없을것 같고 처음엔 좀 차가운 인상이 있었지만 그것 때문에 고통받은 적도 있었고, 민지도 처음에는 현실 여고생을 잘 표현했다고 좋아했지만 내면을 보니 그저 자기 생각을 숨겨왔다는게.....이렇게 현실적인 부분들을 비판적이고 재밌게 풀어낸 232작가님이 너무 존경스럽다..', '양민지가 역으로 때릴줄은 몰랏네ㄹㅇ;;;', '넘사벽 존예 자림이같은 애랑 붙어 다니면서 알게모르게 비교 당하면 누구라도 민지처럼 자존감 떨어지고 질투날거임. 자림이가 성격이 좋은것과는 별개로. 근데 자림이는 주변상황 즉, 친구에 대한 감정을 살피는게 미숙했고 민지는 자림이가 나쁜애는 아닌데 자기가 괜히 열등감 느끼는거라며 애써 자기감정 무시하고 잘해줬던거 같음. 지난화들을 보면 다른 친구는 다 자림이 외모 부럽다고 하는 말들 장난식으로든 꼭 나오는데(진희,반친구) 민지는 한마디도 언급없고 자림이하고 자신하고 외모로 비교 당할때 기분만 나옴. 이렇게 조금씩 서운한거나 신경쓰이는걸 얘기 안하고 쌓아두니까 외곡되고 아예 민지 맘속에서 굳어져 버린듯. 자림이는 평소 민지 마음을 전혀 몰랐으니까 갑자기 저러는게 당황스럽고 앞뒤 다 짜르고 너나싫어했자나 빼액 이러니까 황당하지.만화인데도 어쩜 실화같냐ㅋㅋㅋ주변에 이경우에피 같은거 제외하면 친구끼리 저런 갈등 의외로 흔하지 않음?', '작가님 수고하셨어요 다음부터는 암민지 안 그리셔도 괜찮아요', '주영이보고 ‘쟨 어차피 내 스타일도 아니니깐’이라고 한거보면 지스타일이었으면 이갱처럼 뒤에서 좋아했겠네? 아님 뺏든가 물론 주영이가 자림이를 존ㄴ 좋아해서그럴일은 없지만.진짜 소름돋는다 양민지..', '아니 연애혁명 작가님 심리분석가이신가요.. 어떻게 캐릭터별로 이렇게 성격이 하나도 안겹치고 정확히 공감되고 실제로 있을법한 캐릭터들 감정이나 생각에 몰입할 수 있도록 하는거죠.. 대단..', '민:민지야지:지랄하지마', '1. 주영이가 위태로워2. 일주일이 위태로워3. 이경우도 위태로워민지. 는 개인주의야'"
34947,12185,"'우리 진희 눈치 챗구나❤️❤️❤️❤️ 진희 요즘 너무 좋아ㅜㅠㅠ', '여주집에 다른 남자가 있는데 하나도 안 불안하네ㅋㅋㅋㅋ 너무 반갑다', '한별쓰..드디어 나와줬구나', '양민지나 이경우나 친구들한테 못할 짓 하고 분위기 갑분싸 만드는 거 개똑같네ㅋㅋㅋㅋㅋㅋㅋ 먼길을 돌고 돌아 다른 의미로 양갱이냐 ㅋㅋㅋㅋㅋㅋㅋ', '와 양민지 질투나고 그러니까 팔로우 얘기 그만하랰ㅋㅋ', '이경우한테 석호나 안경민은 공주영처럼 중학교때 병문안 와주고 엇나갔던거 되돌려준 애들이나 마찬가지인데 지금 지 마음때매 스트레스받는다고 성질부리고 갑분싸 만드네....웹툰이라 미화된거지 진짜 그냥 성질더러운 양아치 그 이상도 그 이하도 아닌듯', '자림이는 너무 주영이를 무시(?)하는 경향이 있음주영이가 왜 자꾸 감정적이고 막행동할꺼라 지레짐작해서 행동할꺼라 생각하지? 나름 주영이 이성적으로 판단할때 많았는데ㅡㅡ대화 하재매 고민이야기하면서 그렇게하지 말자고 대화하면되지딱봐도 또 공주영한테는 이야기안하고 한별이한테만이야기했다가공주영 소외감느껴서 싸우게 생겼네ㅡㅡ', '와 오늘 석호 좀 사이다 경우 좀 혼나야 됨 ㄹㅇ로', '한별아 자림이한테 뭐라 말 좀 해줘.... 이제 양민지 좀 그만 챙기라고... 이건 아니잖어;;', '근데 볼때마다 이경우 옆에 있는 애들 진짜 피곤하겠다 싶긴함ㅋㅋㅋㅋㅋ 조증도 아니고 기분 좀만 상하면 갑분싸 만들고 남이 기분 상하면 예민한거고 장난인거고 쿨한척을 하지 말던가 ㅋㅋㅋㅋㅋ 뒤늦은 중2병도 아니고', '석호 말 잘했다', '아...경민이 방송 뭐 있을꺼 같다...', '아니 암민지는 저렇게 행동하면 애들이 “민지가 힘들었구나..” 이럴지 아니면 “남자 때문에 10년 지기 친구 버리네;” 라고 생각할지 판단이 안돼나...? 쟨 그냥 자기 잘못 인정하기 싫은거 아님..? 진짜 무슨 고등학교 교실에 초딩들 껴있는 기분..;', '🌸너가 왜 거기서 나와....?🌸', '공주영 이번 화에서 섭섭해하기보단 뭔가 생각하는 걸로 보이는데 양민지가 문제라는 걸 알고 본인이 나서서 해결하려 하지 않을까 싶음. 그 과정에서 양민지가 공주영을 무시하는 발언 같은 걸 하고 그게 왕자림이 양민지한테 폭발하는 계기가 될 거 같음은 내 생각..왕자림 빨리 양민지 손절하고 공주영이랑 돈독해졌으면해...'"
33015,7243,"'안경쓴애가 경민이 동샹인줄 알았다 손', '아니 근데 나만 느낀건가??? 양민지가 자림이한테 너네때문에 이경우 못사귄다해서 자림이가 계속 죄책감 느끼고 책임지려하는거??? 계속 뭔가 해주려하잖아;;; 어이없네 자림아 넌 뭐 안해도 돼ㅠㅠ', '자림이 인스타 계정 찾은걸로 또 난리치겠네 혼자,,,', '안경민 여동생 맞긴함? 겁나다르게 생겼는데ㅋㅋㅋㅋ', '안경민 여동생한테 유전자몰빵무엇?', '자림이 무심하고 욕쟁이라 그런 지 본체 완전 순둥인 거 확 드러난닼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ민지랑 경우 사이에서 쓸데없이 갈팡질팡하고 자기가 뭐라도 해야하나 안절부절하는 거 귀여워 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ', '나만 느끼는거 일수도 있는데 자림이랑 주영이 점점 닮아가는 거 같애', '뇌와절에서 나만뿜음ㅋㅋㅋㅋ', '바로 결제한사람 손이라고 한사람 좋아요 눌러라', '연애혁명은 드라마로도 캐릭터들 특징 다 못살릴 듯 왕공커플의 꽁냥꽁냥함을 어떻게 살려 ㅠㅠㅠ', '썸넬 조졌다 개이쁘다', '난 웹툰 배댓되는 사람들이 젤 신기하더라', '자림아 이런 말 많이 들었겠지만 너 존나 이쁘다 진심 신이 너 만들었을때 직접 손 봤을 것 같누', ""쿠키 한 번 구우면 계속 구울까봐 안구웠었는데 네이버 인스타 보니 주영이 사진에 '난 항상 너한테 마지막이야'라는 말을 보아 자림이가 계속 양민지와 아람이의 화해를 도우는 과정에서 트러블이 생기고 경우와의 삼각관계 포스터도 그렇고 3부에서 왕자커플 또 싸우는거 아닌가 싶네요 전 화에서 네이버 인스타 언급하셔서 보러갔다가 이 말은 안말하셔서 써봅니다 그리고 이 말 띄어주시면 갬시갬시"", '미안하다)이거 보여주려고 어그로 끌었다경민이 새로운 머리수준 ㄹㅇ 실화냐?그 찐따같던 안생경민이 맞냐?진짜 안경민은 전설이다..'"
37897,6707,"'최대 피해자: 방예슬, 정상훈특징: 사귀는사람이 다른사람을 좋아해서 버려짐', '양민지는 기억에도 없는거보니까 리얼 개뻘짓 혼자서 똥꼬쇼 원탑이네ㅋㅋ', '왕자림이랑 손잡는거 이경우 지 망상임?', '경우야 친구 여자친구를 좋아한게 문제가아니라그것때문에 공주영이 죄없는줄 알면서도 때리면서 욕박고 멀어지려한게 문제 아니냐?난 아무리봐도 이경우가 자기합리화하는거같은데?', '와 저 카톡 그때 왕자가 겜톡 보낸거다 어머니가 보낸거다 여러 의견 나왔었는데 왕자가 보낸거였네 그때 맞추신 분들 대단해', '자림이한테 경우는 주영이 친구 그이상도 이하도 아님. 경우야 명심해라.', '예쓰라 ㅠㅠㅠ 제일 불쌍한 캐릭터야', '와 미친 진짜 이런걸 몇년전부터 구성한 작가님이 신기', '이경우도 공주영이 말 안한거 알면서 일부러 그렇게한거면 쓰레기맞네;;예슬이도 잊으려고 사귄거 맞고', '떡밥회수하고있네 지금까지 독자들이 떡밥찾은거 다나옴 ㅋㅋㅋㅋㅋ', '와 예슬이 진짜 착했네 ㅠㅠ 좀 안타깝...', '베프 여친 때문에 억지로 명분 만들어서 베프 패는 새끼는 니가 처음이다 경우야.. 내 살아생전 너같은 친구는 본적이 없어', '떡밥 회수 ㄷㄷ', '와 경우 진짜 오래 좋아했네..', '우리 예슬이 불쌍해죽겠네'"
39873,9541,"'솔직히 이경우가 아람민지 싸움에 끼어든거는 잘못했음..', '왕자 공주가 같이 불렀는데 자림이한테 고개돌리네', '경우 말도 맞는데 양민지때매 계속 주변만 피해보고 계속 남 눈치주고 화해도 안하는데 욕먹을만 함', '경우한테 ""야!!""라고 동시에 자림이랑 주영이가 불렀을때 자림이 쳐다보는거보소.. 백퍼다 백퍼', '이경우 진짜 왕자람 좋아하는게 확실해지고 나니까 벌써부터 불안해ㅠㅠ 초반엔 거의 티가 안났는데 갈수록 나서고 이러다 나중에 공주영이랑 한번 틀어질듯', '이경우 왠만하면 저런거참견할성격은아닌데왕자림 힘들어하는거보기힘들어서 그런듯;', '근데 솔직히 이경우라도 끼어들어야 진도가나갈듯여자애들관계는 양민지 고집과 자림이의 양민지를 잃기싫은맘때문에 진도가 안나감', '여기서 나온 팩트는 이경우는 우정보단 사랑이라는 거임. 수학여행 10편에서 편의점 문 열기전에 망설이다 문 열고 나간거 조금씩 선을 넘기 시작한다는 복선 맞는 것 같음 내가 볼 때', '근데 양민지 입장만 봤을 땐 진짜 나같아도 눈물날듯...이경우 지가 뭔 상관임 ㄹㅇㅋㅋㅋㅋ그것도 자기 좋아한다고 고백했던애한테(이게 잘못됐든 아니든간에) 개썩은표정 짓고 정색하고 싸운거 가지고 자기한테 저렇게 개망신 주면....이경우 진짜 개이기적인 듯ㅋㅋㅋㅋ', '와씨;;;이경우가 분명 민지한테 뭐라 할거라고는 예상했지만 직접 보니깐 진짜 내가 다 동공팝핀하네 ㅎㄷㄷㄷㄷ', '경우가 끼어드는건 맞지만 주변애들 생각안하냐 이건 왕자림 생각안하냐인거같음 자림이가 자꾸 힘들어하니까 경우도 못참는거같음 결론은 경우가 자림이 좋아하는건 23232323%확신이고 양민지는 나락으로 떨어지고 친구들이랑 점점 멀어질거같음', '공주영 아아앙 할때 표정 ㅋㅋㅋㅋㅋ', '공주왕자 동시에 불렀을 때 이경우가 왕자림을 본건 빼박이지 이제 스토리 어떻게 되려나', '와 이거 진짜 너무 재밌어 항상 존나 재밌어ㅠㅠ', '이순대국에ㅋㅋㅋㅋ'"
45874,6058,"'근데 진짜 작가님은 미술 전공이아니라 패션을 전공한 것 같음... 애들 옷 너무 잘그리는거 아니나구ㅜ', '박수진도 양민지 싫어하네 사방팔방에 적을 만드는구나', '확실히 작가님이 늦는것과 극 사실적인 그림을 그리는건 다른거 같네요. 아무리 늦는다고 그래도 수학여행이나 이런 저런 부분에 있어서 실제 경험하는 그대로의 사실적 그림들, 말투들, 추억들 등을 제대로 공감 할 수 있도록 생생하게 느끼게 해주는 부분은 232 작가님 만큼 따라가는 작가는 본 적 없습니다. 그래도 독자들이 바라는바와 작가님이 책임 지셔야 할 부분에 있어서는 조금 더 날카롭게 생각해 주셨으면 좋겠습니다. 항상 응원합니다.', '민지 아람이는 쏙빼놓고 자림이랑 진희만 얘기하네 인성무엇', '작가님 수고하셨어요.. 무리하지 않으셨으면 좋겠습니다', '저 음식집 안 가봤으면 제주도 간 게 아니지..', '말많고 탈많아도 연애혁명은 이 리얼한맛이 꿀잼', '수학여행이아니라 신혼여행ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ개웃기넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋ', '해바라깈ㅋㅋㅋㅋㅋㅋㅋㅋ 작가님 별걸 다아시네', '옷 진짜 잘 입는다', '커플룩 졸귀아니냐곸ㅋㅋㅋ', '작가님 개인적인 일때문에 많이 힘들셨을텐데 늘 좋은 만화그려주셔서 감사해요! 제가 연애혁명을 보면서 즐거운 하루가 되는 것처럼 232작가님도 연애혁명을 그리시는동안 행복했음 좋겠어요 물론 완결나도 행복하길 바래유 알럽유 232', '이제 공주영 에임 실력이 발휘되는 구먼', '졸업한지 오래됐지만ㅋㅋ 연애혁명 볼때면 바쁜 일상에 치여 평소엔 잊고 지냈던 그때 그시절 학창시절 추억이 새록새록 떠올라서.. 너무너무 행복해져요ㅜㅜ 작가님 연애혁명 그려주셔서 감사합니다', '수학여행때 생각나고...좋네~ㅎㅎㅎ'"
53519,13226,"'상대는 네이버다 상대는 네이버다 상대는 네이버다 상대는 네이버다', '베댓되면 책임지고 네이버웹툰19금봉인해제시킵니다 약속지켜드립니다', '욕구를 이성으로 절제하는 주영이 머싰다', '다음주부터 침대혁명이 연재됩니다', 'ㅋㅋㅋㅋㅋㅋㅋ 딱보니 진희랑 배지가 자림이한테 톡 딱딱하게 보내지 말고 이모티콘도 좀 넣어서 보내라고 했네... 그리고 그 결과가 🌹🌈🌟일어났냐....', '리버풀 챔스 우승하면 삭발하겠습니다', '양민지 눈 ㅋㅋㅋㅋㅋㅋ 곽보경이랑 동급수준', '주영이가 정말로 자림이를 많이사랑해서 할수있는 행동인것같다', '우와!! 탱글탱글 통통 코코팜! 입안에서 터지는 달콤함과 상큼함!! 톡따면 느껴지는 청량함! 우와 당장마트로 가야겠다~~!! 이정도면 됬죠?ㅎㅎ', '근데 나만 느끼냐 공주영 초반에 비해 뭐랄까 많이 잘생겨짐 남자가 됐달까....', '난 19세 걸고 가는것도 나쁘지 않다고 생각해...', '양민지 사이다 언제 나오나요?ㅠㅠ 아람이가 경우이야기하면 끝날텐데 하..... 아람이가 너무 착해서', '흐뭇하게 보다가 양민지 나오고 정색', '양갱커플 어쩌고하는 새끼들좀 꺼져 이경우입장에서 얼마나 소름이겟냐 양민지빠들 정상훈보고는 민지가 맘없는데 왜 받아줘야 하냔식이었으면서 어이없네ㅋㅋ', '저러다가 경우가 문따고 들어오면 ㅅㅂ 깜짝이야 이러고 넘어지는거아님?'"
