참여자수,댓글수,댓글
['(참여 16065)'],"['1,826']","['예린이가 임신하기까지의 과정이 생략 된거 같습니다', '강룡 좀 야위었더니.... 그런 이유가 있었구나....', '파천신군이 가르쳐 준 것 - 파천십이신공구휘가 가르쳐 준 것 - 상대방을 죽이는 법용비가 가르쳐 준 것 - 음양방중술', '강룡이랑 예린이 유전자 둘 다 물려받으면 무공 + 환술 걍 개 쌉사기캐 나오는거 아니냐', '용비불패든 외전이든 끝나고 이렇게 잔잔한 스토리가 너무 마음에 든다ㅋㅋㅋㅋ', '완결이라고 나올 것 같아서 조마조마하게 읽었다... 결국 히로인 싸움은 예린이의 승리구나', '고수 3대 무쓸모환사의 계획잡곡칠살양정학의 명예', '우복형 생기의 원천 단 따로 처리했을줄 알았더니 그걸로 치료에 써먹고있네 ㅋㅋㅋ', '용이는 ㄹㅇ 뭐든지 강하구나 가슴이 웅장해진다....', '우복이형이 그동안 곡주를 위해 한 일과 강룡살릴려고 죽다 살아난 거 등등 그동안 탱커,서폿역할 다 해준 거 생각하면 단정도는 받아도 됨', '곡주도 배불러있으면 대박인데 어차피 두집살림해도 거리때매 모르지 않을까', '그와중에 우복형 살림 나아진거 나만 마음에 듬? 독자들이 하도 애원해서 결국 들어주셨네ㅋㅋㅋㅋㅋ', '작가양반ㅋ 143.5화가 빠졌구만 다시준비해오게', '근데 조금만 현실적(?)으로 감정선을 파보면, 용이 입장에선 당연히 곡주보단 예린이 아닐까? 곡주는 자기가 앉아있는 위치랑 속한 집단때문에 용이랑 크고작은 갈등도 겪었고 이해관계 충돌도 있었지만 예린이는 용이가 떠돌때부터 내면을 전부 꿰뚫어보고 헌신해준 사람이니까...', '용비가 피임법 제대로 안 가르쳤네. 용비는 수십 년을 한 방울도 홍예몽한테 안흘렸을텐데']"
['(참여 18274)'],['852'],"['도대체 저런 진짜 고수들이 살아있는 와중에 혈비는 무슨 깡인게냐?', '7명의ㅋㅋㅋㅋㅋ살아있는ㅋㅋㅋㅋㅋ파천신군ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ', '구영감 용영감하는걸 보니 흑월 연화도 구휘 용비랑 연락하고 사는가 보네ㅋㅋ', '???:신선림 늙은이들은 내가 상대한다', ""이제 먼가 원래 '고수'의 느낌으로 제자리 찾아갔네요혈비와 옥천비의 무한재생 편은 이제 잊겠습니다^^건강하세요. 작가님들."", '흑월 연화도 지금 쟤네들 한테는 어나더 레벨인 사람들 임', '오히려 찾지 않는게 더 큰 고통을 선사하는 걸지도..?', '흑월이.100프로 신선림 식구인. 증거를 찾았습니다2부30화에 혈비가 구무림 망령들 하며 떠올릴때 흑월이 완벽하게 있었습니다긴가민가 했지만 이걸로 흑월 정마전때 함께하고 살아남은 구무림 즉 신선림 확정!!! 이네요', '도겸이 확실히 부족한감이 크지 강룡 조언을 받아들이고 단순 무공만이 아니라 임기응변에도 강해진 소진홍이나 신선림 사람들한테 수련받아서 저 둘보다 한수위인 백마곡주랑 다르게 도겸은 무공으로 엄청 뛰어나다기보단 탈태환골로 몸뚱이 스펙만 ㅈㄴ 올라간 케이스잖 스승하나 붙여주는거도 괜찮지', '혈비 내가볼땐 랭킹 350000등 정도 되는데 시대를 잘타고 난거였네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ', '저렇게 쉽게 기절시키는데 강룡은 대체 뭐했냐...', '참고로 도겸이 7명의 파천신군중 한명을 이겼죠 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 엌ㅋㅋㅋㅋㅋ 무림제패 ㅋㅋㅋㅋㅋ', '저번작 인물들이 넘사벽으로 센게 왜케 흥분되지', '이제 좀 고수같음 ㅋㅋㅋㅋㅋ작가님화이팅', '혈비 외 잡곡칠살들 도데체 먼깡으로 잡겠다는 소리고 보믄볼수록 신파천문 개잡문이네 실력도 없이 보석하나로 개긴거네 파천신군은 또 무슨깡으로 실오라기 하나 건드릴수 없다고 한걸까 강룡거대해보이더니 요즘은 소문파의 문주같음 ㅡㅡ']"
['(참여 23186)'],"['2,054']","['강룡이랑 용비가 서로 대화하고있어...', '담주 월욜입대다ㅋㅋ6주 훈련소끝나고 6주치 몰아봐야지~ 부럽지?ㅠㅠ', '강룡이 용비나 구휘보다 강하다기보다는 옥천비를 상대하는데 파천신공이 더 효율적인것으로 보입니다', '파천신군 ㄹㅇ 참스승인듯자기 불구된 이유인 독에 만독불침지체용비 구휘도 힘든 천원진 내에서 적응시킴자기 수명까지 깎아가면서 내공 넘겨줌이 정도면 최고의 스승이지', '고수 보고 깨달은 건데 잔월대마는 진짜 마교치고는 자존심이랑 긍지도 높은 편이었던 것 같다.실력도 있지만 나름 부하도 아낄 줄 알고 도망을 수치로 느끼고 구휘랑 현재앙을 두고 자신이 질 걸 직감하면서도 싸우려는 걸 보면 괜히 광혈대마가 교주랑은 안 어울린다 한 게 아닌 것같다', '용비불패나 고수보면 죽은 인물들은 정말 진짜 죽었구나를 알수 있게끔 처리하는데 환사는 저따구로 피랑 팔만 나왔다는건 안죽었을 가능성이 크다고 봅니다.더군다나 네임드급이라면 확실하게 죽은걸 보여주는 연출을 하는 작가분들이라서....', '진짜 파천신군이 지금까지 진심으로 힘을보인적이 한번도 없는거 같음 그리고 파천십이신공을 연속으로 쓸수있는사람도 파천신군이 유일할듯 참고로강룡은 팔맥다푼상태에서 무저곡과 명륜공으로 거이 내공을 바닥을쳤음, 그런데 현재 단으로 인해 그런 내공에대한 단점을 커버해서 파천십이신공을 구현하지 않을까싶음', '옥천비가 한 말 중에 파천신군이 자기랑은 상반된 이유로 신선림을 찾는다했는데 그럼 파천신군도 혈비처럼 신선림을 찾았단 건데 상반된 이유라하고 파천신군이 자기의 정복이 정화를 위한 거라 했으니 어쩌면 파천신군은 하라는 무공은 안 하고 돈놀이랑 정치놀음하는 지금이 아닌 진짜 협과 무가 있던 구무림을 동경했고 그 당시로 희귀하고 싶었던 게 아닐까?신선림말고도 우복의 스승인 흡성대공 완성한 사람이나 사패천을 찾은 것도 구무림의 영웅들과 만나고 그들이 다시 무림계를 바꿔주길 부탁히기 위한 일환이었을지도 모름파천신군 당신은 대체 얼마나 저희의 가슴을 울리시려는 겁니까...', '옥천비한테 현상금 달려있으면 용비가 5초컷 냈을텐데', '파천신군 한 번도 진적이 없다는거 ㄹㅇ 이였네 용비,구휘급 강자가 자기 유리한 환경에서 상대는 기술 쓰기도 힘든데 그렇게 써봐야 흘려보내거나 흡수하고 한 쪽 다리 못쓰고 늙어 죽기 직전인 상태에서도 무저곡 유지하면서 강룡이랑 대련 매일같이 해줬다는건데도 대련이니만큼 봐주면서 했을텐데도 강룡이 한 번도 못이김.', '옥천비가 최강의 아가리다', '짭 마환광멸도 구휘가 공력 써서 막아냈는데 찐 마환광멸을 그냥 막아내다니 강룡이 진짜 세계관 최강자네. 옥천비 내력 회복한답시고 파천신군 데려왔으면 옥천비 바로 죽었겠네', '파천신군 : 나 인정받은거 맞지???', '아무리 옥천비여도 저 세명이 다굴치면 무조건 질텐데... ㅋㅋ 하지만 이건 만화니 1대1뜨겟지', '그럼 혈비가 예전에 자신은 이미 파천신군을 뛰어넘었다고 한건 ㅋㅋ 아예 파천신군의 힘자체를 측정도 못했다는거잖아. 제자이면서도']"
['(참여 22690)'],"['1,941']","['환사 본인이 진짜 수라마제 옥천비였구나..', '일단 막간을 이용해 고수자랑하자면강룡 회상씬도 복붙컷이 아닌 강룡1인칭시점 다 일일이 새로그린것. 회상씬은 복붙을 기본으로하던 다른 작품과는 차원이다르다', '뭐야? 옥천비가 대사기극을 펼치고 있었던 거임?', '누가 마교교주 아니랄까봐 마지막에 싹쓰리각 재고있었네 ㅋㅋㅋㅋㅋㅋ', '옥천비가 왜 여기서 나와..?', '완성형 괴물 당간....ㅠㅠ 오랜만에 보니 너무 반갑잖아', '생각해보면 용비불패 잔월대마부터가 뒷통수 치기의 달인이었으니... 마교 대빵인 옥천비는 말할 것도 없었겠죠.그나저나 독자마저 속여넘어갔음에도 불구하고 구휘는 끝까지 옥천비를 의심했나보네요. 옛날에 잔월대마한테 뒷통수 가격당한 전적이 있는 장본인이라 그런가', '왜 환사=옥천비를 확정시하고있는거임?', '근데 우복형 벨트 풀면 안된다했지않나..? 물놀이 어케했노', '옥천비가 떠들던건 다 구라였나?', '뭔가 느낌이 쌔하긴했다 아무리 감을 잃었다지만 단을 마법사의 제자란 말만듣고 넘겨줬다? 말이안되지', '환사가 옥천비려면 옥천비가 썰 풀어준건 다 구라라는건데', '아니 이전 화에서 강룡도 죽이려다 망설였다고 독백나오고 구휘도 살초를 안썼다는데 그냥 둘다 전력으로 붙은게 아니잖아.. 구휘가 풀파워강룡 봐주고도 비등하다 이런 허무맹랑한 말이 왜 나와', '와 소름이네..상상도 못했다', '와 저거 황금성에서 그 상관책에게 한컷당한 아저씨가 살던곳이랑 비슷하네']"
['(참여 24143)'],"['1,668']","['강룡 : 이 나를 마도환생으로 이끌어준 것에 어떻게 보답해야 할지...', '담주 내용 스포한다혈비 : 용아...나야 나... 너가 예뻐하던 혈비...', '강룡은 단에 먹히고 예린이가 키카드가되겠네', ""이계에 대해 착각하신 분들에게, 처음부터 고수 세계관은 중원뿐인 것은 아니였습니다. 남만(동남아)의 패왕 파천신군과 이번에 언급된 서역(중동,인도)도 존재합니다. 다만 중원무림이 아닐뿐. 한편, 서역이라는 지역은 흔히들 서천서역으로 아시는 지역으로, 현세와 사후세계의 경계를 상징합니다. 여러분도 아시는 '바리데기'설화도 바리데기가 서천서역을 통과하는 이야기죠. 결국 단이라는 것은 환사 말 그대로 서역에 있던 저승과의 매개체라는겁니다. 말 그대로 지옥문을 중원무림으로 가져온 것이기에 그 위험성은 크다 할 수 있겠죠. 옥천비가 죽음과 삶 사이에 있던 것도, 현세와 내세의 경계인 단을 몸에 오랫동안 품은 영향이라고도 생각할 수 있습니다."", '최종보스가 강룡이란건가..', '어쩌면 강룡이 최종보스 일 수도 있겠다...', '주인공인줄 알았더니 최종보스..옆동네 복싱하는 최종보스랑 어깨동무 하겠다', '강룡이 혈비 죽이고 이제 구무림 2분과 싸우겠네', '교룡갑 그와중에 룡이랑 정들어서그런가 무림 떠나라하네 ㄷㄷ 환사에게 전달받은 명령인 룡이 안에있는 단을 깨우지못하면 갈기갈기 찢어죽인다했는데 무림떠나서 살라는거보면 되게 챙겨주는듯...', '잡술에 심취한 것이 아닌 미래를 내다보고 신물을 탑승한 막사평... 그는 도덕책..', '용이 선넘기전에 예린이가 돌려놔줄것 같은데?', '이번에도 환사의 뜻과 다르게 강룡이 단을 집어 삼키는 거 아님?ㅋㅋㅋㅋㅋㅋㅋㅋ', '아니 근데 이계 문이 열리면이곳은 지옥이 된다고 했는데환사의 정체가 뭐기에 이계의 문을 열려고 하는거지?', '이리되면 강룡만 개불쌍해부모 다 죽고 사부도 죽고결국 환사에게 놀아나서괴물 되는거임??환사 때려 죽이고 싶을텐데', '와 강룡이 마도환생... 구휘랑 싸울려나? ㄷㄷ']"
['(참여 24460)'],"['1,287']","['ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ소진홍이랑 진가령은 그나마 멀쩡해보이는데 도겸은 벌써 머리박고 쓰러져있는거 보니까 또 흥분해갖고 제일 먼저 달려들고 제일 먼저 얻어터졌구만ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ', '용이가 처음부터 선해서 불살을 햐 게 아니라 예린이가 리미트를 건 거였군...', '만두집에서 예린이 처음 만난 게 아니고강룡이가 학살하다 처음 만난 거라고??', '용불이랑 용불 외전 보면 원래 이런식으로 끌고 나가심초반엔 빠르게 빼고 주인공이 방황하는 때에 과거, 현실을 섞으면서 분위기를 고조시키는 건데 웹툰이다 보니 이게 한화씩 계속 끊겨 나오니 느리다고 생각할수밖에 없오요. 그냥 완결후 쭉 정주행하면 이 웹툰의 정수를 느낄수 있을것이라고 생각해요^^', '풍진방주는 새로운 상대 만나면 바닥에 눕고 시작하네', '강룡 과거와 내부묘사가 지금 스토리 핵심인데 혈비랑 안싸운다고 징징대는애들은 스토리없이 쌈질만하는 외모지상주의같은거나 보러가라 ㅋㅋㅋㅋ', '여기서 포인트는 교룡갑은 강룡이랑 의식은 공유 못해도 기억은 다 공유하는데 저 예린이가 지운 것 같은 기억은 교룡갑도 모름. 예린이 힘이 얼마나 강한지 알수 있는 부분이 아닐까 싶다.', '할배.. 환사는 당신을 죽이려한게 아니라 그냥 펠레급 계산착오로 그렇게 된겁니다..', '강룡이 사람 많이 죽였었구나 ㄷㄷ', '길든짧든 연재만 해주셔도 감지덕지할판인데 독자들이 배가 아주 불렀어요.', '예린이가 얼른 와야는데 ... 가령도 좋지만, 역시 여주는 예린이 !!', '그러고보니 송예린(2)에서 악령이니 뭐니해도 사람을 죽이지만 않으면 괜찮지만 사람을 죽이고 나서부터는 위험해라고 했음 그리고 바로 강룡 공격했던거보면 저때 죽인거였구나', '저 기억은 프롤로그와 1화 사이에 있던 일이라 봐야할듯', '예린이는 오늘도 예쁩니다.', '웹툰이랑 관계없는 저딴것좀 배댓 올리지말자 좀']"
['(참여 26097)'],"['1,283']","['아칼리 누가키웠어', '용이는 저런거 안걸리고 뛰어 다녔자너 ㄷㄷ', '아가리파이터 양정학이 빠지면 천곡산전 중계는 누가맡냐', '양정학한테서 일각의 냄새가 난다...', '양정학 조장 왤케 재주 많음ㅋㅋㅋㅋㅋㅋㅋㅋ 감초노릇 제대로하네', '이쯤되면 천곡산이 교룡갑 제일 필요할듯', '아 이제알았다!! 양정학은 힐러였군!!!!!', '저거 삽으로 다 일일히 팠을거 생각하니까 웃기다 ㅋㅋㅋㅋ', '홍예몽이랑 예린이까지 천곡산가면 그냥 게임 끝나는거 아니냐ㅋㅋ', '이런거에 당하면 진짜 잡곡칠살 수준... 제운강하고 무명이 올려놓은 위상 다 깎아먹는거다', '홍예몽이랑 강룡마누라 오는시점에서 이미 끝났는데', '만둣집 배달 코스로 몇개월만 훈련했으면 안걸렸을텐데ㅋㅋㅋ', '홍예몽 송예린..뭔가 신박한 조합이네', '저 두명이 저대로 죽거나 당황할 리는 없는데 흑란도 저 함정 하나 안 통한다고 당황할 거 같진 않고 아래쪽에 뭔 결계라도 쳐놨으려나', 'ㅋ용이는 폴짝폴짝 잘다녓는데ㅋ수준차이나네ㅋ']"
['(참여 62553)'],"['18,575']","['돈모아서 작가님 교룡갑 사드리자', '작가님 저도 조그만한도움이되고싶은 병원원무부장입니다.다만 한의학쪽이라 조심스러운부분이 있습니다.공진단,경옥고,보약등은 제가얼마든지 지원해드리겠습니다. 작가님의 쾌유를 기원합니다.', '저희 어머니도 악성림프종이셨지만 r-chop 항암치료 잘 받으시고 완치판정 받으셔서 10년 넘게 무탈하게 지내고 계십니다! 치료 잘 받고 건강한 모습으로 돌아와주세요! 기다리겠습니다', '작품은 쉬셔도괜찮습니다ㅠ 쾌차하시길바랍니다.설마 근데 용이 부모님의 원수가??..사부님인건가요?ㄷㄷ', '감사했습니다..즐거웠습니다기다리겠습니다..쾌차하시기를 팬으로서 간절히 기원합니다', '저는 20대 암에걸려 치료받는 독자에요 치료받으시먼서 그린다는게 말도 안된다는거 그걸해오셨다는게 너무 감사하고 대단하고 존경심마저 드네요 저는 부모님볼때마다 우는게 전부인데.. 저도 꼭 이겨낼겁니다 꼭이겨내세요 화이팅!', '처음으로 댓글 남깁니다. 좋은 작품으로 많은 감동과 재미를 주신 작가님께서 건강에 이상이 생기셨다니 안타깝습니다. 부디 건강 회복하시고 작품에서 만나뵙으면 합니다. 좋은글 좋은그림 좋은 작품 감사합니다', '룡이 부모님 원수가 사부님이 아니고 앞뒤 상황으로 봤을때 룡이의 부모님의 원수는 아마 룡이가 사부님의 원수로 기억했던 네 명 일겁니다. 하지만 룡이는 어째서 인가 자신의 부모님의 원수를 사부님의 원수로 왜곡해서 기억하고 있습니다. 그래서 저런 회상 씬이 나오고 이걸 계기로 룡이가 정신적으로 성장하게 되겠지요...', '림프종은 항암치료에 반응 좋은 편이니 불행중 다행입니다. 혹여나 베뎃에 달린것처럼 한약은 절대 지어드시지 마세요. 항암치료와 병행하면 간, 콩팥 다망가집니다.', '아니 장난 하세요? 항암치료를 이제야 받는다는게 말이된다고 생각해요? 그냥 휴재하고 바로 치료받으셧아야죠..... 저희는 상관없으니 완치하시고 오세요 . 좋은 소식만 기다리겠습니다 ㅎㅎ', '아...아...건강 회복하셔서꼭 고수를 이어가주세요~기다리겠습니다.고수보는 기쁨으로 일주일을 버텼는데,작가님이 아프시다니 마음이 무겁네요.많은 독자들에게 기쁨을 주셨으니깐분명 건강 회복하실 겁니다.쾌차하세요', '아픈몸 이끌고 지금까지 연재를 이어와 주신것도 너무 감사합니다.고수를 좋아하시는 독자분들의 연령대가 작가님과 많이? 차이가 나지 않아서 항암치료를 하시는 부분에 있어서 대부분의 독자분들께세 깊이 공감하실거라고 생각합니다. 도움을 주신다는 독자분들의 댓글이 고수가 정말 사랑을 받고있던 증거가 아닐까 생각하게 되네요~ 고수에 대한 걱정일랑 접어두시고 건강에만 집중하세요^^ 쾌차하시기를 빌겠습니다. 몇년동안 피곤한 직장생활에서, 화요일 오후 11시를 기다리는 소소한 행복을 주셔서 진심으로 감사합니다.', '댓글을 보실지 모르겠으나 모든 것은 담당의사분과 결정해주시고 여기의 댓글에 달린 다양한 다른 치료방법을 우선시하진 말아주세요. 그게 DLBCL같은 질환이면 RCHOP을 쓰겠지만 림프종이란 게 종류가 워낙 다양해서 그 안에서 어떤치료가 제일 좋은지는 그세포 종류에 달립니다. 무조건 어떤 치료가 있다더라... 하지 마시고 꼭 신중히 담당의사와 상의하시고, 완벽히 빨리 개운하게 빡 낫고 오세요. 쾌유를 기원합니다.', '힘들게 적었는데 지워졌네요ㅜ이번 화에 대한 제 생각은 앞에서 교룡갑은 환사의 숙원을 이루어줄 자에게 간다고 하였는데요, 지금 교룡갑이 용이를 선택하여 귀속되었다는 것은 환사의 숙원을 이루어줄 재목이라는 것이죠.그렇다면 앞으로 용이는 사부의 원수이며 주적인 환사의 숙원을 이루어 주려할까요??? 절대 그렇지 않을 겁니다. 그래서 이번 화는 교룡갑이 용이의 내면 깊숙히 침투하여 환사의 계획에 걸림돌이 되고있는 신선림을 부모님의 원수로 잘못된 정보를 믿게 만들 것이며 나아가 환사를 적이 아닌 아군으로까지 여길수있도록 의식을 심어줄 것 같습니다. 마치 영화 인셉션에서 디카프리오가 했던 역할을 교룡갑이 용이에게 잘못된 의식을 심어줌으로써 적을 아군으로 만드는 것 같습니다. 앞으로 용이가 기만과 환술이 능한 환사에게 어떻게 자신의 정체성을 찾아 갈지에 대한 이야기가 너무 기대되네요. 작가님 빨리 쾌차하셔서 돌아와주세요', '저거 다들 용이 부모님의 원수가 사부님이 아니라 제자 넷일것 같습니다. 사부님이 저렇게 자세한 내용을 알고있는 이유는 용이의 부모중 한명이 사부님의 자식인거고 사부가 말했듯이 약하지만 자식된 도리로써 부모의 복수를 하려다 죽은것같네요. 그리고 이렇게 된다면 파천신군은 단순히 사부님이 아니라 용이의 조부인것 부모로써 자식이 자신의 복수를 하려다 죽은것을 보고 복수에 대해 회의감을 가지게되고 용이가 복수한다고 할 때 슬픈표정을 짓는거같네요. 이러면 그 철혈이었던 파천신군이 용이에게 따뜻하게 대해주며 복수마저 포기하라고 한게 이해가되요.']"
['(참여 33698)'],"['2,908']","['환생해도 머리카락은 환생 못했네', '저번에 촛불키면 다시 깨어난다는 배댓 말이 맞았어 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ', '환사가 실수로 재채기하면 천곡5명과 혈비 사망??', '촛불 켜진거라고 한놈 나왔습니다.', '촛불 다시켜질거라고 한놈 나와', '혈비가 날린 칼날3개 저거 마교의 주교중 한명인 잔월대마의 무형마공 12초 무형천뢰살 이랑 매우 흡사한데.. 마교와 연관되있는듯', '저거 잔월대마 기술 아니냐잔월대마가 혈비 몸에 부활한거임?', '역시.. 그 전쟁에서도 마교는 남아있었네요.이제 고수세계관에서도 다시 정파와 사파연합, 그리고부활한 마교도 세계의 전쟁이 펼쳐지겠네요.1.혈비가 보여준 창같은기술은 용비불패에서잔월대마의 무형천뢰살과 비슷합니다.2. 용비와 구휘가 그 끈질긴 전쟁에서 느낀마교의힘을 알아차렸음.', '혈비는 자신의 실력이 어느정돈지 알고 있었고 구휘랑 용비를 이용해 죽은다음 더 큰힘을 얻을 생각이었구나. 그럼 강룡의 회상에서 독고룡이 혈비를 두고 말했던 수단과 방법을 가리지 않고 강해지는 놈이란 말이 결국 맞는 말이 된 셈..', '와 씨 혈비 페이크보스 아니였냐? 페이크보스 라고 생각하게 만들어버리는 작가님 스토리클라스 ㄷㄷ', '포태궁에거 느꼈다면 혈비도 분명히 귀진대법을 통해 강력한 마교 교주의 혼이 들어있을듯.. 아마 대주교급.. 그리고 환사는 그 대주교의 아들이나 핏줄일 가능성도 있음.', '결국 혈비도 바보는 아니었구나오히려 치밀한쪽이었네', '지금 혈비가 쓰는 무공은 용비불패에 나왔던 잔월대마의 무형마공입니다. 구휘를 초장에 때려눕혔던 마공이지요.', '텀은 있었지만 기억도 다 갖고 있고 포태궁에서 느꼈던 힘이라 직접 언급하는거 보면 혈비 본인은 맞는거 같은데 귀진대법처럼 마교의 원혼이 정신보다는 힘 자체로 들어간 형태가 아닐까 싶네요', '천곡칠살에 유독 빡빡이가 많던데 촛불 타오르면서 머리카락도 같이 타버린건가']"
['(참여 36870)'],"['2,987']","['쓸만한 인재를 보는데 아가리 파이터 양정학 조장이왜나옴?ㅋㅋㅋㅋㅋ', '강룡 ㄷㄷ 안구해주고 그냥감걍 딴사람됐네', '성장중인 괴물 아저씨는 인재에서 퇴출당하심?', '강룡 예전이랑 눈빛다른거 보소... 1화에선 꺼벙하게 동료 아니었냐 물어보던애가 지금은 잡아먹을라하네...', '일각. 게다가 대놓고 마교에 대한 의심.결국 마교대전에서 승리했다곤 하지만 전쟁이 구리게 끝난듯', 'ㅋㅋㅋ 도겸이 홍예몽한테 반했네', '성장중인 괴물이 쓸만한 인재에 없다니.. 최고의 인재라는 건가..ㅋㅋ', '성장중인 당간은 어디가고 아가리파이터 양정학 조장이 후보에 올랐네??', ""'쓸만한 인재' 라인업 나왔네ㅋㅋㅋㅋㅋ예린이랑 양정학조장도 포함된게 흥미롭네"", '적호 청사는 어떤 임무 중이길래 아직도 안나오지', '환사 말하는거봐 ㅋㅋㅋ 혈비가 말 안들어줬다고 삐진듯 개커엽 ㅎ', 'ㅅㅂ 만화인데도 강룡표정 보고 순간 쫄았다..', '아니 왜 만렙을건드려 ㅠ', '우리 성장중인 괴물 아저씬??', '당간 형 아직 완성 안되서 뺏나봐 ㅋㅋ']"
