참여자수,댓글수,댓글
5922,392,"'여기서 진짜 세계관 최강자는 비나말고도 기신이아니냐고 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 왠만한영매사들 기강잡기', '기신이는 첫인상에 비해서 점점 벼루랑 친해지는 느낌ㅋㅋㅋㅋㅋㅋㅋ 벼루가 너무 안쓰러워 보여서 그런가...', 'ㅋㅋㅋㅋㅋㅋ아니 영매사들 기신이 손밖에 안 보이는데 그걸 대체 왜 무서워하는거냐고ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ', '나름 작가님 귀신에 적응됐다고 자부하고 보는데 진짜 눈큰귀신보고 깜짝놀라서 소리지름', '아니 서리가 훠이훠이 하면서 들고 잇는거 자투리 특집에 나온 프라이팬이잖아 ㅋㅋㅋ큐큐ㅠㅜㅜㅠㅠㅠ 서리야... 불에 데워서 휘둘러라....', '견선생이랑 기신이 주둥이파이팅 하는거 보고싶다 솔직히 둘 싸우는거로 한달치 분량 나올수도 있음', '화도 진짜ㅋㅋㅋㅋㅋ각성용 희생양이라니ㅋㅋㅋㅋㅋㅋㅋ그거구나 친한 지인이나 가족을 건드리는건 히어로가 각성할 기회를 준다는 그거', '진심 부동산보다 영연이 더 꺼림직하고 무서움ㅠㅠ 그냥 공포랑 예상할 수 없는 미래가 기다리고 있는 공포랄까... 전자는 내가 조심하면 괜찮은데 후자는 내가 조심해도 뭐 어떻게 안되는 교통사고같은 공포임ㅠㅠ', '오빠 눈에 나쁜 놈이 있긴 하냐고! << 없긴하지...ㅋㅋㅋㅋㅋ 이거 전에 골매아버지가 솔개 어머니한테 했던 말 아닌가 ㅋㅋㅋ', '손끝만으로 퇴마사 3명을 속인 기신...이정도면 그냥 귀신이라고 하는게....ㅋㅋㅋㅋ', '베델 손으로 귀신한테 훠이훠이 하고 있네ㅋㅋㅋㅋ 베델 가끔씩 귀신들한테 친절한거 귀엽고 하찮음ㅋㅋㅋㅋㅈㅋ', '견쌤이 ""관철""하라고 하셨는데... 관철은 >>어려움을 뚫고 나아가 목적을 기어이 이룸<< 이라는 뜻도 있지만 사물을 속속들이 꿰뚫어 본다는 뜻도 있네...약간 너희가 성장하길 기대할게.. 라고 느껴지기도 하고 우리의 목적을 너희가 알 수 있을까? 하는 느낌도 잇다...', '눈큰 귀신보고 심장마비 올뻔했는데 냄비로 밀어내는 서리보고ㅋㅋㅋㅋㄱㅋㄱㅋㅋ 응 무서울정도로 적응했구나 얘들아...', '납치범들 최소 엑스트라일줄 알았는데 계속 나오는게 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 머루한테 문병 와달라 하라는거 왜이렇게 웃기지 이쪽도 찐친인가본데', '나랑이가 은파 전화 받을때 홍조생기는거 뭐냐고요ㅠㅠㅠㅠ이정도면 찐 아니야???주식 성공한거 맞지??!!!?!!'"
7668,588,"'벼루는 이상하게 맨날 나서서 으쌰으쌰 잘 해보려고 하면 일이 와장창 파탄난다ㅋㅋㅋㅋㅋ그렇다고 본인이 가만히 앉아있으면 회사가 알아서 돌아가는 것도 아님 진짜 이 만화에서 얘가 제일 불쌍함', '역시 조선시대 cctv 최고의 보안 똑똑히보았슈', '애가 등교거부를 하면 아픈거 아닌가 학교에서 무슨일이 있는거 아닌가 보호자 자격으로 알아오라고 이 눈치없는 짜식아 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ', '단이보다 중요한 게 없는 어른에게 ""지금 그게 중요한 게 아니고""라니 빡칠 만하지 ㄹㅇㅋㅋ', '호감도 상승 실패! 호감도 급하락 성공!', '비나ㅋㅋㅋㅋㅋㅋㅋㅋ 용서없네ㅋㅋㅋㅋㅋㅋㅋ 다 병원에 입원시켰엌ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ', '어린애가 아프다고 거짓말까지 하면서 학교 빠지고 싶다 하는데 그게 중요한게 아니라구..,,?? 기신이 빡친거 이해된다', '머슴ㅋㅋㅋㅋ조선시대 씨씨티비 나왔넽ㅋㅋㅋㅋㅋㅋ', '벼루 고생이다ㅋㅋㅋㅋㅋㅋㅋ 애들 병문안가랴 애들 사고친거 수습하고 사과하랴ㅋㅋㅋㅋㅋ 저만큼 극한직업이 어딨냐', '옥벼루...중간직의 비애...', '머슴 갑자기 그림체 달라서 흠칫했네', '그래도 단이 비나랑 기신이 생각한다고 자기 선에서 해결하려고 노력하는게 너무 귀엽다', '그래도 단이 비나랑 기신이 생각한다고 자기 선에서 해결하려고 노력하는게 너무 귀엽고 짠해... 혼자서 다 해내려는 것 같아서...', '벼루.. 오늘도 열일합니다', '기신이 빡쳤잖아.... 오마이갓'"
8633,366,"'우리 서리 그냥쥐가아니라 생태계 교란종급 뉴트리아구나 강하다', '강화도 사실 빌라 최강자인데 심성이 유약해서 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 삼촌님 전작 나가도 그렇고 이런 캐릭터 좋아하시는것 같음', 'ㅇㄴ 9시 뉴스에서 보기 싫대... 그래 화도야 그거 꽉 잡고 있어라. 나도 서리가 사람 찔렀다고 뉴스 나오는건 못 보겠다', '비ㅋㅋㅋ나ㅋㅋㅋㅋ염과장님 심기불편해서 뭐 터뜨릴까봐 바로 입고있던 패딩 탈피하고 공손하게 입혀주는거봐 진짜 궤웃기고 너무불쌍하다ㅋㅋㅋㅋㅠㅠㅠ', 'ㅋㅋㅋ그만하라고 ㅋㅋㅋ명치를 걷어찼어 ㅜㅜㅋㅋㅋㅋㅋㅋ', '염과장 공포의 대왕이라고 하는 이유를 알겠다.. 등장만으로도 귀신들이 벌벌 떨면서 도망갈 정도면 온 힘을 다 하면 어느정도지..?', '우리 서리 납치범들 공격하려고 죽창까지 만들었는데 화도 손 가시 박힐까봐 걱정하는 것 무엇...', '염과장님 진짜로 공포의 대왕님이셨네요.저런 염과장님이 계신데 악귀버전 부동산 사장님이 무섭겠나요? 아하하하하하', 'ㅋㅋㅋ화도 물리적 인간퇴마 오졌다', '9시 뉴스ㅋㅋㅋㅋㅋ 미쳤다ㅋㅋㅋㅋ 그거 백퍼 피해자가 아니라 가해자로 볼까봐 그런거잖아ㅋㅋㅋㅋ', '아닠ㅋㅋㅋㅋ 화도 서리 무릎 박는거 개웃기넼ㅋㅋㅋㅋㅋㅋ ㄹㅇ 찐친ㅋㅋㅋㅋㅋㅋㅋ', '서리:테러리스트 화도:어쎄신', '개웃기다 머루랑 납치 패거리들도 저런식으로 다 줘팬거 아니야ㅋㅋㅋㅋㅋㅋㅋ무력(물리) 화도가 가장 세구나 서리야 강화도는 언제 강화 된거니', '화도 ㅋㅋㅋ 너 9시 뉴스에서 보기 싫다고!>>퍼벅 아 진짜 대단하네...ㅋㅋㅋㅋ', '에이 설마 염과장님 아니죠? 아니라고해'"
9733,476,"'지금 으르신들 생각하면 더 두 영감 성격 정 반대인거 진짜 신기함', '이리저리 다시봐도 은파네 성질은 유전이구나,,,', '뭐야 송가네 조상님..저 압도적인 사랑스러움..당신 오늘 부터 내 원픽이여,할머닌지 할아버진지 모르겠지만 제 심장을 후드러패다가 피터지게 해놓고 가셨군요...으윽', '설마 저 악귀 풀어서 자기가 얼마나 강해졌는지 확인해보는 건 아니겠지?', '송가네 조상님이 저기서 제일 어렸네... 그리고 지금 애들과는 다른 저 동글동글함.....', '왜 왜 마지막에 머리가 깨졌는데요 엑토플라즘 만드는 걸 저기서 깨쳤나', '아 진짜 삼신님이 목서 지키는 것에 집착하는 이유를 알겠네. 친구가 자기때문에 머리 깨져서 죽으면 나라도 그렇겠다 ㅠㅠ', '삼신 원래 머리는 어두운 회색이었는데 엑토플라즘은 백발인 이유가 막컷과 관련있나보네.', '골매 조상님까지 나오네 귀문 집안가문들이 전부나오겠어 이러다가', '골매 집안이 유전자 개 쩌는구나...', '어엌 2번째 컷에 골매조상님인가 근데 너무 눈이 초롱초롱(?)하신데', '점괘얘기가 나오고 뒤에 송골매랑 되게 비슷하게 생긴 사람이 보이는데 저 사람이 송골매의 조상인가?', '골매 조상님...넘 귀여웡...♡♡', '골매랑 닮았는데 조상이나 관련된 인물같네요', '저분 골매 조상님인가...!!'"
11619,757,"'결혼하라고 성화여도 꼭 그런 고행길을 걸을 필요는 없뎈ㅋㅋ 역시 골매 취급ㅋㅋㅋ', '아ㅠ 나랑이 학생때 너무 귀여워ㅠㅠ 우리아기토끼', '4촌까지는 조부모가 같지만 같은항렬중 6촌의경우는 증조부모가 같아요. 증조부ㅡ부모님의 부모님의 부모님이니, 할아버지의 아버지인셈입니다ㅡ6촌이면 할아버지의 부모님한테서 나온 방계라 보면 됩니다..그냥 남남이에요..말이좋아6촌이지..', 'ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ송골매랑 결혼하는줄 알고 오해한거냐 ㅋㅋㅋㅋㅋㅋㅋㅋ 비나 표정 ㅋㅋㅋㅋㅋㅋ', '미친우리아기토끼 찐아기토끼시절', 'ㅋㅋㅋ안마로 괴롭히는거 뭐냐고 ㅋㅋ 베델이 하니까 고양이 꾹꾹이같아', '와...나랑이 확실히 학생인거 티난다... 오지는 작화실력', 'ㅋㅋㅋㅋ비나... 골매랑 결혼으로 엮이니까 그 어느때보다 화났음 ㅋㅋㅋ', '헐 와 드디어 귀문애들 과거가 나오는 거예요??????? 풍악을 울려라', '와근데 고등학교때부터 알고 지낸거면 진짜 각별하겠다,,,,', '솔개 등장 컷에서 잘보면 왼쪽 눈이 금색이 아니라 은색인데 다음컷에 깜빡 하면서 바로 금색으로 돌아왔네 무슨 떡밥일까', ""저건 삼신회장이 굳이 뭘 숨겼다기보단...어차피 '뭘 어떻게 처치해볼 수도 없는 일이니까' 그냥 말 안하고 있었던 게 맞을듯. 약간 셜록 홈즈처럼...내가 지동설을 알든 모르든 지구에 사는 데는 아무 상관 없다 하는 마인드로, 회장은 걍 영매사는 죽어서도 분신으로 영원히 살아야 한다는 걸 쟤들이 일찍 알아봤자 방황밖에 더 하겠나? 차라리 살아있을 때 인생이나 쭉 편히 즐기게 하는 게 낫지 싶어서 말 안하고 있었나 봐..."", 'ㅁㅊ고딩나랑이 세상에...작가님 고딩골매도 주세요..', '고행길 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 송골매가 금비나랑 결혼하는게 고행이야 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ', '목서형. 혹시 커피타는 알바 새로 뽑을 생각 없어? 나 바리스타 자격증 취득해서 갈께'"
12541,642,"'우리 중학생이 진로를 위해 열심히 노력하겠다는데 누가 막아', '아니 나는 비나가...당연히 영연 최강일 줄 알았어...근데 저러면 진짜 삼신은 얼마만큼 쎈거고 얼마만큼 자비로운편인거냐 우리 뭉실뭉실 할아버지 재평가 시급...ㅜ', 'ㅋㅅㅋㅋㅋㅋㅋ서리 빡친거봐 그거야 너희 하기에 달렸다니까 수련회 교관이녜ㅋㅅㅋㅋㅋㅋㅋㅋㅋㅋㅅㅋㅋㅋㅋㅋ', '선배보단 증조할부지 나이뻘 같으신데요', '분신은 무표정이래서 햇갈렸는데 저게 만약 저 사람의 무표정 상태면 일리가 있지. 계속 저 얼굴이었으니까', '저 잘생긴 카페 사장님이 애를 노리던 살인자 였다고..??세상에ㅠㅠㅠㅠ 잘죽었다. 캬악 퉷💦', '야 이 양심도 없는놈아 그래도 삼신은 자기 자신을 늙은이라고 자칭한다고 어리게 봐줘도 80대인 주제에 어디서 선배 타령이여 이 못된놈이1 넌 니 선배한테 피 뺏기면서 컸냐', ""'어느 정도 경지에 오르면 오히려 구분하기 힘들다. 상대가 진짜인지, 진짜인 척하는지.'마치... 독자 같네... 독자는 객관적으로 상황을 다 보니까 너무 많이 알고 있어서 꼬마가 당연히 분신이거나 영매사일 거라고 생각했어... 맞아, 일반인은 보통 혼자 걸을 때 무표정이고 주위 일은 웬만큼 or 알아차릴 만큼 큰 일 아니면 알아채지도 못하고 관심도 가지지 않는데... 우린 그걸 놓쳤네... 너무 많이 알아서 상황을 평범하게 보질 못한 거임... 작가님 심리전 되게 잘하실 듯."", '근데 작중최강이라는 비나가 한 번 맞고 피 토했는데 송골매 너어는 무슨 자신감으로 쟬 유인했던 거임', '요즘 선배는 80년 위여야 되는건가? 우리는 그거 선배라안부르고 할아버지라 부르는데..', '아니 서리 그와중에 피라미랑 송사리중에 누가 더 크냐니 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ', '저렇게 인성이 파탄이라 삼신이 자기 관 아래에 부적으로 막아 놨던건가.... 손녀정도인 후배갈구면서 저딴말하는거보면 삼신과 맞먹는 꼰머일듯;', '맹목서는 분신 아니라 귀신.귀신이라 표정도 있고 무구, 무복도 없음.(예전에 단이가 ""저도 지금 죽으면 무복과 무구를 갖춘 귀신이 돼요""라고 말했음)삼신 친구면 살아생전 아주 강한 영매사였을 테니 죽은 후에 강한 귀신이 될 가능성 있음.근데 무구랑 무복이 없는 게 좀 걸리는데, 11화에서 은파가 분신 만들다가 죽을 수도 있다고 언급했음. 아마 맹목서는 분신 만들다 실패하고 죽은 귀신 아닐까??', '사람사는 거 다 똑같나봐ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ[ 여기있는 교관, 사람이 아닙니다. 여러분이 하는 행동에 따라 천사가 될수도, 악마가 될수도 있습니다. 지금 놀러왔습니까악 ¡¡¡(oO 놀러온거 맞는데……. ←꼭 한명이 중얼거려야 국룰 ) 소지품 검사는 하지않겠습니다 저는 00학교 여러분들을 믿고있으니까요 ]', '아니잠시만요 왜 비나가 피를 흘려요 비나 아직 이십대 초인데 ???????'"
13302,413,"'옥보배님 너무 멋있다 그냥 멋있다ㅠㅠㅠ 공포영화같은데서는 엄마가 희생양인 클리셰가 많았는데 책상 쾅치고 오히려 귀신을 억누르려고 분노하는 모습이 그냥 좋아 ㅜ', '은파 정말 성격 그대로 몸만 커졌구나 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ', '벼루 엄마 멘탈 무엇ㅋㅋㅋㅋ귀신이 쳐다봐도 그냥 보기만 하심ㅋㅋㅋㅋ', '벼루 처음엔 되게 미운털 박혔는데 지금 보니까 귀신 왜그렇게 싫어했는지 이해간다 어릴 때부터 저래왔으니 오죽할까 딱해라ㅠㅠㅠ', '기신이가 있어서 안심이다. 얼굴보고 오해해서 비나에게 약점 걸리겠네.', '서리ㅋㅋㅋㅋ갑자기 옥벼루에 대한 호감도 올랐다ㅋㅋㅋ', '이영싫 전작에서 와이셔츠 앞주머니에 넥타이 끼우는거 자주 보였는데 옥벼루도 마찬가지였네요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ이상하게 유독 멋있어보임', '벼루도 고생많았구나...어릴때부터 보이고..여사님은 진짜..칫이라니..우리 벼루한테 무슨짓을 하려고한거야..ㅠㅠ벼루가 귀신에대한 두려움과 공포가 왜그리심한지 알거같다;', '서리 아재개그도 그렇고 이미 정신이 부장님이야...', '근데 좀웃긴게 ㅋㅋㅋㅋㅋㅋㅋㅋ 녹주 쟤는 머루가 딱 바빠보이는데 밥집 찾았는데 가실래요? 필요하신거 있으세요? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 이 물음표살인마야악', '여러분은 회장씩이나 되는분이 개인 보디가드가 되는 장면을 보고 계십니다', '아 근데 귀신 상대로 돈지랄 하는거 너무 짜릿하다....ㅋㅋㅋㅋㅋㅋㅋㅋㅋ벼루 어머니 나중에 또 등장해조요', '바가지 머리 쟤 분명 기신이 귀신으로 착각해서 퇴치하려고 한다에 옥벼루 건다.', '저는 돈만좋아요 라닠ㅋㅋㅋㅋㅋㅋㅋ', '근데 녹주 되게 위험한거 아닌가 금비나 방해하러 가는 거 같은데'"
15484,583,"'이제는 액괴도 못믿고 믿을수있는건 최강지존비나뿐', '아니 이게 뭐야.... 저번주까지만 해도 인형이 애기 구해준 줄 알고 와 인형 오해했구나 좋은 인형이였네 했는데 그게 아니였잖아.... 애기 구해준 건 맞는데... 인형이 앉아서 엄마 보고 있었던 것도 엄마를 없애면 애기 한테 1순위가 자기가 되니까 없애려고 기회 엿보고 있었던거야..? 소름...', '지킨다는 명문하에 완전히 자기것으로 만들려했던거야? 저세상 집착이네 ㄹㅇ', '아이는 지키려한거고 엄마는 죽이려한건가... 인형의 반전은 어디까지인가ㄷㄷㄷ', '와ㅓ... 근데 이번 일 단이가 알면 진심 개 상처받겠다; 단이가 약간 미숙한 완벽주의자형 인물... 너무 잘하려고만 한 나머지 오히려 계속 실수를 하게 되는 그런 유형인데. 애가 그걸 딛고 일어선다면 발전으로 나아가겠지만 단이는 그렇게 행동하기엔 아직 좀 여린 것 같아서ㅋㅋㅋㅠㅠㅠ 결국 자기가 만들어준 결계가 없어졌다는 건 나중에는 밝혀질텐데, 그때 또 기신이가 단이를 잘 북돋아줬으면 좋겠음... 믿는다 안기신 우리 마음 다 알지?', '엄마 없애려고 했다는 게 너무 소름인데;;', '와중에 쓰러지는 화도 붙잡아주려는 솔개 너무... 친절해 당신...', '우와 1초전에 뒷내용 안보고 인형 미안해 생각햇는데 이름값오짐', '아쒸 물인형 눈깔보고 존나 놀람', '작가님 귀신 정말 잘그리신다.... 개인적으로 이때까지 나온 거중에 (귀신은 아니지만) 물결계 얼빡 컷 진짜 소름돋고 몇초이상 못 쳐다보게 생겼어 ㅠㅠ', '뭐야... 인형이 미나라는 애를 구한건 잘한건데 솔개가 회수 안했으면 큰일났겠다', '제일 좋아하는 사람이 다른 사람이 된다면 자신이 될 때까지 죽일 수도 있는거겠네...소름돋는다....', '인형 선택했어도 다른 사람들은 그럼 필요없네 하고 뭔 짓했을수도', '아니 근데 화도 쫓아다니던 그 귀신보다 그 인간형 결계가 화도 쳐다볼 때 보이던 그 눈이 너무 무섭다...ㅠㅠㅠ 화도 쫓아다니던 귀신은 딱히 뭐 하지도 않았고 무섭다기보단 그냥 매번 화도한테 뭐 제대로 해보지도 못하고 쫓겨나니는 모습만 봐서 오히려 안무서운데.. 이 결계... 물로 이뤄져서 그런가 눈 왜이렇게 무섭니,,,', '그와중에 인형 인간화되니까 개이쁘누...'"
16605,503,"'비나가 너무 대단한 능력자라 단이가 좀더 기가 죽는 거 같다 넌 아직 애기고 그냥 스스로 행복해지는 거에 집중하면 되는데 ㅠㅠ 애들한테 너무 기대하는 티를 내면 안 되는데 제대로된 어른들을 이제서야 만난 단이가 잘 성장했음 좋겠다', '와 미친 그럼 진짜 완전한 한명이 될수없어서 알아서 뒤진다는 그런거였음?? 갑자기 베델이 약점을 이점으로 두고 산다는 그런 말했던게 떠오른다,,,', '근데 이번화에서 진짜 비나가 강하고 똑똑하다는게 느껴지네,,, 삼신이 했던 아리송한 말을 한번에 이해하고,,, 비나언니 오져요 ㅠ', '제일 욕 많이 하는데 결국 송골매 챙기는 것도 보면 늘 서리임. 그러다 미운정 든다...', '골매는 모든걸 알면서 모르는 척 하는 걸까 아님 진짜 모르는 걸까', '아니 진짜 골매 말좀 해봐 제발..ㅜㅠㅠㅠㅠ아는거 있으면 말을하라고!표정만 보여주지말구..ㅜㅠㅠㅠㅠ', '골매는 알고 있지만 굳이 아는 척 안 하는 스타일... 귀찮은 일 딱 질색하는 스타일... 같은 느낌', '천재는 천재밖에 못 가르친다고 하지', '빨판 상어는 이름에 상어라고 되어있지만 상어는 아니래요!상어 같은 강한 애들한테 붙어 다니면서 상어들이 사냥하고 떨어트린 부스러기를 받아먹거나 다른 바다동물들로부터 안전하게 산다고 해요...역시 삼님 비유 천재셔', '이 난리에 자고 있을 강화도 생각하니 마음이 약간 편안해짐', '그래서 걍 두라고 한건가?', '단이 무리하는 모습이 너무 맘 아프다.. 초등학생인데... 분명 초등학생인데 ㅠㅠ...', '와중에 애들 계속 단이 본체 걱정하고 있네 이 착한 친구들... ㅜㅜ', '능력이 뛰어나도 경험에 따라 대처법이 다르다는 걸 보여준 화.', '단이는 오늘.. 비나를 통해 하나를 배우고 가는구나...ㅠㅠㅠㅠㅠ 우리 단이는 똑똑하니까 오늘 하나를 배웠으니 열을 알겠지...?ㅠㅠㅠㅠㅠ'"
17612,632,"'이 상황에 쪼개면 걱정하는 사람 입장에선 열받는게 당연하지...', '아 헐 베델... 베델이 딱 그거네 영매사 아닌 일반인들 이해 못하는 그 부류ㅠ 너 그거 나쁜짓이야 전교 1등이 전교 꼴등 비웃는 그런거라고 이 나쁜 시금치자식', '우와 베델 씨랑 송솔개 씨... 지금껏 안기신 얼굴을 먹금하고 지나친 영매사는 당신들이 처음이에요; 먹어온 짬밥 양이 달라서 그런가 역시 몸가짐들에 여유가 철철 흐르네요 완전 쩐다', '아니 베델 왜 웃어..;; 다른 사람이 봉변당했을 때 옆에서 큭큭 웃는건 걍 시비거는거잖어;;;;', '은파 나랑이 걱정하다가 베델이 웃자마자 표정 싸해지면서 정색하는 것 좀 봐', '우선 베델 웃는 부분이랑 오늘 귀신 나왔던 부분 둘 다 소름이기는 했는데.... 뭔가 비나도 무서워 하는 게 있다는 부분에서 깜놀했음. 비나는 애들(기신이, etc.,)이랑 같이 있거나 어머님 대할 때 빼고는 대부분 무관심, 귀찮음, 피곤함 정도였고, 쭉 그렇게 표현되어 왔던 걸로 기억하는데...(아님 말고) 이번에는 작가님이 무섭다는 감정을 콕 찝어서 독백으로 넣으셔서 그런가 더 놀라웠던 것 같음.', '근데 진짜로 기여워서 웃은거면 어캄??', '아 님들...첫인상 안좋게 잡힌건 알겠는데 너무 베델 몰아가지맙시다..벼루도 처음엔 욕했는데 나중에 보니깐 그렇게 나쁜 애가 아니었잖아요...아직 어떤 애인지 제대로 안나왔고..일단 더 지켜봅시다....', '베델 엑토플라즘 복장 되게 심플하다...애들 보면 되게 펄럭펄럭한데 베델 펄럭이는 거 귀찮다고 후드티 반바지 했을 거가타...', '아 근데 나랑이 진짜 놀랐겠다....귀신은 나 죽이려 득달같이 달려들지친구는 귀신 못 보지나가는 방향은 어딘 지도 모르겠지...', '근데 비나가 무섭다니 은파랑 베델 예전에 한번 완전크게 싸운적이라도 있는거 아냐?? 성격도 안맞을 것 같고ㅋㅋ...', '나랑이 진짜 자기도 무서울텐데 기신이 도망치라고ㅠㅜㅠ 아 근데 비나가 무섭다니깐 귀엽다ㅋㅋㄱㅋㄲ 담주까지 또 어떻게기다리지ㅠㅠ', '댓글 이년이라뇨..아직 나온지 얼마 되지도 않은 캐릭턴데 벌써부터 욕할 필요는 없을 것 같아요', '나랑이랑 기신이랑 진짜 키차이...쩐다.......', '골매 안나왔어.... 골매야... 아직두 아픈거니... 아직두 환자복입고 병실에 누워있니...? 골매 넘 사랑핵 흑흑'"
