참여자수,댓글수,댓글
14750,2521,"'전역 얼마안남아서 빡쳐도 엎을 명분이 없다싶었는데 저 각을 만드네ㅋㅋㅋㅋㅋ', '권정민 2소대가 어떻게 나올줄아니까 열외인데도 나서주네 개멋있어', '2소대 ㅈ됐네말년수경 빡치면 어케 되는지 몰라서 저 ㅈㄹ들 하는건가...', '그와중에 조혜령 방심 하는데 한대 날릴까 말까 고민하는거 레알 웃기네 ㅋㅋㅋㅋ 물귀신이 아니라 최아랑에게 붙은 지박령 같음', '폐급들 실력이 좋나.. 체력이 좋나.. 그렇다고 반박못할정도로 논리가 뛰어난것도 아니고 훈련은 개 발리고 후임들 탓하고 지들은 고스톱이나 치고 저러면서 1소대 탓! 노력도 안하고 1소대에게 원인찾기ㅋㅋ 전형적인 패배자 마인드가 깊게 박혀있네 저러니 왕고가 집가기 전에도 저리 빡치지..', '옛날 설유라 때 보다 더 사이다이길 중수까지 완전 털렸으면', '강경옥: 다들 떨어지는 나뭇잎 조심해라!! 특히 말년 수경은 절대 건드리면 안돼!!', '1소대 방패조 구성.1번째 줄 방패조 - 역대 최강 방패벽.2번째 줄 봉조 - 현봄이가 조율.3번째 줄 방패조 - 고효원이 조율.빵꾸없는 방패벽에 각줄에서 받데기들이 일이경들과 제대로 역할을 해주니. 역대 최강 방패조 소리를 듣는 이유를 알겠네.그 와중에 2소대 분위기 보고 일선에 앞장서서는 왕고 권정민.ㅋㅋㅋㅋ', '그냥 있어도 상관없는 말년이 꼽준다? 진짜 너 같은 애랑은 완전히 틀어져서 손절하고 전역해도 별 상관없겠다는 뜻.', '분량 개많네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㅇㅈ 시위 장면은 원래 옛날 수아가 현봄이 뛰어들었을 때도 한 컷에 사람이 너무 많아서 전체가 짧게 느껴졌는데 오늘은 안 그랬음 작가님 고생하셨어요', '아무리 2소대 출신이라 하더라도 수인까지 역임했던 신솔이 전역이 임박한 개말년에 화를 내는 이유는 자신의 소대가 개판이 되어가는 꼴을 참지 못해서였을겁니다. 세상에 훈련 중에 기대마에서 화투를 치는 행위가 말이 된다고 보십니까? 당나라 군대가 따로 없습니다. 아무리 2소대가 평화노선을 취했다 하더라도 기본적인 예의 및 질서는 지켜야죠. 특히 2007년 당시에는 각종 거리 시위로 전의경들이 실전에 투입되는 경우가 잖았기 때문에 훈련이 그 무엇보다 중요한 터에 훈련에 진지하게 임하지 않고 희희덕 거리며 웃는 모습 그 자체로써 직무유기 입니다.', 'ㅋㅋㅋㅋㅋ신솔 빡돌게 만드는것도 능력임', ""신솔 '설유라' 하는건가 ㄷㄷ"", '다음화 : 옛날 수경[2-1]', '신솔눈나...'"
15831,2657,"'일부러 모르는척 하는거 같은데? ㅋㅋㅋ 와 근데 보니깐 쓰레기더라도 반갑다', '저반응이 현실적인 반응입니다라시현이 전역할때 길채현한테도 그랬죠ㅋㅋ군대는 전역하고나면 완전남남이좋다고군에서 그리좋은인상도 아니었겠다 저게정상임ㅋㅋ아님진짜 언니일수도있고', '저거 라시현 언니아님? 안경벗은거같은데', '근데 라시현 입장에선 애진이 모르는게 맞지않음??라시현이 중수가 된것도 아니고 소대수인으로 쭉~소대에만 있었는데 애진이를 알리가 없지 더군다나 후임들한테 관심없고 근접들만 챙기는 라시현 성향상 애진이 모르는게 더 개연성이 맞는것 같기도?', '라시현 맞는거같은데ㅋㅋㅋ 원래 가식미소 잘지음. 그리고 언니면 자기더러 라시현이라고하면 웃기보단 그냥 의아해할듯', '명품관 보자마자 설마 그 분 나오시려나 했는데 나와주셨구요.. 반갑구요.. 여전히 차다못해 시리구요..', '둘다 금수저라 저렇게도 만나는구나', '불쌍맨을 터는 봄이..아이고난1 아이고....아.. 여기가아닌가..', 'ㅋㅋㅋㅋㅋㅋ 라시현보소... 전역했으니 이제 군대생각하기싫다이건가하긴 누가 뭣같은시절 떠올리고싶겠음?', '그래도 애진이 정도면 라시현급이라도 사회에서 알아둬서 나쁠거 없을거 같은데', '근데 밖에서 동갑 고참 보면 겁나 뻘쭘함. 말놓자니 어색함의 끝을 달리고 높이자니 여긴 사회고. 그냥 안 만나는 게 최고', '라시현이면 애진이는 모를 가능성이 크지. 지 소대 막내도 모를 가능성이 큰데 3소대는 노관심', '근데 의외로 허정인 돌아왔을 때 동희 조져줘서 사이다 주게 될 수도 있을 것 같음ㅋㅋ', '모르는 척 하는거면 싸가지 여전하네ㅋㅋㅋ', '라시현은 밖에서 저리 웃고다닐타입 아니에요언니맞는듯'"
16086,2147,"'개쪽팔릴듯 지가 짱인줄 알고 나대다가 진짜 짱한테 개발림 ㅋㅋㅋ', '겨울이가 진짜 에이스네', '와 겨울이 카리스마 반할것 같아', '민지선이 그립다 예령이 쟤 민지선한테도 저랬을까', '우지영 조예령이 깝쳐도 유일하게 본인편이라서 뭐라고 말도 못하네 ㅋㅋㅋㅋㅋㅋㅋ', '권정민이 예전부터 봤지만 진짜 사람 좋음 자기 딴엔 수아 편에 서서 도와주고 싶을텐데 그래도 걔보단 윗선임들 생각하니 위계질서를 잘 지킨다고 해야할까?? 걍 사람이 ㅈㄴ멋있음', '아니근데 수아 곧 중수되실몸인데 계속척져서 어쩌겠다는거야?평생 쫄따군줄아나 허정인이랑 나주리도 요새 안갈구는거 모름?', '진짜 수아라인없으면 빵꾸천지네 ㅋㅋㅋㅅㅂ 윗대가리는 머하는것도없는데 갈굴생각만하고 그나마 우지영마저도 저리빵꾸내니 수아없음 돌아가지 않을거같은데 나중에 수아 상경 최고봉라인 올라서면 역전될듯', '진짜 안때리고 목졸라 기절시킨것만해도 다행인줄알아ㅋㅋㅋ주먹한대맞으면 강냉이 6개는 털릴게 기분나빠하긴아랑이가 착했지', '현재 챙이들 수아및 아래기수받데기때문에 편안하게 살았구나', '지영이는 사람 사귀는 방법을 잘 모르는거 같음.그래서 빵구3인방,조애령 이런 애들과 친하게 된거고 한편으론 안타깝네.솔직히 그림체로 봤을때 인키케릭이 될수도 있던 케릭인데', '아랑이 표정이 와 이리 당하고 대놓고 죽일듯이 보는 녀석은 또 처음이네;;란 표정인데ㅋㅋ', '앞보라니깐 옆 계속 쳐보네 쉐빙이가 뒤질려고 ㅋㅋ', '개과천선이 안됐네 조예령', ""우지영도 이제 알아야지 고립된 거. 한소이, 권정민, 성아라 같은 윗선들은 물론이고 나주리도 우지영 도울 마음 없음 '받데기가 챙한테 대듬' 에 빡친 거지 '정수아가 우지영한테 대듬' 이라 빡친 게 아냐 쉴드도 쳐주다 말았고, 그에 비해 소이랑 정민이는 끝까지 쉴드 쳐주잖아"""
16211,2581,"'봄이 전 남친 개찌질하네 ㅋㅋ 수아가 그리 말했으면 알아먹어야지 ㅋㅋ 허정인 소환해라', '근데 세오 진짜 보면 볼수록 잘생겼다 남자가 봐도 반하겠음', '진심 이일 허정인이 알면소금을 뿌리는게아니라 포대들고 들이부을듯중수인거 아직모르네', '지금 전 스토리 다시 보니까남친 저놈같은과 여직원이 대쉬한게 아니라 지가 꼬리치고여친찬게 아니라 걸려서 차인거 100%임 ㅋㅋㅋ', '근데진심 정세오 개잘생겼네....저런 올빽머리에 잘생긴얼굴 ㄹㅇ 흔치않은데?흡사 디카프리오 보는줄알았다', '용수는 미쳐도 단단하 미쳤다. 애초에 잘해준 현봄이를 버린게 잘못이지.....현봄이가 잘못했냐? 솔직히 그일로 현봄이는 탈영까지도 검토할 정도로 완전 시한폭탄 까지 갈뻔했는데 뻔뻔하게 있다니...참으로 양심이 없다....너같은게 공무원이라는데..... 정수아에게 고한다. 둘째오빠 세호 걍 현봄이랑 친하게 지내게 내버려둬라....둘이 짝짝꿍인데 너가 말려봐야 의미없고 괜히 현봄이 상처가 터지는것보다 그게 나을 정도에다가 강력추천이다.', '근데 수아한텐 말하는게 낫지 않을까괜히 나중에 들키면 더 배신감 느낄것 같은데특히 다희랑 큰 오빠일을 봄이가 봤는데 저러면 더더욱....', '근데 수아말 들어볼때수아가 여태까지 봐왔던 정세오는 그닥좋은사람아님;;;수아친구랑 불화 들어봐도 열뻗친다고 안그랬나?일단 지켜봐야 알겠지만와꾸가 너무잘생겨서 잘됐음한다', '부대 앞이니 허정인한테 죽든최아랑에게 죽든정세오한테 죽든죽긴 죽겠구나ㅋㅋㅋㅋㅋㅋㅋㅋㅋ', '봄이가 아니라 수아 전번 딸려는거 아냐?봄이 꼬라보는게 봄이는 정뚝한거 같은데 수아한테 볼일있는거면 죽인다 ㅅㄲ야', '빛정인 언제나오노..', '아이고 수아야 네가 그렇게 말했는데 화장실 간 사이에게임 끝나버렸어ㅋㅋ', '전남친 그냥 민원 넣고 골로 보내버리자', '앜ㅋㅋㅋㅋㅋㅋ 봄이 벌점주러 나오는 소중이 보고 반하는 전개로 가자', '1. 봄이는 쉬운여자가 아니다.2. 세오는 이제껏 이쁜여자는 많이 만나봤겠지만 완전 통하는 상대는 만나본 적이 없다 3. 수아는 자기 동기를 이제껏 해왔던 것처럼 세오가 울릴거라고 생각해서 경계하는거지 세오가 진심이라면 반대할 이유가 없다.4. 독자들이 바라는 것은 무엇인가?답나옴.'"
15912,1876,"'나는 요즘 수아 빡세게 기강잡는거 사이다임 솔직히말해서 수아가 후임 하나하나 다챙겨주고 잘못한거있으면 다 자기가 커버치고 대신혼나고 그랬는데 이제야 재대로 된거같아서 좋네', '와 유진이 의자 젖힐 때 뒤에 세이랑 다미 앉은게 아니었으면 개털렸을텐데 운 좋네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ', '슬슬 수아가 우지영 먹을 때 된거 같은데', '나주리 상처받았다면서소이가 갈구니까 좋아한다순한맛 오로라임ㅋㅋ', '아이고 소이는 정민이 전역하면 말출이 많기를 바래야 겠다나주리가 호시탐탐 노리는거 보니 걱정임....', '수아의 기강이 사이다인데 지금 수아랑 보현이는 터지기 직전임... 저 정도면 하극상하기 직전의 전조임... 내 상각에 보현이가 하극상한번하지않을까 생각됨...', '수아 벌써 소수 무전 대신 들어줄정도로 짬찬건가', '맞아 내가봤을때 이번 에피에 수아 아랑이가 또 전설 된다. 이후로 수아랑 아랑이 사이 더 좋아지고 수아 힘 팍팍실리고 우지영도 인정할만한 무슨 전설같은 일이 일어날거임', '유진이 의자 뒤로 넘길때 나만 식겁했나ㅋㅋ', '이번에 뭔 일 터져서 수아 확실히 각성하는 계기 될 듯', '뭔 일 터질것 같다. 애들아 수아 말 잘 들어줬으면 좋겠다, 지금은 많이 부족한듯', '와 진짜 초반에 비하면 완전 천국이네', '소이가 소수라는 글이 배댓이라는게 사람들이 진짜 군대를 모르는거 같네 앞부분만 봐도 정민이한테 허락 맡고 애들 자게하는데 답답하다.', '소이 소수라 견장이 아니라 상황이라 분대장으로 단거 아닌가??', '수아 갓 289 와서 본부소대 있을때 말에 의하면, 길채현이 신병하나 끌려간거 방패하나만 가지고 혈혈단신으로 가서 구해왔다는 이야기가 나오는데, 이번 시위에서 그런거랑 거의 유사한 장면 나오지 않을까 생각됩니다.'"
17536,3780,"'드디어오네 딱밤 딱대 ^^!', '헐', '내 최애 웹툰 뷰군이 드디어 돌아왔다!!! 기다리느라 눈 빠지는줄 알았음 ㅠ.ㅠ', '작가님들, 우선 고생하신 만큼 복귀해주셔서 감사합니다.다만, 다른건 몰라도 독자들과 소통할 때 네이버 공지나 작가의 말 등 웹툰 독자라면 누구나 볼 수 있는 매체에서 해주시면 정말 좋을 것 같아요.이번 휴재기간 때 네이버 공지로는 단 하나의 말도 없이 트위터나 뷰군갤을 통해서 소식을 겨우 접할 수 있었습니다.정말 뷰군을 애독하는 독자로서 이로 인해 작가님이 헐뜯어지는 모습을 보니 마음이 너무 아파 드리는 말씀입니다.혹여 다음 휴재할 일이 생길 땐 이 의견을 참고해 주셨으면 합니다.감사합니다.', '프롤로그로 오면 죽인다고 다들 그래섴ㅋㅋㅋㅋㅋㅋㅋ 프롤로그랑 하나 더 들고온거냐곸ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ', '치약 미싱 좀 하실래요?작가님아?언제 오시나 기다렸네요', '내가 알기론이병 : 이제 갓 들어온 병x일병 : 일만하는 병x상병 : 상상을 초월하는 병x병장 : 병x대장', '상처 받는거 밑에 애들 사고치면 수경한태 개털림 그래서 갈구고 때리는거 중간에 낑겨서 힘든게 상경', '830k 박민주 836k 강승희 837k 김현리 김미윤 성상정 838k 민지선 육근옥 박상미 엄미선 839k 설유라 이운정 844k 라시현 오정화 길채현 845k 오덕희 공승화 오로라 846k 류다희 마리아 임향희 김가을 이종혜 유예리 홍덕 차하얀 왕비령 847k 송미남 박율 김소리 강경옥 장지희 849k 구수란 서서희 ?연두 박가연 851k 박현정 간미효 송수라 신솔 852k 권정민 허정인 855k 한소이 856k 나주리 857k 성아라 이병희 862k 우지영 조미주 ?호영 ?채원 863k 이세홍 유경미 865k 이보현 866k 홍이란 이송이 주방희 (나머지 모름) 867k 정수아 현봄이 박소림 하애진 868k 최아랑 봉자연 송우리 869k 문소중 홍주예 공수진 870k 주희린 최상아 황다정 871k 고효원 김세이 ??? ??? 876k 한겨울 이하은 채희나 878k 홍세나 남혜서 서다미 유솔아 윤단아 박정하 장홍 권리지 지예원 881k 한유진 김만주 박이현 베댓 좀ㅠ힘들었따ㅠ', '기다리다가 뒤졌다가 다시왔다는 얘기 듣고 환생함', '갈구니까 본인도 상처받는거지... 갈구는거 마냥 좋아하는 사람은 덜되먹은거임', '막컷 수아 ㄹㅇ 고퀼이네 스토리작가가 한달 더 휴재하니깐 그림작가가 시간이 남아서 영혼을갈아넣은듯', '들어갈때 수아가 일경이라 짬 낮았는데 먼저 전역해버렸다 수아보다 ^^', '잘못된거 고쳐야할거 지적하게 되면 상처를 주게 되지. 근데 상처를 주고 희희낙락하는 사람은 없다. 다른 사람에게 마음 의 상처를 주는 것은 그만큼 자신이 상처를 받게 되는 것을 각오해야된다는 이야기', '와 243화 보고오니... 진짜 슬프다...'"
20903,2962,"'아랑이였으면 넌 죽었어 아베같은놈아', '이야. . .류다희 처음부터 끝까지 레전드 찍고가는구나. . 꽃길만 걷자', '특채가자잇 류수경', '남녀 힘차이 있어도 그렇지 훈련소 부터 수경까지 훈련에 시위막으면서 싸워온 사람하고 한낱 고삐리하고 싸움이 되나 ㅋㅋ', '아랑이었음 업어치기로 허리 작살냈을거고 권정민이었으면 한방 제대로 후려갈겨서 기절시켰을거고 민지선이었으면 싸대기 오지게 후려쳤을거고 라시현이었으면 흐흐응~ 이러면서 전화한통에 높은사람와서 인생에 금이아니라 완전 개작살내버렸을텐대', '수아야 다희같이 멋있는여자없다 오빠소개해줘라 ㅠㅠㅠㅠㅠ', '×발 다희야 말년에 미안한데 존나 멋있다 너', '제 생각에 류수경이 저렇게 훌륭하게 제압했지만, 남은 여자 두 명이 변수 만들어서 남자 속박 풀고 류다희 좀 다칠 것 같네요.. 그 타이밍에 경찰차 도착. 류다희 검거에 도움 준 활약 인정 받아 특채로 경찰 빨리 될 수도..+ 깁스나 다친 거 보고 수아도 감동 받아서 오빠 소개까지 일거양득 가즈아~', '류다희가 진짜 대단함 말년에는 떨어지는 낙엽도 조심해야한다는 것 처럼 저렇게 나서는게 쉬운 일이 아닌데 선임병으로서 정말 모범이 되는 캐릭터 같음 전역하면 아쉽겠다 정말,,', 'ㄹㅇ 남녀평등 만화 아니냐. 남녀를 떠나서 경찰이면 범죄자 하나 제압은 못하더라도 밀려선 안 되지ㅇㅇ.', '이 만화는 볼때마다 드는 생각이 정수아는 걍 바지사장이고, 뭔가 비선실세 같이 숨은 진주인공이 있을거 같긴 했음. 그게 류다희인거 같긴 하지만ㅋㅋ', '저런 여경이 대부분이라면 여경확충하는거 반대할놈 하나없지', '초반에 아랑이 전입왔을때 헥토파스칼킥 날린게 류다희', '2년동안 온갖 시위란 시위 다 막고 단련하고 구타 맞아가면서 길러진 맺집인데 어디 한낮 고딩이 이기려 들어ㅋㅋㅋㅋㅋㅋㅋ', 'ㄹㅇ 아랑이 없던거 행운이다 양아치 하늘에 감사해라'"
18961,1368,"'권정민한테 열등감을 가졌던 거면, 권정민을 제치고 중수 자리를 갖게 된게 진짜 기분이 째지긴 하겠네ㅋㅋ', '근데 중수 포스가 너무 떨어지긴 한다...물론 권정민 분위기가 좋고 나쁘고를 떠나서 정민이는 딱 뿌러지게 하는데 허정인은 아직도 좀 허술한 면이 있으니..중수라는 타이틀 달고도 후임,윗선임 있는데서 그리 감정을 표출 하는거 부터가 중수 권위가 매우 떨어지는 모습이라 보일텐데....', '박율ㅋㅋㅋ 자기도 똑같네ㅋㅋㄱ 아 근데 민지선 너무 귀엽다♡', '2소대 소수는 또어디서 나왔냐ㅋㅋㅋ 나올캐릭이 무궁무진하구먼', '2소대 소수 누구야!!! 존예', '근데 뭔가 ㅋㅋㅋㅋ 허정인 딱히 인정받지 못하는 느낌인데..? 2소대 수인은 잘 듣고 정민이는 그냥저냥 할거만 하고 3소대 수인은 지 멋대로 할거같다', '정인이도 현실로보면 이해간다 대학안가고 바로 경찰하고싶어 자기가 놀고싶은것 다참고 의경 지원한것 실제로봐도 저런 친구들 많음', '근데 허정인 중수되고 스타일 좀 상향받은 느낌이네 작가님도 뭔가 조치가 필요하다 느꼈던듯', '어휴 그 3소대 그 미효?그 미간째진애가 소수가 아니여서 다행이다ㅋㅋㅋㅋㅋㅋㅋㅋ근데 허정인이랑 지금 3소대소수 약간싸울삘인데..지금 3소대소수가 먼저 상경일했으니 허정인보다 더 윗기수아닌가', '3소대 수인을 간미효한테 넘겨줬으면 간단했을텐데, 덕이가 간미효는 인물이 절대 아니라 생각하는 바람에(일단 인물 됨됨이가 글러먹었으니..) 기수가 허정인보다 훨 위인 박가연한테 넘어간거고, 박가연은 자기보다 기수도 낮은게 지위는 더 위라서 마음에 안드는듯. 덕분에 허정인 파워만 약해지는거지 뭐.', '허정인 뭔가 안쓰럽다', '지금이야 권정민 이긴 기분에 중수 자리 좋아서 저러고 있지만 곧 흥미 떨어지고 능력 떨어져서 빨리 내려오게 될 듯...; 자기가 생각했던 것 보다 분위기는 너무 좋아졌고 본부도 자기 할 일 많아서 조용하고 구타가 다시 생긴다고 해도 주변에서 말리고 안 들을 것 같음...', '작은 빠순잌ㅋㅋㅋ', '오로라 라시현 붙음: 다음화에서 흐지부지한소이 나주리 붙음: 다음화에서 흐지부지권정민 허정인 붙음: 다음화에서 흐지부지이쯤 되면 과학인거 모르는 흑우 알제?', '계속보니까 2소대 소수 치인트 유정 닮았네ㅋㅋㅋㅋㅋ'"
20633,2115,"'류다희 경찰시험 저거 분명히 복선이다. 수아는 전역 전에 어떻게든간에 다희 볼거 같다.', '빛지희나 빛덕희 같은 사람만 있었어도 임병장이나 윤일병 같은 사람들이 조금은 사람답게 살 수도 있었을텐데...봄이 눈 돌아온거봐ㅠㅠ', '갓덕희... 진짜 여기서 최고천사 길채연 다음가는 천사다', '와 진짜 덕희 마지막까지 봄이걱정하네 ㄷㄷ천사여 천사 아주그냥', '다희 멋지다..봄이한테 만화책은 교과서고 참고서래..', '김가을 기율이랍시고 봄이 만화책 갖고있는 거 시비걸면 개짜증날듯.....', '왜 아무도 1부관이랑 순경 커플 얘기 안함ㅋㅋㅋㅋㅋ 졸 의왼데', '슬슬 수아 상경 달고 우지영이랑 신경전 들어가겠네 ㅋㅋㅋㅋ 꿀잼보장... 근데 솔직히 수아가 우여곡절이 너무 많았어서 좀 잘 풀리는 화도 있었으면 좋겠긴하네 ㅜㅜㅜ 저 꼬부기도 수아랑 잘 지냈으면 좋겠다.', '다희.. 경찰시험? 수아는 영고인거야?', 'ㅋㅋ 오늘 꼬라지보니임향희는 끝까지 추하겠네', '류다희 경찰시험은 좋은 복선인듯 하다', '다희....수아 위 장교로 올 것 같은데 ...ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ', ""우지영 무시당하는거보면 왜이리 고소하지 계속 조금씩 후임들한테 무시당해서 열외됐으면 좋겠다'"", '45기들 전역했다는건 신병나온다는 소리인가', '마지막화 쯤에 현봄이가 뷰티풀군바리 그리면서 책 덮으면 나름 씹소름이겠노;;'"
20336,2587,"'🐢꼬부기 말년에 거북왕돼서 다 조질듯', '검열.그냥 우리 중대가 이렇게 훈련이 잘되어 있습니다.라고 윗선에게 보여주는 정기적 행사입니다', '289에서 민지선&설유라 기수 이후로 가장 존재감 있던시현&채현 기수도 이렇게 떠나가네요.악녀니 뭐니 해도 정말 비중 있는 캐릭으로스토리를 이끌어가는 역할을 했었는데,과연 대체할 수 있는 캐릭이 나올지 기대됩니다.개인적으로도 정말 매력 있고 좋아했었는데후에 특별편이나 외전격으로 전역 후 류다희와의 만남이라든지길채현과 같이 회사일 하는 모습이 나오길 기대해 봅니다.', '고 박용관군과같은 피해자 생기지 않도록 군인을 보호할수있는 법적제도 청원에 동의해주세요 박용관씨가 길거리에서 아무런 저항도못하고 사망해야만 했던 진짜이유는 군인이라는 신분때문이었습니다.현역 상병이였던 박용관씨는 휴가중 친구들과 회식을 했고 의도치않게 지나가던사람과 신체접촉이 있었습니다. 군인 신분이라 다툼을피하고자 죄송하다고 사과하고 옆에있던 친구가 폭행당하는데도 적극적으로 방어하지못하고 열중쉬어 자세로 죄송하다고 사과만하던 박용관씨가 그렇게 사과하는데도 무자비하게 폭행한 가해자의 주먹에 무방비상태로 맞아 기절하면서 보도블럭에 머리를 심하게 다쳐 결국 지난 1월 21일뇌사판정을 받았고 고 박용관 군은 심장, 폐, 간, 췌장, 신장(좌·우) 6개의 장기를 다섯 사람에게 나눠주고세상을 떠났습니다.가해자는 기절한 우리 형을 보고 군인이라서 신고 못한다는 말도 안 되는 말을 남기고 도주했습니다. 가해자는 심신미약,초범등으로 길어봤자 2년을 구형받는다고합니다.청원한번씩만 부탁드립니다.', '3소대 까만언니 누구세요? 여태 어디에 짱박혀있었니~', '우지영 개웃곀ㅋㅋㅋㅋㅋㅋㅋ꼬부기덕에 이미지 와장창 깨지네 ㅋㅋㅋ내가 다 안쓰러워 어떡함', '검열때 희린이 때문에 족칠 거 같음 한 번 중대 뒤집어 엎어진다는 떡밥아님? 저걸 괜히 내놓았을까? ㅋㅋㅋㅋㅋㅋ 갠적인 의견임', '뭐야..저 3소대 신병교양하는 땋은머리 태닝언니..완전멋져♡♡개 섹시하다', '3소대나 2소대는 몇몇 캐릭터들 위주로만 돌려서 그런지 몇년을 연재하는데 처음보는 상경도 나오는군요', '제발 다음 200화 특집이라고 외전같은갓만 안올렸으면 좋겠다', '류다희 진짜 이쁘다...', '이거보니깐 생각났는데수아 말년 광우병ㅋㅋ', '검열은 싸울 준비가 되어 있는가에 대한 평가 입니다.보통 장비 지휘검열, 군 보안감사, 전군 재물조사, 전투지휘검열등이 주를 이루는데 예를 들어 포크레인, 페이로다, 도져, 기타 일반차량등 많은 장비가 있는데 장비지휘검열은 그런 장비들이 제대로 움직이고 완벽한 상태로 관리되고 있는지 여부에 대해 검열을 하는 것입니다. 게다가 만약 장비 지휘검열을 하기위해서는 차량이든지 장비이든지를 떠나서 거의 볼트하나 너트하나까지 분해해서 녹슨부분을 제거하고 페인트칠하고 기름칠등을 합니다. 엄청나게 힘들죠. 거의 죽음 일보직전까지 가죠. 게다가 지금처럼 날도 더운데 그런것까지 겹쳤다면 죽을 맛이죠. 이때 병장은 병장대로 이등병은 이등병대로 바쁩니다.군대에서 검열은 무조건 힘들고 바쁘다고 보시면 됩니다.', '웅란이 어디갔음 가출했음?', '2소재의 이종혜가 소대 수인이 되었군요. 공승화로 부터 넘겨 받았다는 언급은 없었는데... 아마 2소대라서 묻혔을 가능성이 높아요.'"
