참여자수,댓글수,댓글
8567,224,"'블루깐띠네 뭔가 파랑새 뜻 같이 생겼다....', '깐띠네는 검색해보니까 그냥 식당이라는 뜻이던데 블루가 굳이 앞에 붙은거 보면 작가님이 파랑새랑 연결된다는 복선 깔아놓으신거 맞는듯.', '이제 믿을건 박기자밖에 없다..', '셰프는 그냥 이제 더이상 못믿겠음... 아니라고 해도 그냥 범인 셰프같음', '개한테 물렸어. 개도 얼굴 보는구나. ... 대화가 왜이래ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ', '박기자가 믿을만한 패가 될 줄 누가 알았겠어.......', '로맨스라더니 스릴러였네.....', '초창기부터 꾸준히 결제하면서 보고있는데 스토커 사건이중심으로 오면서 전개가 너무 늘어지는거같아요. 셰프 수상하다 수상하다가 50화 넘게 반복되는데 진전되는게 너무 더딘 느낌 ㅜㅜ', '쎄한건 항상 그랬고... 그냥 이유가 너무 궁금하다', '본격적으로 파랑새 이야기와 셰프의 흑막이 밝혀지는 것같아 흥미진진하다.. 아 이런 건 몰아서 봐야하는데ㅠㅠ', '유일이 글 안쓰나요..? 전 유일이가 꿋꿋하게 자기 일을 해나가려는 모습이 좋아서 보고 있었는데,, 스토커 중점 웹툰이 되는거 같은 느낌이 드네요..ㅠ 저만 그렇게 느꼈다면 죄송하고요..', '와 진짜 나같으면 소름 쫙 돋고 멘붕되서 암것도 못할것 같음 무이야 잘햇서 ㅜㅜㅜ 화이팅 ㅜㅜㅜㅜ', '쉐프가 유독 음식을 내놓을때마다 사람들의 반응을 살폈었고 다들 맛있다며 먹지만 음식은 그대로였음. 쉐프말에 “라따뚜이” 라는 자신의 아픔을 말했을때 아마도 과거에 남주가 슬럼프일때 쉐프의 라따뚜이를 먹고 나쁜 말을 했었던것을 이유로 복수하고자 과거일을 연관지어 파랑새와 결탁한것이 아닐까요? 그리고 은재은형 가족도 남주때문에 형이 어린아이처럼 변한것 같던데. 목적이 같은 쉐프랑 은재가 일을 도모한것 같아요', '그래서 유일이는 언제 글을 쓰나요', '내용이 이해가 안됨'"
13807,365,"'당연히 탁무이 친엄마가 아니고 납치했던 그 여자겠지...... 설마...', '머선129..', '탁무이 엄마라는 사람 나오기만 해봐.. 진짜 뚝배기 날린다', '류민이 첫사랑 다홍이였어?!????🤭', '친엄마가 아니라 탁무이 납치해서 지가 엄마라고 착각하는 그 정신병자일듯', '다홍이는 류민 첫사랑일수가 없어요 ㅋㅋ;; 지금 나온 스토리전개상 그럴수가 없는디.. 류민이 유일이한테 끌리는게 첫사랑때문이라고 하는데 그 첫사랑이 다홍이면 당사자인 다홍이한테 저런 이야길 할 필요가 없죠. 뭐 지금 상황보면 둘이 잘 될거 같고 저도 지지하는 서브커플인데 다홍이가 류민 첫사랑이라고 생각하시는분들 많은거 같아서 적어봄', '뭔데뭔데 무이 건들지마라ㅜㅜㅜㅜㅜㅜ', '기자 그래도 입 안털었네 ㅠㅠㅠㅠ', '헐 엄마래 그 납치했던 년이다 걔가 지가 엄마라고 그랬잖아! 엄마라는 단어 더럽히지마 ㅠㅠ', '? 근데 진짜 와중 기렉 파랑새가 무이 여자랑 같이 안갔냐고 물었는데 혼자 들어갔다고 거짓말해줬네? 지가 따로 특종 잡아 기자 쓸려고 그런건가', '얘들아 저 기자 욕하지말자언젠가 저 기자가 좋은쪽으로 큰일하나 할것같다', '셰프님..음식 무슨짓했어요?? 우리 무이 왜이래요?', '다홍이 질투하는 거 귀여워ㅋㅋㅋㅋㅋㅋㅋㅋ 결국엔 류민이랑 다홍이 둘이 잘 될 거 같다😏', '잠깐만 화장실 거울쪽에 저 그림자 뭐야...쎄하게ㅠㅠㅠ', '다홍이랑 유일이 닮았다는게 나옴?? 걍 상황이 데자뷰라는거지 둘이 닮았다는 말은 아닌거같은데'"
15290,383,"'와 아니 어떤 의미로는 진짜 독하다 무이 납치에 무이 스토커에 무이 옛 담당의사분 집도 터냐...ㄷㄷ 소름이다 진짜..', '영수는 아무 잘못 없는 듯 저번화에 영수랑 무이 옆으로 지나가던 여자스텝? 뭔가 걸리는데 나는', '그래서 우리 다홍이가 류민이 좋아하는거 맞죠? 아 귀엽다', '장례식에 쓰이는 국화에 뒤에 유골함..그 사건으로 누군가 죽은걸까요', '영수 흑막 아닌 거 같은데 ㅠㅠ 무이 할머니랑도 서로 신뢰가 있으니까 지금까지 지내온 거 아닌가', '이정도면 고백아님? 언제 사귀냥...', '근데 납치했던 사람 알고보니 엄마 아님..?', '유골함 장면은 아빠보러 간댔으니까 아버지 납골당 간거아닐까요???', '헐 마지막 유골함 피규어 옆에 놓인 초콜릿이랑 클래퍼보드 미니어처 전부 이전에 무이한테 몰래 줬던 거잖아초콜릿은 유일이가 촬영 현장에서 응원메세지 적었던 거 옆에, 클래퍼보드는 무이 주머니에 넣어뒀던 거', '다홍이랑 류민이 진짜 개겹다,, 둘이 잘 됐으면', '저 인형 몰카 있는 건 아니겠지 괜히 의심되네,,', '유골함 무이 아버지 같아요! 흰색 머리분은 여사님 같구용', '저 미니어처 납치당하던 날 입은 의상 그대로네요', '율무쪽은 쌍방호감이라 어떻게 이뤄질지 대충 예상이 가는데 민이랑 다홍이는 현재 일방향이라서 이뤄지면 어떤 전개를 거칠지 예상이 안됨. 그래서 더 흥미진진한거 같음 ㅋㅋ 곧 있음 둘이 데이트할거 생각하니 벌써부터 설렌다 다홍이 화이팅 ㅠ', '피규어 저거 납치될당시 모습이자넏ㄷㄷㄷㄷㄷㄷ'"
17839,616,"'초콜릿 유일이가 넣은거 아닐 것 같음..', '오오 내가 보았어 . 파랑새 문신.', '?? : 유명 연예인 2명이 나 좋아한 썰 푼다', '촬영장까지 쉽게 드나들정도면 그동안 얼마나가까이 붙어있던거야 소름...', '재희 배우 그만둔거 뭔가 숨겨진 사연이 있는줄 알았는데ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ', ""'배우님들 동선체크 할게요' 스텝이랑 스토커랑 착장이 똑같아 ㄷㄷ"", '진짜 소름돋네.. 무이야 제발 그 초코 먹지마..', '재희 ㅋㅋㅋㅋㅋ 과거에 연예인이고 현재는 의사여서 완벽남일줄알았는데 연기를 못한다니 ㅋㅋㅋㅋㅋ 역시 빈틈은 있었어😏😏', '다홍인 보면 볼수록 대단하네 자기가 좋아하는 사람이 다른 사람 좋아하는데 시기하지도 않고 밀어준다고 까지해 넘 착하고 진짜 많이 좋아하나보다 내 행복보다 내가 좋아하는 사람이 행복해지는걸 선택하는걸 보면', '파랑새가 왤캐많어', '류민아....진짜 미안한데...난 다홍류민 존버탄다', '아 저 트x터 새x는 뭐야', '다홍이 보고 있으면 뭔가 내유외강형 캐릭터 같음. 겉은 항상 당당하고 밝은데 속은 여린? 가족사 때문에 자기는 잘못한거도 없는데 맨날 욕먹고 그거때매 좋아하는 사람 생겨도 그 사람이 다칠까봐 제대로 표현 한번 못하고 가만보면 짠함 ㅠ 유일이가 무이한테 힘이 되준거처럼 다홍이도 누가 곁에서 힘이 되줄 사람이 있었으면 좋겠네요 그게 민이면 제일 좋고 ㅎ 지금보니 가능성도 높아보이긴 한다만 가시밭길 예상되서 벌써부터 걱정..', '초콜릿...유일씨가 넣은거 맞아??', '제발 스토리진행 속도에 고나리하지마,,'"
23115,1226,"'정말 세계 최고의 판타지다', '마지막 뭔뎈ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 또 임시역으로 들어간거냐고', '작가님 저희는 현실성 일도없고 씹판타지라도 괜찮으니 현실개나주고 판타지 계속 해주세여', '율무로맨스가 유독 설레는 이유는 판타지스럽긴 해도 저런 상황이 이론상으로 아주 불가능한건 아니기 때문에 감정이입이 잘되서 그런게 아닐까 싶네요 ㅎ', '검은머리에 머리카락이 길어서 순간 무이를 스토커한 그 여자 나오는줄 알았다..', 'ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 이와중에 이쁘다 저러다 배우 데뷔하는거 아님', '작가되시기전에 배우 되시겠는데 몇번째 임시야 ㅋㅋㅋ', '무이 헷갈리지 않게 확신을 주네..저런 남자를 만나야해나에게 직진하고 확신을 주고 믿음을 주는..', '드라마화 말고 애니화요ㅠㅠㅠㅠㅠㅠㅠ안 도ㅑㅠㅠㅠㅠㅠㅠ내 맘속 탁무이와 공유일은 어떤 실존인물과도 적합하지 않아ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ', '평점 10점을 본 최고의 순간이야 다들 못봤죠? 에베베베베벱', '유일이 진짜 쓰러진 줄 ㅋㅋㅋㅋㅋㅋㅋㅋ하긴 저 대사에 심장 안 떨리고 어떻게 버텨 상대가 탁무이인데 ㅋㅋㅋ', '그래서 결혼식 날짜가 언제라구요?', '쿠카가 아깝지가 않아.. 이집 쿠키는 프리미엄일세', '하..이 웹툰만 보면 너무 행복해 주글거가타...', '╭┈┈┈╯\u2001 ╰┈┈┈╮\u2001╰┳┳╯\u2001\u2001 ╰┳┳╯\u2001유\u2001\u2001\u3000\u2001\u2001\u2001\u2001\u3000\u3000 행\u2001일\u2001\u2001\u2001\u2001\u2001\u2001\u3000\u3000 복\u2001\u2001\u2001 ╰┈┈╯\u2001무 ╭━━━━━╮\u3000 하\u2001 \u2001 ┈┈┈┈ \u3000이\u2001\u2001\u2001\u2001\u2001\u3000\u3000\u2001 자'"
20065,915,"'셰프 말하는 투가 꼭 가스라이팅이네;;', '셰프 화법 진짜 가스라이팅인게너는 이러이러해서 지금 상황이 안좋은데 내 옆에 있음 좋아질거야하면서 유일이 후려침 ㅡㅡ', '셰프 진짜 싸하고 너무 궁금함... 대체 목적이 뭔지...', '무이가 너무 커서 셰프 존재 까먹었었음ㅋㅌㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋ', '셰프...어쨌든 좋은 사람은 아닌걸로 이제 결정남...은근한 가스라이팅에 쎄한 눈빛', '열애설 터졌다고 최애가 걱정해주는 삶이라니 ㅠㅠ', '셰프가 또다른 스토커 같은데(음식 배달하는)... 유일이가 탁무이랑 가까우니 유일이 이용해서 계속 탁무이랑 접점을 만들려는 거 같고유일이가 레스토랑 그만두면 탁무이랑 접점이 아예 없어지니까 계속 유일이를 곁에 두려는 듯;;; 초반에 보면 막 사람 시켜서 사진찍고 경비 매수하던데 그 스토커가 여자스토커 말고 셰프인 듯 아무래도 직업상 직접적으로 스토커짓하긴 힘들고 사람 부려서 스토커 짓하는 거 같애ㅠㅠ 유일이한테 집적거리면 무이가 계속 견제하니까 그렇게 관심도 얻고 계속 근처에 있을 수 있지', '셰프 눈이 여자스토커랑 너무 비슷한데.. 쎄하다. 예전부터 맘에 안들었는데 오늘 가스라이팅 오지네요.', '다홍이랑 류민이 넘 좋...', '가스라이팅은 일종의 세뇌입니다. 상대에게 반복적으로 지적하고나 실수를 과대해석하여서 듣는 사람에게 “진짜 내가 그런건가?” 하면서 생각에 대한 자신감을 잃고 자신이 속고 가해자에게 점점 의지하게 되는 현상입니다. 노예화라고도 합니다', '유일이 친구 하는이야기 약간 독자 입장에서 보면 막 친구한테 저렇게까지 말해도 되나 싶기도 한데, 뭔가 나 같아도 내 친구가 연예인이랑 연락주고 받으면서 지낸다고 치면 김칫국 마시지 말라고 할거같긴 해... 연예인이야 주변에 사람이 엄청 많고 그만큼 주변에 많은 호의를 베풀텐데 내 친구도 그런사람1 이겠지 정도의 생각을 하게될거같고, 친구가 그런 사람한테 연애감정을 느낀다? 그러면 나는 약간 친구가 연예인이 아니고 조건이 좋지않아서 어림도 없으니 오해말았으면 한다 라는 느낌보다는, 친구가 상처받을게 너무 걱정되는 마음에 저렇게 말 할 수 있다고 생각한달까...하는....', '가스라이팅이란 ""타인의 심리나 상황을 교묘하게 조작해 그 사람이 스스로 의심하게 만듦으로써 타인에 대한 지배력을 강화하는 행위"" 라네요', '전에 촬영장에서도 다이어트 식단 맞춰준다 했었고, 유일이 엄마가 아픈척 했던 그 에피소드 전에 무이가 잘 안먹으니까 한번 보고 입맛에 맞춰준다 뭐다 얘기 했었음. 그리고 요번 알바건. 전부터 밑밥 깔아놓기는 했음. 비약일 수도 있는데, 알바가 있었다면 당연히 셰프가 알바공고를 했을테고, 정당한 방법으로 들어왔을테니 밥차때 셰프가 유일이보고 갈거냐고 질문했을 때도 직원들이 쑥덕 거릴일이 없을거임. 보통은 알바니까 같이 가는거라 생각하겠지. 근데 그 회차 보면 직원들이 쑥덕거리는 묘사가 나옴. 무이가 화장실에서 직원들이 셰프랑 유일이 엮는 얘기듣고 질투했던 촬영장 에피소드 있잖음? 알바가 구지 필요없는데도 데려왔으니 의아했을 테니까 유일이가 셰프 애인일지도 모른다고 착각할만 함. 이렇게 생각하면 아귀가 어느정도 들어맞음. 결정적으로 지금 유일이랑 무이 스캔들 터졌는데, 정직원으로 승격시켜준다? 타이밍 너무 절묘하지 않음? 만약 스토커가 아니라고 해도 수상한 인간인건 확실함. 너무 쎄함.', '셰프는 다이아수저라고 했고, 송윤오는 이전화에서 어머니 나왔었음.. 눈이 비슷하지만 둘이 혈연관계는 아닌듯', '가스라이팅이 도대체 뭐에요??'"
23403,773,"'스토커 진짜 빠르게 잡혔으면 좋겠다....', 'ㅁㅊ;;;;; 병원까지 쫓아온거임? 진짜 개소름이다', '저정도면 진짜 없던 정신병도 생기겠다...안전하다 생각한 내공간,내집까지 들어온건데...', '우리 무이 손 어떡해......... 손 빨개지는 그 순간부터 설마 피나는거 안겠지 했는데 설마가 사람 잡는다고...피를 보고........', '작가밈... 진짜 욕심 안부리고 15화 정도 연재하시면 100화인데... 100화까지 미리보기 주시면 안될까요... 스토커 빨리 잡히는 것도 보고 싶고(제가 이러다 진짜 화면 뚫고 들어가서 경찰서 데려갈 것 같아요..), 유일무이 본격 연애루트 타는 장면들고 너무 보고 싶어서 그래요...진짜 욕심 많이 안부릴게요... 흑흑..제발 15편만.......', '으...문틈으로 훔쳐보는거 뭐야...스토커 아니길...제발...스토커면 너무 호러잖아...아니 스토커 자체가 호러이긴 하지...아악...무서워요 작가님ㅠㅠ작가님 스토커 사이다 처벌로 부탁드려요!!!!!', '월요일은 유일무이 로맨스 보는 낙으로 살아요그런의미로 다음주는 사이다 기대해봅니다', '코난인줄 ㅜㅜ 너무 무서워여ㅠㅠㅠ', '아니 15편 미리보기는 욕심 맞잖아욬ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ', '이 사람아 100화까지 25편이얔ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ', '이제 스토커 잡자!! 잡고 둘이 결혼하자!!', '팬인데 왜 음료수에 약을 타서 줄까.. 내가 좋아하는 연예인이 아플텐데 하는 생각을 하다가 문득 든 생각이 내가 준 음료수를 먹었나 안 먹었나 확인해보기 위해서라면.... 병원갔다고 기사 나잖아요... 이게 진짜라면 개소름돋는다 ㄷㄷ'"
24004,2128,"'저만 유일이 밥값걱정되나요??ㅠㅠㅠ유일이 생활비이이이이이내가 자취생이라 그런갘ㅋㅋㅋㅋㅋ이런거에 공감좀 하지마 나란인간아', '류민아... 유일이 40만원주라...', '응. 그 용기. 꺼내는거 아니다. 다시집어넣어!', '근데 유일이 밥값은 어떡해요ㅠ?', '귀엽고 스윗한 류민아 유일이 밥값 꼭 줘.. 유일이 그걸로 노트북 살라고했단 말이야ㅜㅜㅜ내가 널 애정하는데 내 마음이 변치않게 유일이 돈줘..유일이가 최고야...근데 류민도 최고야...무이도 최고', '아무래도 스토커 생긴게 빼박 셰프 동생일듯', '솔직히 유일이 설정 연예인 뺨때리는 미녀죠??? 매운거 먹고 노란 고무줄로 머리묶는데 저런 비주얼이 어케 나와요 ㅠㅠㅠㅠㅠㅠㅠ', '남자들이 여자들 머리묶을때 이쁘다고 느낀다는 걸 이해 못했는데 유일이 보고 깨닫습니다,,', '사실 40만원 생각하면서 누르고 들어왔는데,증발해버려서....내가 더 안절부절ㅠㅠ유일이 돈ㅠㅠㅠㅠㅠㅠㅠㅠ', '난..사십만원내고 좋아하는아이돌이랑밥먹을래..', '42만원 짜증나서 결제한사람..?', '보는내내 40만원 생각만했네..밥먹고 꼭 40만원 진짜 주면좋겠다ㅠㅠ', '공모전 힘내라고 노트북 사줬으면 조켓다… 원래 호감가는 사람이 뭐 한다고 하면 응원하고 필요한거 다 해주고픈 마음이니까 류민이가 하나 사주면 조켓다ㅠㅠ 엉어유ㅠㅠ', '용기내서 경찰서로 갔으면 좋겠다', '무이 스토커 셰프 아닌거 밝혀졌는데 왜 아무 말도 안해..'"
25170,911,"'근데 생각해보니 예전에 스토커 이것저것 먹을꺼 많이 갖다주지않았나..?? 진짜 셰프가 스토커일수도..', '아무리 생각해도 스토커는 셰프다', '아무래도 셰프님.. 관련있는듯 이렇게 해서라도 무이 음식 먹일려고 지한채 밥차 준비하는척 하면서 디저트까지 직접...?', '이 웹툰이 판타지 인 이유는 우리는 절대 이런일이 일어나지 않기 때문임', '저 상상 남자 턱선이 탁무인데 !?', '셰프가 스토커인 것 같.... 근데 우리 유일이랑 무무는 언제 연애할거야?', '당연히 판타지죠...최애랑..탑스타랑... 인기셰프까지 친해지는 상황이 판타지자나요ㅠㅠㅠㅜㅜㅜ', '유일이 sorry 쓴거 넘 기욥땅ㅠㅠㅠㅠㅠㅜㅠ나같아도 화가 사르륵 풀릴듯', '판타지인 이유는 유일이처럼 최애가 밥먹자고 하는게 판타지니까여...', '알고보니 스토커가 아니라 먹는 모습을 엄청 좋아해서 보고싶었던 세프였음...해..ㅜ그래서 자꾸 먹을걸 가져다주는 거징..ㅜ', '하 너무 판타지 같아서 그런가 이거 다 유일이 팬픽 내용이고 그런거 아니죠 작가님..?', '진짜 스토커가 셰프인가?? 저번화에서 형이 신기하다고 한거는 동성애자여서가 아니라 더 멋있는 여자를 만날 줄 알았는데 이런 여자를..?신기하네..의 의미로 유일이 비꼰거같았고.. 셰프가 동성애자인거 알았으면 자기 여동생 소개시켜줄일도 없지않나?? 하지만 쎄하긴하고..ㅋㅋ', '왜 아무도 만우절 이야기가 없어?! 표지 개이쁨', '만우절 썸네일ㅋㅋㅋㅋ 눈을의심했네', '임현서씨 무슨 탁무이랑 가깝게지내는거보고 남친있냐고물어봐요 쉐프랑가깝게지내는거 보고 물어본거죠'"
27261,1135,"'작가님 유일이 행복하게 해주세요 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ', '친구들 오지랖 이해는 가지만 상처에 기름붓는꼴이다저맘 백퍼 이해됨 다들 앞서나가는데 나만 정체되어있는느낌.. 취준생들 힘냅시다ㅠㅠ', '뮤지컬하는친구는 학원비도 용돈도 다 부모님이 대주는 상황이니 생계걱정없이 편하게 뮤지컬에만 전념하면되지만, 유일이는 옥탑방에서 혼자 자취하면서 편의점 알바로 자기 생활비대고 학원비대고 가족들 챙기고 분식하나 사먹는것도 고민해야할만큼 어려운상황에서 취준중이었으니 친구들이 응원보다는 염려가 앞서는것같네요... 유일이 상황이 너무 안타까움ㅠㅠ', '근데 팥없는건 진짜 에반데 아무도 말을안하네', '저도 고3때 제가 가고싶던 심리학과 못가게 한 담임때문에 인생에 한만 남고 아무것도 얻은게 없어요 다른애들은 자기 가고싶은 과 다 써줬으면서 저한텐 취업안되는거 왜가냐고 윽박지르고...그ㅅㄲ 보기싫어서 졸업식도 안갔습니다. 대학 적응못해서 관두고 방황하고 20대를 가지가지 고통으로 괴로워하며 다 날리고 이제 27인 지금 공무원 발령대기중인데 솔직히 이렇게 될줄 알았으면 그냥 나 하고픈대로 할걸 후회만 하며 젊은 날들을 불행하게만 사네요 시험붙었어도 전혀 행복하지도 않고 내 인생인데 왜 내가 원하는거 한번 제대로 못해보고 내 뜻대로 살아보지도 못한 채 남들보다 밑바닥만 빌빌 기며 지옥에서 못 벗어나는지... 모든걸 원망하게 됩니다 전 그냥 내가 하고싶은 공부 배우며 내가 치유되길 바랐고, 그래서 행복하고 날 위해 하루하루 살아가는 20대가 되길 바랐을 뿐인데..하나하나 접히기만 하더니 무기력해져서 모든걸 놓게 되고. 어차피 난 팔자가 더러워서 박복하기만 한데. 지치네요 모든 게 다', '가끔 보면 예체능 관련한 꿈은 다른 것보다 엄청 대단하게 보면서 유일이처럼 글 쓰는 것 처럼 어문계열 꿈은 우선순위에서 밀리는 것 같음이과생으로 살면서 주변 사람들한테 어문계열 무시하는 발언 수없이 많이 듣는데, 그 사람들도 나름의 꿈이 있는건데 왜 아무 도움도 안 줄 사람들이 오지랖들인지... 이과한테 까이고 예체능한테 까이고 상경한테 까이고... 그럼에도 창작을 해내는 사람들 리스펙입니다 🤗', '그와중에 할머니 꼬깃꼬깃 돈꺼내는거 너무 마음 찡하다ㅠㅠ 강아지 아끼는게 느껴져ㅠㅠ그걸보고 돈내준 유일이도 참착하다ㅜㅜ', '글 쓰는 게 뭐가 어땠다고 저딴 반응이 나오지? 꿈이 있고 그 꿈을 이루겠다는데 응원이라도 못 할 망정', '유일이가 친구들한테 톡보내는 컷이 폰 액정나간거랑 겹쳐서 더 씁쓸하게 느껴졌어요.. 연출이 너무 마음아파서 한참 쳐다보게 되더라구요 ㅠㅠ 괜찮다고하는데 슬픈게 나타나는거같아서 ㅠㅠㅠㅠ', '저 할머님 언젠가 다시 나오셔서 도와주실듯', '붕어빵에 팥이 없다니... 끔찍하군요...마치 너구리 뜯었는데 스프없고 다시마 2개나온 느낌이랄까..?', '열심히하고 있는데ㅠㅠ 나도 불안해 죽겠는데 꼭 주위에서 나를 가만두질 않더라ㅋㅋ 이제 좀 안정되려고 하면 또 저런일 한번씩 터지고... 응원도 아니고 저런 말 왜하는지 모르겠다 정말ㅠㅠ 자기들 일 아니라고... 유일이 같은 상황에 있으신 분들 힘내셈 진짜..... 열심히하는 것보다 주위에서 저런일로 스트레스 받는거 극복하는게 더 힘들거임...', '마지막베댓 이해 안되네요 ㅜ 친구가 어떤결정을 한다했을때 그결정이 결코 쉽지않은 결정일텐데 무작정 염려,걱정이라치고 저런식으로 얘기하기보다는 친구의 의견을 잘들어보고 그후에 걱정해도 늦지않아요 . 저런식의 말은 오히려 결정을 한 친구를 흔들리게할뿐이라고요 내인생 대신살아줄것도아니고 옆에서 믿어주는거면 된다고봅니다 . 잘안되더라도 다시 일어날수있게 도와줘야하고요 .', '중3이 되는 학생인데... 어른이 빨리 되고 싶어했는데... 어른이면 뭐든 다 할수 있다 생각했는데 제가 잘못된 생각을 가지고 있었네요.. 물론 주위 사람들을 보면서도 느끼지만 이렇게 웹툰을 통해 유일이 언니 삶을 보며... 어른도 힘들 때가 많다는 점... 진짜 웹툰을 보면서 더욱 배워갑니다...', '친구가 걱정,염려되는건 알겠는데 상황은 본인이 더 잘알지 저럴때 응원해주는 사람이 진짜친구다'"
