참여자수,댓글수,댓글
6939,1232,"'작가님 2기 진지하다면서요 어그로였어요? ㅡㅡ', 'n만년 만에 맛보는 미애맛 개그.. 그리웠읍니다', '킬링파트1.치유의♡채찍2.킹스타펠♡하트머리3.센 선생님의 어색한 인사+한나 유쾌하면서 무서움', '이젠 제니퍼까지 ㅋㅋㅋㅋㅋㅋㅋ 센의 기계팔다리는 진짜 정식 명칭이 zi존팔다리야? 지존 아니고 ㅈi존 아니고 꼭 zi존 팔다리라고 하는 것도 웃김', '내가 보기엔크리스가 제일 위험해', '엘사아버지 존잘이네 절대 킹이랑 만나지못하게 막아야겠다...', '헨리 나이: 42엘사(18) 또래로 보이는 데릭 나이: 36ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ', '크리스 채찍 쓰는 거 얼마나 웃길 지 기대되네 ㅋㅋㅋㅋ', '하긴 1년동안이나 잠수탔는데 저건 맞아도 할말없짘ㅋㅋㅋ', '아니 근데 채찍 ㄹㅇ 저렇게 쓰는거잖아ㅋㅋ 개웃기네', '채찍 쓰는 힐러라니 상상도 못한 조합인데 은근 잘어울려서 놀람', '제니퍼 얘도 정상인은 아니라니까ㅋㅋㅋㅋㅋ 진짜 표정 변화 없이 진지한 표정으로 Zl존센팔 ZI존센다맄ㅋㅋ 진짜 미치겠다ㅋㅋㅋ 그래 그게 이언니 매력이짘ㅋㅋ', '아닠ㅋㅋㅋㅋ데릭 진짜 동안이다 엘사아버지가 엘사 또래처럼 보인다고 하셨는데 ㅋㅋㅋㅋㅋㅋ결론은 비비빅요정 데릭언니 사랑해요', ""엘사 지키기위해 싸운다는 목표가 생긴건 좋은데 '하고싶은게' 아니라 '해야만한다'..남을 위해 너가 희생할려고 하진 마ㅠㅜㅜㅠㅜ엘사ㅠㅜㅜㅜㅠ행복하자 증말ㅜㅜㅠㅠ"", '쎈: 나 없이 심삼해서 어떻ㅎㅁ무야홐!!!!!'"
8237,971,"'파랑머리는 한것도 없으면서 왜 화를내냐', '마사 너는 이갈면 안돼지...엘사를 무기라고 생각하지 말아줘', '슬라임 ㅋㅋㅋㅋㅋ이름 대충 지은 거 같으면서도 잘 지었네 ㅋㅋㅋㅋㅋㅋㅋ', '계속 생각했지만 어디 추기경들과는 다르게 참.. 못생겼다.', '저 기린은 고등학생을 얼마나 부려먹으려고...엘사 아직 고딩이라고... 고맙다고해도 모자라는데 화를내니...', '센의 빈자리가 너무 크게 느껴짐. 1부에서 엘사가 얼마나 센한테 의지하고 위로받았는지 생각해보면 지금의 엘사가 너무 힘들어보이는게 눈에 보여서 속상함', '완벽 (完璧)1.흠이 없는 구슬이라는 뜻으로, 결함이 없이 완전함을 이르는 말이다.2.엘사 브라인언트(18)(가명:도리 토스)', '교황이 편법이라 한 이유가 진짜 감정조절 못 하게 돼서 자신을 잃게 되네..엘사 ㅠㅠ 각성제 먹지말고 중량 늘리자', '엘사의 우당탕탕 테러일기 아니었냐구요.. 스토리 마라맛 됨억장와르르후드', '엘사 왜 아직도 이 빌어먹을 세상은 내가없으면 안되는건데 하는거 진짜 슬프네...... 줄곧 지극히 개인적인 이유로 싸운다고는 했지만 결국 세상을 위해서 희생하고있다는게', '제니퍼언니가 빈디카리 짱먹자... 보니까 나머지는 거의 다 노답인듯...킹-일단 보스로서 자질 x마사-얜 말이 필요없음', '자신도 힘을 주체 못하니까 차라리 아군을 다치지 않게 하려고 빨리 가버리는 거 아냐???? 아', '마사 루오타가 중간에 엘사 도망가는 줄 알고 이 아득바득 갈은 건 가치관이 잘못 잡힌 게 맞긴 한데 엘사 싸우는 중간에 보고 있는 표정 보면 충격 많이 먹은 것 같아.. 저렇게까지 한다고..? 이러면서 엄청 놀라는 표정이잖아 심지어 엘사가 아닌 다른 무언가가 있다는 것도 느꼈고 들었을 텐데 뭔가 이번을 기회삼아 태도가 쬐끔은 바뀌지 않을까?', '엘사 냉정해지고 강해졌네요. 앞으로 더 강해질텐데 그럼 호각으로 싸울 적도 생길건데.. 스케일이 점점 더 커질 것 같네요. 그리고 신캐 잘생겼네요. 센 보고싶다. 언젠가 저 슬라임들도 제어할 날이 오겠죠? 그럼 넘사벽으로 강해지겠네요. 아 센 사랑해', '엘사가 처음에는 개인적으로 테러를 한다 이기적이다 라고 하기는 하지만 지금은 자꾸 희생을 하고 있고 늘 자신의 잘못에 대해 회의적인 모습이 자꾸 희생했다던 레나가 생각난다 니들 아주 똑닮았네 샹 이기적이기는 개뿔 그렇게 말하는 놈들이 제일 이타적이야'"
9127,1017,"'책넘기는 소리 50데시벨ㅋㅋㅋㅋㅋㅋㅋㅋㅋ백화점 정도 소음이래 미친거 아냨ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ', '약간 1부랑 2부 느낌이1부는 진짜 개그랑 시리어스 섞은 느낌인데2부는 상큼하게 광기도 섞은것같음올리비아의 광기를 잇는 그들....', '빨리 보고 싶은 장면들1. 센이 네임드와 숨쉬고 있는 확실한 장면2. 저거 다 부숴버린 사람이 어글리후드라는 걸 알게되는 장면3. 센 살아있다는 걸 알게 된 엘사 장면4. 졸라 센 어글리후드 마주치는 빈디카리', '와 근데 진짜 2부느낌 확달라짐ㅜㅜ 1부는 그래도 보면서 네임리스랑 애들이랑 다 한팀이고 안정적인 느낌도 났고 줄리아 네이슨 쉘비같은 애들이 작품의 무거움을 조금은 덜어줬는데 지금은 매순간 긴장되는 느낌임.. 쎄타시 애들이 진정으로 한 가족이었다면 얘네는 위태로우면서도 결속되어있다고하나...? 아무튼 나사 하나 빠진 느낌임ㅠ 베댓님 말대로 진짜 광기서린게 딱 맞는 말인듯...', '""짜장면도 찍먹할 ㅅㄲ"" ㅋㅋㅋㅋㅋ', '꼭 마지막에 저런남자가 꼭 1부에나왔던 광팬처럼 된다', '마지막에서 6번째 컷 책 위에 떠다니는거 글씨임? ㅋㅋㅋㅋㅋ 레이어 뜬건가?', '자꾸 도시라고 부르니까 작게 느껴지는데 세계관 규모가 보통이 아닌듯... 엘사가 쎄타시 조진게 영향력이 왜이렇게 큰지 좀 이상했는데 한 나라를 조졌는데.. 당연하지..', '태평하게 배달시켰던 이유 배달원이랑 인사 의심하라로 할 정도로 빈디카리가 자유로워서 그런거냐고ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ', '까르푸 어글리후드 사칭하면서 시민들 학살하고 깝치다가 결국 죽었네...역시 진짜 어글리후드한텐 쨉도 안되는구나....엘사는 세계관 최강자인건가..?그보다 얘네 너무 윾쾌한거 아냐?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ', '올리비아는 순한맛이었나....와 진짜 무섭다... 1부의 우리 네임드들은 무게잡다가도 뭔가 농담던질것같은데 2부에선 빈디카리들이 농담던지다가도 사람 썰어버릴것같음...와...', '제니퍼에게 센은 어떤 존재일까? 그 군더더기 없는 제니퍼가 센을 가리키면서 부연설명까지 하는 게, 특히 쉼표까지 나올 정도로 딱딱 끊어서 말했다는 부분이 진심으로.. 이후 연락두절이라는 건 제니퍼에게 타 빈디카리에서 오는 지원이고 뭐고 센이 더 중요했다는 거잖아. 사형식 이후 무슨 일이 있었길래 연락두절이 된걸까 진짜 궁금함. 작가님 네임드랑 센이 너무 보고싶어요..', '빈디카리들 도시이동 없었다고 엘사 아예 배제하는거 보면ㅋㅋㅋ 사실 엘사였다는거랑 엘사 개쎈거 알았을때 반응 보고싶네ㅋ', '네임드랑 센 폐관수련중인가 보네 나중에 엘사 멘탈털려서 위기상황일때 믓지게 등장할듯. 센 살아있는거보고 엘사 멘탈회복됐음 좋겠다... 지금의 엘사는 너무 위태로워보임....', '빈대가리 미쳤나 ㅋㅅㅋㄱㅋㄱㅌㄱㅋㄱㅋㄱㅋㄱㅋㄱ'"
11269,1405,"'뭐야 저 추기경 눈 너무초롱초롱하잖아...불길해...', '1. 엘사가 떠나는것은 센이 부탁했을듯 하다.2. 몇 주 전에 센을 살려준 사람이 그보다 더 현명한 방법이 있다고 한것으로 보아 센도 엘사와 같이 떠날것으로 보인다.3. 센을 살려준 사람은 신캐로 보인다. (엘사 아빠의 말투가 아님.)4. 교황은 예지력이 있는 듯 하다. (마야를 살려두면 좋은 일이 일어날 거야 라던지, 이렇게 야마누스만 따르는 것은 시대에 뒤쳐진다, 네임리스를 건드려서 좋을게 없다)5. 난 솔직히 엘사 반 담임의 정체가 궁금하다.(종교 교사인데 광신도가 왔을때 D급을 감싸준 이유, 그러고도 아직 안 짤리고 멀쩡히 살아있는 이유가 무엇인가...)6. 반 아이들이 대청소 영상에서 센이랑 비슷하다는걸 눈치 챘던것 같은데, 센이 떠나기 전에 애들하고 한번 마주칠때 어글리후즈가 물어볼듯 하다.7. 500자 망해라.', '미친 뭐야 베키 레너드 나올때 뒤에 린다있어요...', '센 한쪽 눈 ㅠㅠㅠ어뜨케눈은 뽑지 말지', '저도 벤자민 후원하고 싶은데 계좌좀 알려주세요', '시청자들 반응 개 리얼햌ㅋㅋㅋㅋㅋㅎㅋㅎㅎㅋㅎ 얼굴타령,,,', '여러분 그 전에.. 알파시 새 추기경 뒤에 린다가 있어요..', '아니 근데 저 실험장면은 누가 찍은 사진이야?? 왜 저런걸 저 위치에서 찍었던거야?', '근데 세라한테 서사 부여하는게 왜이리 불만인가요? 다른 만화처럼 불쌍하다고 무조껀 부둥부둥하는 전개도 아니고 불쌍한 사정은 그냥 애가 저렇게 된 사정으로만 작용하지 피해자들한테 감성팔이하면서 사과 못하겠다고 뻗대지도 않았는데요. 결국 악우 비슷한 관계로 남게된 엘사도 다른 피해자들도 사과 안받아줬고 세라 사정은 교회 관계자 빼면 아는 사람도 없죠. 엘사도 체스터의 말로 간접적으로만 짐작했지 직접적으로 아는 것도 없습니다. 다른 만화처럼 가해자에게도 사정이 있으니 피해자가 이해해주자는 전개로 가는 것도 아니고 이렇게 서사를 풀어주는건 인물에게 입체성을 부여해줘서 나쁠 것 없다고 보는데요.', '개웃기다 ㄹㅇ 청자들 얼굴보고 여론뒤집힘ㅠ', '네임리스 실험하면서 화상문신까지 새겼냐 진짜 미쳤나봐...', '엡실론시 빈디카리 리더...임팩트가 대단하다', '스토리,서사,세계관,캐릭터,작화모든 게 완벽하다 진짜...', '알파시 새 추기경뒤에 엘사 친구인가? ㄹㅇ이면 사제 어케갔냐', '제이가 저번에 꽃 들고 레나 추모하러 왔다가 레나 남편인 헨리가 있는 거 보고 그냥 갔는데이번화에 제이가 제대로 레나 추모하면서 레나가 희생한 것에 대해서 씁쓸하게 생각하는 걸 보니 제이도 레나 덕에 탈옥해서 지금까지도 은혜를 잊지 않은 것 같네여'"
12505,1366,"'먹었다간 체하게 생겨갖고 뭘 먹어', '이게 파일 절반이 날아간 양이라고...? 대단하신데요 전혀 분량 적은거 못느낌', '윈도우10 업데이트 vs 야마누스누가 더 사악한가.. 작가님 고생하셨습니다', '새로 나온 빈디카리 멤버 해커인거 되게 좋다. 네임드랑 합류하면 기공과 의대 컴공과 다 모인거잖아 대박이다', '역시 엘사의 유일한 친구답게 말빨이 끝내주네', '야성단ㅋㅋㅋㅋㅋㅋㅋㅋㄱ솔직히 작가님 대사쓰면서 엄청 웃으셨죠 다 알아요', '에리얼 제외 파랑이 금지.... 당신 램프로 돌아가....', '저거 신캐가 줬다는 동영상 아마 대청소 때 찍은거 아닐까?', '네이슨은 덕질만 했을뿐인데 갑자기 혁명단이 되어버림ㅋㅋㅋㅋㅋㅋㅋㅋㅋ', '오늘 줄리아 말하는거 보니까 작가님이 인물배치에 신경쓰신 정도가 장난이 아닌 것 같다. 엘사에게 완력이 있다면 줄리아에겐 빼어난 언변 비상한 머리가 있는 식이라고 해야하나? 다혈질에 의외로 뒤끝 길고 솔플성향 강한 센 주변엔 이성적이고 논리적이면서도 타인을 포용하는 이상적인 리더인 제니퍼가 있고. 트라우마 심한 크리스 옆에는 벤자민이, 외로움을 심하게 느끼는 피콕 곁에는 멘탈 강하고 털털한 로비가 있는 거 새삼 너무 좋은 조합이라는 생각이 든다. 주인공조 중에서도 2명씩 조합이 딱 서로에게 없는 걸 채워주는 느낌임. 새로운 빈디카리 멤버는 어떤 포지션 될지 엄청 궁금하다', '옳은 말을 하는데에도 힘이 필요하다<<아이고....', '에어컨 온도도절 손톱 쭉 짜서 조절하는게 더 나을텐데 굳이 죽이냐ㅋㅋㅋㅋㅋ손에 피묻게', '엘사 정신세계?에 있던 알록달록한 애들 중 하나인거 같은데 정체가 무지 궁금.. 성수먹고 육체뺏긴 사람들 영혼인지 뭔지 떡밥 너무많아요 작가님', '절반이 날아갔는데 이정도의 분량이라면....원래 분량이 더 있었다는거네 작가도 울고 독자도 울었다...', '파이시 추기경님도 그러더니... 파이시는 얼굴 맞집인가요??'"
13169,1086,"'저번화 저저번화 댓글부터 센이 예전 군복을 입으면 크리스가 공격하는 거 아니냐는 댓글이 많았는데 공격할 용기조차 없는 상태였네.. 착잡하네요 생각보다 더 끔찍한 과거였어', ""sorry seems to be the hardest word'미안은 가장 어려운 단어인거 같아' 면 센이 사과할 생각을 못하고 자기보호에 나선것과 크리스도 가족을 배신하고 미안하단 말 못한 것을 의미하는 것 같음"", '엘사가 본 것 - 이쁜 노을, 이쁜 추기경', '잡혀가는 멤버들 표정이 한컷씩만 나왔는데도 성격이 확연히 드러나는 것 같다. 제니퍼는 체포고 뭐고 전부 각오 된 표정이고, 로비는 특유의 강한 멘탈로 정신줄 잘 붙잡고 있고, 벤자민은 혼란스러워서 우는거 캐릭터성이랑 너무 딱 들어맞아서 감탄함', '왜 레나가 벤자민 곱게 컸다고 했는지 알겠네.. 상대적 고움...', '추기경 화보찍느라 바빴구나....그래 인정한다', '크리스 B급으로 진급했다는 사실에 기뻐하는 표정과 패닉에 빠진 표정이 너무 마음이 아파요.... 크리스 행복하자.... 진짜... 이번화 스크롤을 내리기 좀 힘들었어요 너무 충격적이고 아픈 내용이 많아서....', '근데 생각해보면 센 크리스 둘다 같은 감정을 가져봤다는게..센은 시위대가 자기 친구를 죽였다고 생각해서 복수심에 시위하는 사람들을 쐈던거고크리스는 군인들때문에 가족이죽어서 교회에 복수하고싶었던거고..올리비아의 조작때문에 일이 이렇게...', '엘사 저거 건물 위 기둥 같은거 저렇게 번쩍 들 줄은 몰랐네 엘사 미안해 내가 널 너무 얕본것같아..', '크리스를 가장 가까이서 토닥이는 건 벤자민이구나 싶은게 다시금 실감난다. 작가님 라방에서 크리스는 자면서 발작을 일으키는 일이 있고, 그걸 더 잘 알아차리는 벤자민과 잔다는 이야기 듣고 나니까 더 그럼. 다른 멤버들도 각자 다른 방식으로 서로를 지지하지만 그 방식이 멤버별로 다르다는 게 정말 좋다. 각자의 캐릭터성과 역할 및 포지션이 확실히 나눠져 있다는 게 느껴져서 매번 감탄하게 됨.', '추기경님 싸우는거 빨리 보고시퍼용헉', '그리고 감정 연출 정말 대단한것같아요딱 그 상황에 인물이 왜 그런 행동을 해야 했는지. 그 대사를 왜 외쳤는지 이해가 너무 잘됌', '와 진짜 하루 더 기다린 보람 있네요 작화, 표현력, 스토리.. 나날이 발전해서 놀라게 하네요.. 진짜 다음주까지 어떻게 기다리냐', '제목sorry seems to be the hardest word/ 미안은 가장 어려운 단어인 것 같아라는 뜻입니다', '난 아직도 왜 어글리후드가 중위권인지 모르겠어... 그림이고 스토리고 연출이고 모자란거 하나 없는데..ㅜㅠㅜ 요즘 애들 죄다 일진물, 로맨스물만 봐..'"
13747,648,"'크리스 쌓인거 한번에 풀었네 환각속에서ㅋㅋㅋㅋㅋ', '아니 근데 진짜 지금까지 엘사가 진짜 개쩌는 먼치킨이었다는게 훅 느껴진다 아벨 좀 약한편인가 싶었는데 괜히 주교가 아님 다만 옆에 마야 올리비아같은 개쎈 공격형 애들이 있고 상대가 엘사였던것뿐..', '피콕 또 각성하는건가.... 설레게....', '마야 인공태양 날렸는데 적어도 지상은 멀쩡하네.그리고 아벨 능력 차라리 추기경이 안갖고 있는게 다행같다..범용성이라던가..사기잖아', '이번화 킬포가 몇개야...장바구니 교통사고 피콕 ㅠㅠㅠ', '피콕 눈 뜨기만 해도 댓글들이 환호성ㅋㅋㅋㅋㅋ', '피콕언니 야수화 최종단계면 ㅎㄷㄷ 아벨보다 쌔지니까 환각 안먹히겠지??', '엘사: 아까 나한테 ㅈ발렸던애한테 ㅈ발린애들..', '헐 피콕 저거 눈화장은 그거잖아 아몬족이 본래모습 드러낼 때 아몬족 관력 실험이였던 거 맞나봐', '아벨 능력 새삼 신기한게 환각 능력하면 보통 사람마다 각각 다른 환각을 보이게 해서 정신 못차리게 하는것뿐인데, 오늘편에서는 하나의 환각 속에서 서로 대화하고 소통하는걸 보니 신기함. 여태 본적없는 새로운 차원의 환각같음.', '예, 피콕씨 부숴버려요. 뭘 부수냐고요? 그냥 다 부숴도 돼요', '뭐야뭐야 피콕 2차 진화해???', '제발 센 죽으면 안돼 ㅠㅠ지금은 크리스랑 엘사랑도 떨어져있는데함부로 싸우다간 큰일나...지금상황에서는 제니퍼가 센이랑 재빨리 탈출하는것 뿐인데 이왕 싸울거면 이겨줘.센세 죽으면 엘사는 어찌하라고 ㅠㅠ매번 당하기만했어도 센이라면 마지막엔 이겨야 해요', '피콕 진짜 과거 나오고 흑화 나오고 열심히 잠자더니 이렇게 오지는 모습으로 돌아오면 어떡해 너무 좋은데 갑자기 이렇게 막 풀리기 시작하면 진짜 죽을거같아서 불안하기도 해', '미친거아냐 별점테러한 ㅅㄲ 나와 현피다'"
14788,1300,"'한나 졸라 상큼하게 떠나네ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ', '오케이할때 뒷배경 실화냐ㅋㅋ', '벤자민 손 흔들어주고 있엌ㅋㅋㅋ', '너희들이라 하는걸 보면 뭔가 떡밥인거 같은데... 어떤 위험에 처해있을때 원동력을 주는 여러 존재들인거면 종교와 같은 권력에 의해 억압받은 자들이 엘사에게 억울함을 풀어줄 수 있는 힘을 주는건가 결론은 엘사 짱이다..', 'ㅁㅊ... 엘사 진짜 힘 제대로 쓰면 추기경도 발라버리는구나', '세라..야마누스를 완전히 믿는거같아보였다가저번화보면 제정신으로 돌아온거처럼 한나한테나도 이름있다고 소리지르고개인적으로 세라는 야마누스에 충성한다기보다는 현실적으로 괴로워서 차라리..라고 생각한다는 느낌이들어요 사실 이번화에서 엘사 때린거 좀 화나긴해요 지금의 세라한테는 어렵지만자기를 구해줄수있을 사람이 있다면 그 손을 잡을수있게 되길.', '엘사는 또다른 신인 듯. 그래서 성수의 영향을 받지 않는 것이고, 엘사의 능력은 야마누스처럼 신앙에 의해 힘을 얻는 거임. 전보다 강해진건 함께하는 동료들이 늘은 탓이고, 그들이 엘사를 믿고 따르기 때문에 더 강해질 수 이ㅛ음', '마야언니 진짜로 방학식 하는날에 와줬네', '쎄타시랑 전쟁이 난다고?그럼 엘사가 알파시를 조지면되지', '체스터가 손톱으로 저런 능력을 가진 한나랑 싸울수 있을지가 의문이다.', '엘사 능력이 힘을 흡수하는건가? 이번에 추기경힘도 흡수했다하고 저번에 마야 파란불도 흡수하던데', '마야 졸라 한심하다는 표정으로 ""쯧""하는거 뭐야 ,, 그새 감옥에서 살려고 마음먹은거야?', '세라 이제 다음화에서 자기가 엘사 뺨 때렸다는거에 졸라 당황하면서 동공 팝핀 일어나거나, 급 정색하면서 니가 뭔데 그딴말 지껄이냐고 할거 같에', '엘사 타인의 힘을 흡수하는 능력자체가 엘사가 먹었던 성배(?)자체의 능력일 수도 있음. 타인의 능력이 자라오면서 무의식적으로 많이 쌓였는데 에리얼은 그 능력 중에서도 엘사와 정상적으로 대화를 할 수 있는 능력으로 분화된거고.저걸 다 컨트롤 할 수 있다면 확실한 먼치킨일듯. 물론 능력때문에 정신이 날라가는게 현재 제일 불안하고.', '몇백년간 교회가 외계인이라는 사실을 알고도 침묵할수밖에 없었던 엘사 조상들의 원한과 증오가 쌓이고 쌓여 엘사의 힘이 되기라도 하는건가?'"
16067,1267,"'다들 비장한데 추기경 혼자만 화보찍네..', '엘사 이제 어글리후드가 아니라 어글리망토됐어 여름이긴 여름인가봐', '진짜 작가님 우리의 추기경님 홍조 그리는거 재미붙이셨죠ㅋㅋㅋㅋㅋㅋㅋㅋ', '엘사 아버님 진짜 가슴빵빵미인이네 레나가 결혼할만햇다', '마야 태평하게 누워있는컷... 교회고 뭐고 될 대로 되라라는 거잖아 마야 정말 이번에 세라랑 같이 탈교회 제발!', '와 네이슨 시력 4.0인가 어떻게 건물위에있는 엘사를 볼수있는거지??? 이게바로 팬심이다', '네이슨은 진짜 성덕인듯ㅋㅋㅋ 어디 갈때마다 최애가 나타나서 교회뿌셔 건물뿌셔 하는거 볼수있잖아', '엘사...이제 더워서 안입고 묶고다니는구나...ㅋㅋㅋㅋㅋㅋ그냥 반팔후드를사지...', '리지 능력 또 잘렸어 리지 이정도면 불쌍해...', '모두가 우릴 욕하는데 우리까지 그럴 필요 없다는 말이랑 줄리아가 그동안 D급 안 믿었으면서 광신도가 말하니까 믿냐는 거... 위로하는 말이고 담담한 어조인데 왜 난 슬프냐...', '제니퍼는 개판이 와중에 이성적인게 아니라...너무 이성적이어서 개판인듯...ㅋㅋㅋㅋ', '세라 기도하는컷 왜정말 의지고뭐고 다잃은표정이냐고... 세라야 이제 의지할곳 생겼으니까 다시 돌아와 제발 난 세라 탈교회 자기가 거부할 시나리오가 제일 걱정된다...후....', '아니진짜 리지 너무 고통받잖아 또 잠시만 누워계세요 샷이냐고요 ㅋ ㅋ ㅋ ㅋ ㅋㅋㅋ ㅋ 큐ㅠㅠㅋㅋㅋㅋ 리지능력궁금하단말이오..', '이번화에서 크리스가 ""죽여도 되는 놈들이라고 생각하면 편해""라고 말한 장면이 이전 학교에 광신도들이 쳐들어왔을때 센이 했던 말이랑 똑같아요..크리스는 센을 원망하고있을텐데 이번 교회공격에서 센과 크리스는 어떻게 될지 궁금하네요..', '이번화는 새로운 에피소드가 본격적으로 시작되는느낌이네요 낮은계급에 신경쓰지 않고 살던 학생들도 인식이 많이바뀌어서 스스로 진실을 알려고 하는모습이 좋았어요 그리고 그 중심의 엘사 너무 멋져요!!'"
16944,1107,"'찾지말라고 하면 찾을것이요 죽었다고 말하면 죽지않았을것이니 이것이 바로 만화의 법칙이니라', '피콕 자장자장ㅋㅋㅋㅋ 지능은 떨어져도 눈치는 그대로!!!ㅋㅋㅋㅋㅋㅋㅋ 줄리아 안경 올리는 손가락ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ이러고 봤는데 린다 얘기 나오는 순간 1초 숙연했다가 시체 안 나온 이상 살아있는 만화법칙 믿고 존버합니다', '근데 제니퍼 진짜대단하고 이성적이고 리더십있다 저 충격적인 고백에 다들 화내야하나 동정해야하나 어쩔줄모르는 분위기에 한대때려서 바로 분위기 수습해 가져오지를않나... 센이 저러고있는데 욕을 하는것도 위로하는것도 아니고 바로 실리적으로 센의 전력을 끌어올림 정말 판단력 행동력 냉철함 어느것하나 빠짐없이 타고난 리더임 무서울정도', '레나는 우리에게 언제나 의심하라고 했습니다. 우리 린다 안죽었어ㅠㅠㅠㅠㅠㅠㅠ', '아 두명이나 죽었다고 해주는거보니까 린다 살아있겠네', '???? 센 실력이 왕창 줄었는데 저정도면 데우스 시절엔 얼마나 강했던거야????? 센 당신 인간 맞아???', '제니퍼가 진짜 네임드 리더인 거 납득 100.. 크리스도 이성 잃었는데 제니퍼는 항상 이성적이고 자나깨나 줄리아 네임드 생각만 하고.. 과거 밝힌 센도 포용해주고.... 진짜 이 언니가 이 시대 참리더다..', '줄리아당!!!! 자장자장... 피콕...ㅠㅜㅜㅜㅜㅜ최고귀요미ㅠㅠ', '네잌ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ대처능력 무슨일이얔ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ', '전기충격기 다음컷 줄리아 표정 개웃겨서 우는중 아ㅜ미쳣나봐 작가님 당신은 대체ㅜㅠㅡㅋㅋ ㅋ ㅋ ㅋ.ㅋ.ㅋㅋ', '하 우리 린다 안죽었어요 아 놔봐 아 안운다니까', '그건그렇고 큰엘사 넘 오랜만이잖니 내새끼 사랑해 내사랑', '신윤지! 네 차례다!', '살아있다는 플래그인가', '타투이스트입니다...거기 해달라고 오는사람 의외로 있습니다...가능은 하지만 핏줄이 많이 분포되어 위험하며 실수가 있을시 다시는 사용할수 없을지도 모른다고 안내 합니다.그럼 99%확률로 안한다고 합니다.'"
