참여자수,댓글수,댓글
['(참여 2770)'],['965'],"['수진아 가방 팔아서 어머니 병원비 하자', '일단 그냥 10시에 올라온게 칭찬해주고 싶어요', '3주년 축하해요 우리 야옹이 작가님 !!❤️❤️❤️❤️❤️⭐️⭐️⭐️', '영통ㅠㅠ수호 넘 잘생겼다.. 말이필요없다..', '3주년 완전 축하드려요!!앞으로도 열심히그려주세요', '🌸너 싫다는 사람 그만신경쓰고 너 좋다는 사람만 신경써 .....??🌸 오늘도 명언제조기 이수호로구나 .. ❤️', '10시에 올려주신거 넘 감사해요 작가니❤️❤️', '저딴것도 남친이라고...수진아 그냥 걔 없을때 짐 다챙겨서 명품 좀 팔아서 돈 마련하고 어머니랑멀리 떠나면 안될까 진짜', '수진이는 분명 착한아이인데 부모로 시작되서 나쁜길로 빠져들고 악화된거네 안타깝...확실한건 자기어머니 병원비챙겨주는거보면 엄마가 밉든말든 잘챙겨주는듯 안타깝다..', '배댓 안되니깐 그냥 말할게 설천고 1학년1반 장#영 나 사실 너 좋아한다', '야 임주경 너 존나 고구마야이말꼭하고싶었음', '그래도 수진이, 그렇게 막 나쁜애는 아닌듯ㅠ 월래는 분명 착한 아이인데, 수진이 부모 때문에 일이 꼬인것 같다ㅠㅜ 예전에 수진이 엄마가 막 돈 벌어오라고 머리채도 잡았는데도 그래도 자기 엄마 아프니까 병원비 매달 넣어주는거 넘 맴찟ㅠㅠㅠㅜ 솔직히 자기말 거역하면 무조건 때리는 남친한테 말도 제대로 못할것 같은데, 엄마 병원비 땜에 당당히 말하는거 ㅈㄴ 슬프다ㅠㅜ 그와중에 남친은 수진이 피멍까지 들게 만들 었으면서 아무일도 없어다는 듯이 명품백으로 덮는...🤬= 그동안 왜 그랬든지 조금은 알것같다ㅠㅜ', '남친버리고 주경이베프하자', '수진이 남친 싸이코인가']"
['(참여 23514)'],"['4,353']","['채미? 서준이랑 화보찍은여자 주경인줄 알았네', '저 환영이 서준이라는것에 내 쿠키를 걸지', '주경이 펜션에서 생얼들키면 어떻게 하냐.....', '담주에 뭐가됐든 쿠키 잃는사람 많겠노 ㅋㅋㅋㅋㅋㅋㅋ', '저거 서준이 아니라는것애 내쿠키 100개건다', '키스갈겨 키스갈겨~', '안녕하세요.. 중1학생입니다 저는 웹툰작가가 꿈인 한 학생인데요제가 제일 좋아하는 웹툰작가가 야옹이 작갑니다만작가님 인스타도 항상 보고있고요 여신강림 드라마도 항상 챙겨보고있고 웹툰도 항상 챙겨 보고있어요!! 작가님 일주일마다 힘들기 올려주시는 웹툰 진짜 재밌어요!! 힘내세용 ❤❤❤', '주경아 생얼은 어떻할라구?', '채미라는 사람 주경이랑 똑닮이네', '저 별장에 있을 만한 인물셀레나 제일 가능성 있는 인물한서준 임주경 소식에 바로 달려왔다면 쌉가능이주헌 별장 소유주지만 아직 의식 회복 되었는지 확인 안되는 중수호 할머니 ?????', '한서준이 황인엽으로 보여...', '오늘도 우리 수호는..........(・ิω・ิ )내눈썹을( ・ิω・)ノิ 들었다(・ิω・ิ)놨다( ・ิω・)ノิิ들었다( ・ิω・ิ)놨다( ・ิω・)ノิิ들었다놨다헤이', '작가님 댓글 보시나봐요 피드백 남긴거 분량이든 내용이든 신경 써주시는게 엄청 느껴져요 확실히 분량 많이 늘었어요 응원합니다 야옹이작가님 ❤️', '아빠 등장', '하서준 그림자겠지ㅋㅋㄱㅋㄱㅋㅋㄱㄱㅋㄱㅋㅋㅋㄱㅋㄱㅋㅋㅋㅋㅋ서준이 부글부글 잠도못자고 달려왔나보네ㅋㅋㄱㅋㄱㄲㅋㅋㅋㅋㅋㅋㄱㅋㅋㄱㄱㅋㅋㅋ']"
['(참여 27341)'],"['7,301']","['작가님 주경이 여드름치료는 좀 시켜주시죠', '이야 한 화가 전부 다 수호뿐이여서 기분이 좋네수호파는 행복합니다', '받지마...수호한테 그냥기대....주경이한테는 수호만 어울림!!!!그 선배님도 아니고!서준이도 아니고!오로지 이!수!호!!!!!만 어울린다고!!!!!!!!!!!!!!!!!!!!!!!', '꼭 못생긴 것들이 얼굴평가 오지게 하더라', '다음화 예상주경:어...어?....왜...?수호:집에가서 얼굴 겁나빨개져서 쇼파에앉아서 머리박고 있음주경:침대에앉아서 다시 한서준한테 전화할까 카톡할까 고민함마지막컷:임주경이랑 이수호랑 같이있는데 한서준 만남끝^^', '아니..... 너무.. 너무 ... 쌩얼.... 아니 상관없긴한데...', '솔직히 친구를 만나든 남친을 만나든 조금은 꾸미고나오지않나 꼭 그래야 하는건 아니지만 그래도 주경이가 그런건 제일 잘 알텐데..', '이런 완벽한남자를 다봤나;', '주경아...성형: 🙅🏻\u200d♀️여드름치료:🙆🏻\u200d♀️서준이 전화 받기: 🙅🏻\u200d♀️🙅🏻\u200d♀️🙅🏻\u200d♀️수호랑 키스타임: 🙆🏻\u200d♀️🙆🏻\u200d♀️🙆🏻\u200d♀️🙆🏻\u200d♀️🙆🏻\u200d♀️🙆🏻\u200d♀️🙆🏻\u200d♀️🙆🏻\u200d♀️🙆🏻\u200d♀️', '작가님은 내용에 1% 수호얼굴에 99%를사용하시는거 같네요', '주경이 그래도 추리닝은 좀,,', '이야 한 화가 전부 다 수호뿐이여서 기분이 좋네', '베댓 못생기면 얼평하면 안되고 잘생기고 이쁘면 얼평해도되나ㅠ', '아 진짜 수호야.. 개설레...', '한서준이야ㅏ아앙약ㄲ!!!!!!!!!!!']"
['(참여 27456)'],"['5,382']","['이제와서 수호랑 이어지기엔 너무 먼길을 온것같은데 ㅋㅋㅋㅋㄱ..', '나만 서준파야..? 지금 보기 좋은데', '잃어버린 수호를 찾습니다', '서준이 사랑하는사람 불안하지 않개 만든다는 마인드 좋다...근데 난 수호파라서....', '나도 수호 좋긴한데 작가님이 생각하신 스토리에 따라 진행되는걸텐데 다들 너무 수호만 찾는거 아닌가.....', '걍 서준이랑 쭉 이어갓으면 좋겟는데 서로 사랑하는게 느껴지는게 보이는데 뭐 스토리상 수호랑 이어질거 같긴 하지만 난 서준이랑 이어졋으면 하는 바람', '주경이는 피부관리를 안하나요?화장으로 덮는다고는 하지만 언제까지 여드름피부?왜 자기자신이 화장말고 다른방향으로도 예뻐질 수 있도록 도전을 안하죠? 주경이 화장 말고 자기관리 하는 모습을 본적이 없네ㅇㅅㅇ', '걍 너네 결혼해라 수호 다른 애랑 이어주세요', '수호 타령 좀 그만,, 아무리 가상 이야기라도 억지로 그렇게 잇는다? 작가 욕 오지게 먹음 그니까 제발 작품에 대한 얘기좀 해라 매주 베댓은 항상 수호 얘기로 도배 돼있음 적당히,,', '마지막 장면 아마 서로 창문 배경이 같아서 그런듯', '대놓고 바람피라고하네 너네 남친이 바람피면 좋겠냐', '수호만 찾는다고 불만인게 아니라 둘이 잘 사귀는 중인데 찾으니까 그러는거지ㅋㅋㅋㅋ 바람이라도 피라는건가', '거 차 서준만세', '근데.이렇게 작가님이 댓글신경쓰다가 옛날 응팔삘날듯', '작가님 고생이시겠다,, 댓글에선 수호파 수호파생각한 스토리는 서준파 쪽인 거 같은데..']"
['(참여 35128)'],"['6,080']","['작가님 나빴다...혼자서만 수호보고', '수호만 안 보여주는것 보니깐 수호 각임 ~ 수호 확정 나겠는데 !!', '양재원 왜저래 ;;', '일주일짜리 광고라니..', '방송현실이랑 진짜 비슷하게 그려놓으셨다 ..!', '내예상 양재원 말 잘못해서 탈라한다', '솔직히 여기선 서준이가 잘되서 집안좀 살렸음좋겠다 ㅠ', '에이든 뭐야.. 왜울어ㅠ 과거처럼 또 그런 일 발생할까봐 겁난다ㅜㅜ', '광고 후는 보통 1분인데...여긴 광고 후가 1주...', '다음주까지 수호 어떻게 기다려ㅠㅠㅜㅠㅠ', '나만 에이든 1등해서 잘됐으면 좋겠냐,,,', '이 웹툰 점점 외모지상주의를 비판하는게 아니라 오히려 부추기는 듯함...', '심사위원단도 놀라게 한 주인공은 수호니깐 수호가 1위 확정✌', '아니 다들 쿠키구워보면서까지 보는 웹툰이면서작가님 옹호하면 다 알바래... 투덜댈거면 보지말던가', '야옹작가님 짱짱~ 나죽어~~~^^']"
['(참여 36278)'],"['20,089']","['어..근데...선넘는게 아니고 남자화장실 들어갈뻔한 주경이 챙겨준거같은데....(난 선넘는거 아니라고 생각함)', '서준이 옷도 오바 행동도 오바네', '한서준 왜저래;; 정뚝떨어지네;;', '수호❤주경 존버하는사람 좋아요', 'ㄹㅇ 한서준 욱하는 성격 고쳐야 함', '어차피 남주가 수호인 게첫화인가..? 엄청 초반화에 주경이가 자기 인생이 이수호때문에 달라졌다고 했음.', '남자화장실 들어가려는거.. 내가 수호였어도 막는다.. 계속 나는 수호파♡', '수호 진짜 불쌍하다 자기가 원한것도 아니고 어쩔수없이 주경이랑 멀어진건데 그동안 주경이는 서준이랑 사귀고 있고 수호는 가서 여자친구 사겨도 그냥 얼굴보고 만나는 사람이랑 사귀고 자기랑 친한 친구니까 뭐라 말도 못하고 남자화장실 들어가는거 막아준건데 괜히 서준이는 화내고있고 뭔죄냐..', '한서준은 이수호 멱살을 몇번을 잡아야 만족하는거니 남자 화장실 갈려는거 막아주고 나름 선 지킬려고 하는데...', '남자 화장실 가는거 막아 준거면 아 쏘리 내가 못챙겼네 고마워 한마디 하면 되는건데 굳이 멱살 잡아야 하냐', '한서준 이번화 진심 추하다;;', '남자화장실 들어갈 뻔한 애 팔 좀 잡았다고 멱살을 잡아버리네 ㅋㅋㅋㅋㅋㅋ', '서준이도 이해가고 수호도 이해가지만... 이번화에선 서준이의 행동이 오버였던것 같네요. 남자화장실 들어가는거 막아준게 선넘는 행동은 아니라고 보는데..?', '작가님.....서준이 독자들이랑 정떨어뜨리려고 그러시는건가요.....그럼 수호❤주경 존버각인가....크흠', '엥 남자화장실가는거 잡아준건디ㅜㅠㅠㅠㅠㅠㅜㅜㅜ서준이 넘 허세가득이야진짜ㅠㅠㅠㅠ']"
['(참여 38910)'],"['8,959']","['한서준 더 말안한다 사랑해', '이거 두려워도 내용궁금해서 쿠키구운사람 손', '수호가 기다리는 사람 수호 누나 같다고 생각하는 사람손 들어~~', '그와중에 서준이~ㅋㅋ나랑 하기 싫은줄알고ㅋㅋㅋㅋㅋ', '""잘 마무리가 된것 같았습니다""이거 나만 불안하냐 ㅠㅠㅠㅠ \'잘 마무리가 됐습니다\' 도 아니고 \'된것 같았습니다\'인데ㅠㅠㅠ', '주경아 참기름샀니 엄마기다리신다', '찐이다 서준아..', '옛날에 저 사람이랑 수호가 얘기 하고 있었는데, 주경이가 되게 이쁘네... 이러고 있었음. 내가 볼땐 수호 누나 일듯', '서준아 역시 난 널 믿었어', '서준이진짜개설렌다ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ', '서준주경 평생가자 ㅠㅠㅠ 한서준 사랑해', '남주 바꼈네', '나는 일편단심 수호파였는데....이러면 진짜 가능성이 점점 희박해지네....그래도 난 계속 수호파!!', '수호 불쌍해서 어떡하냐 옛날에 달달하던 수호주경 보고싶다..하', '근데 서준이는 예쁘다고는 절대안하네서준: 못본걸로해줄게수호:너 생얼도예뻐/좀 귀여운거같기도확실이 차이가 있네요']"
['(참여 44652)'],"['7,347']","['오늘 내용 너무 없다ㅠㅠ 수호가 온건지 아닌지 밝혀질 줄 알았는데..', '오늘 내용 뭐지 .......', '.... 내 쿠키', '아니 이거 볼려고 겁나 기다렸는데 ㅠ 얼굴도 안나오고 정말 너무 하시는군요', '설마 주경이랑 부딪힌 사람이 수호임니까? 근데 여기서 끊으시면 어쩌자는겁니까!!!', '어떻게 여기서 1주일을 기다려야 돼 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ', '밤이 깊었습니다 수호파는 일어나주세요', '내용이 없잖아요 작가양반', '미쳤다 드디어 수호등장 수호야 보고싶었어ㅠㅠㅠㅠㅠ', '작가님 이번거는 좀 실망이네요 그런 의미에서 한편만 더.....', '1분도 안보고 끝난거같은 기분은뭐죠? ㅎㅎ', '언제 올라오나 기대하면서 10분때 한번 확인하고 12분에 확인하고 1분마다 몇번씩이나 확인하면서 기다린 내가 한심하다', '다녀왔어? 수호야', '작가님 이번거는 좀 실망이네요 그런 의미에서 한편만 더....', '저옷 저머리색 정확히46화 수호다;;']"
['(참여 41597)'],"['4,705']","['서준 너 무슨알바를 했길래 그래???(심각)', '뭔가 화장품광고만 본 느낌적인 느낌.광고 끝나고 본드라마 보려고하니 끝난거 같은 느낌적인 느낌..', '님들은 얼굴 잘생기면 서브남주고 못생기면 해할거같고 불안하고 그냥 짜증나는 캐릭터임?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 너무 역겹다', '그냥 평범하고 소심한 남학생같은데 ㅋㅋ 못생기면 불안해지고 짜증나는 캐릭터 되버리네ㅋ', '뭐가 불안하다는거야.? 두번 봐도 모르겠다.. 그냥 진짜로 잘 꾸미길래 도움 청한거 같은데ㅋㅋ 저러다가 다음화에서 주경이가 잘생기게 꾸며주면 말 바뀌겠지', '쿠키결제하고 화장품광고를 본느낌이다....', '근데 진짜 연애초기인데 카톡 답도 느리고 여사친 주변에 많으면 엄청 불안해짐 ㅠㅠㅠㅠㅠ ,,, 서준아 답 좀 잘해주라 ,,', 'ㅠㅠ찐따같이 생긴애 나랑 닮았는대 욕 너무 많이 먹어서 슬프다..', '? 얼굴로 평가하지 말라면서 구구절절 이야기 할 땐 언제고 오늘 처음 나온 캐릭터가 꾸밈없이 나왔다고 바로 찐따라고 말해버리는 배댓 클라스 잘 보고갑니다~~~', '화장품광고를보려고...내쿠키를구운건아닌데ㅜ', '설마 알바가 수호랑 관련있는거 아님', '서준이 알바 힘든가보네 ㅠㅠㅠ', '주경이 짝사랑하지마 .. 죽어', '솔직 점점스토리도 짧아지고~~쿠키아깝다는 생각이 휴재이후 자꾸듭니다~~정말 광고보려고 쿠키굽는게 아닌데요~~이런말도없이 그냥 안보면 되는건지요~~작가님 스토리좀 더 넣어주시고 주인공도많이 등장시켜주셨으면 좋겠습니다~!!!', '기존컷수 안에서 광고를 실을게 아니라 기존 스토리 내용 양+ 광고 추가분이 들어가야하는거 아닌가요?최소한 유료로 보는 독자에게 실망감은 주지 말으셔야죠']"
['(참여 46139)'],"['4,828']","['알고보니 서브남주가 수호였고 남주가 서준이였던거임', '입술 포진 볼라고 쿠키 구운거 아니라구요...', '제발좀 사겨', '밤이 되었습니다!둘이 안사귀는거 솔직히 이해 안가시는분은 손을 드세요', '틴트 발색하다가 뽀뽀했으면 좋겠따~~', '주경아. 익숙함에 속아 소중한 사람을 잃지말자.3년동안 너 옆에 있어준건 서준이다.서준이랑 결혼까지 가즈아~!!!', '야 애들아 서준이도 생얼 사랑해준다 했다고;;;; 복도에서 친구들이랑 말할때 못봤냐? 서준이친구들이 그럼 넌 너여친 생얼까지 사랑해줄수 있냐니까 5지게 멋있게 어 라고 했자나ㅜㅜㅜㅠㅠㅠㅜㅜㅜㅜㅜㅠㅠㅠ수호만 그런게 아니라 서준이도 사랑해준다고..', '근데 솔직히 이러다 수호 갑툭튀해서 주경이랑 사귀는 전개면 고구마 백만개먹은 기분일듯..', '서준이가 주경이 생얼보고 좋아해주면 갈아타도 될거같아요(제가) 수호파였는데 몸이 멀어지면 마음도 멀어진다고.. 수호가 너무 보고 싶습니다..', '지금 수호랑 되면 좀 그런게 일단 몇 년째 연락이 끊겼고 3년째같이 있어주는 건 서준이임 그리고 지금 서준이랑 친구라는 허울을 갖추고 있을 뿐이지 사귀는 행동은 다 함 그리고 주경이도 설레고 있고 사실상 지금 수호가 와서 수호랑 사귀면 서준이는..? 서준이는 쭉 주경이를 좋아했고 수호는 계속 못 봄 서준이가 맞지', '그.래.서.언.제.사.겨?♡', '수호가 택배 보낸거 아니었구나...수호 뭐하냐', '밤이 되었습니다 서준파는 일어나서 시끄럽게 일어나세요!!', '죄송합니다 썸네일 수호인줄 알았습니다', '썸넬 수호인줄...,,']"
